Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
over 34,A no further action disposal,Male,2022-09-03T15:38:00+00:00,False,Black,Stolen goods,51.531682,St  Pancras International (Station),-0.125653
over 34,A no further action disposal,Male,2022-09-04T15:01:00+00:00,False,White,Controlled drugs,51.539105,East Ham (Lu Station),0.051885
10-17,Arrest,Male,2022-09-04T16:25:00+00:00,False,White,Stolen goods,51.541693,Stratford (Lu Station),-0.003752
25-34,A no further action disposal,Male,2022-09-05T11:36:00+00:00,False,White,Evidence of offences under the Act,51.531682,St  Pancras International (Station),-0.125653
18-24,Arrest,Male,2022-09-05T11:30:00+00:00,False,White,Article for use in theft,51.532382,Kings Cross (Station),-0.123297
25-34,A no further action disposal,Male,2022-09-05T17:24:00+00:00,False,White,Stolen goods,51.531422,Plaistow (Lu Station),0.017806
over 34,A no further action disposal,Male,2022-09-05T17:43:00+00:00,False,Asian,Offensive weapons,51.378427,West Croydon (Station),-0.102643
18-24,A no further action disposal,Female,2022-09-05T18:02:00+00:00,False,White,Stolen goods,51.532382,Kings Cross (Station),-0.123297
18-24,A no further action disposal,Male,2022-09-05T18:21:00+00:00,False,White,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
10-17,A no further action disposal,Male,2022-09-05T17:40:00+00:00,False,White,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
over 34,A no further action disposal,Male,2022-09-05T20:43:00+00:00,False,Black,Stolen goods,51.515776,Paddington (Lu Station),-0.174871
10-17,A no further action disposal,Male,2022-09-05T15:05:00+00:00,False,Black,Firearms,51.364195,Lloyd Park (Tram Stop),-0.080692
25-34,A no further action disposal,Male,2022-09-06T10:06:00+00:00,False,White,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
10-17,A no further action disposal,Male,2022-09-06T10:00:00+00:00,False,Asian,Controlled drugs,51.541693,Stratford (Lu Station),-0.003752
18-24,A no further action disposal,Male,2022-09-06T09:50:00+00:00,False,Asian,Anything to threaten or harm anyone,51.505587,London Bridge (Lu Station),-0.086493
over 34,A no further action disposal,Male,2022-09-06T12:23:00+00:00,False,Black,Controlled drugs,51.373431,Wandle Park (Tram Stop),-0.113410
over 34,A no further action disposal,Male,2022-09-06T13:07:00+00:00,False,White,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
over 34,A no further action disposal,Male,2022-09-06T13:40:00+00:00,False,White,Stolen goods,51.532382,Kings Cross (Station),-0.123297
,A no further action disposal,,2022-09-06T09:20:00+00:00,False,Black,Controlled drugs,51.519060,Liverpool Street (Station),-0.080342
over 34,A no further action disposal,Male,2022-09-06T17:21:00+00:00,True,Black,Anything to threaten or harm anyone,51.496420,London Victoria (Lu Station),-0.143102
over 34,Community resolution,Male,2022-09-06T19:18:00+00:00,False,White,Controlled drugs,51.464845,Barnehurst (Station),0.159497
25-34,Community resolution,Male,2022-09-06T18:25:00+00:00,False,White,Controlled drugs,51.519060,Liverpool Street (Station),-0.080342
over 34,Arrest,Male,2022-09-06T21:19:00+00:00,False,White,Article for use in theft,51.531682,St  Pancras International (Station),-0.125653
18-24,A no further action disposal,Male,2022-09-06T21:22:00+00:00,False,White,Stolen goods,51.523490,Baker Street (Lu Station),-0.156024
25-34,A no further action disposal,Male,2022-09-07T11:46:00+00:00,False,White,Anything to threaten or harm anyone,51.528070,West Ham (Dlr),0.005110
10-17,A no further action disposal,Male,2022-09-06T16:50:00+00:00,False,White,Controlled drugs,51.515701,Oxford Circus (Lu Station),-0.141080
18-24,Arrest,Male,2022-09-06T13:54:00+00:00,False,White,Controlled drugs,51.528070,West Ham (Dlr),0.005110
10-17,A no further action disposal,Male,2022-09-06T16:50:00+00:00,False,White,Controlled drugs,51.515701,Oxford Circus (Lu Station),-0.141080
10-17,A no further action disposal,Male,2022-09-07T13:03:00+00:00,False,White,Controlled drugs,51.515701,Oxford Circus (Lu Station),-0.141080
18-24,Community resolution,,2022-09-07T14:20:00+00:00,False,Black,Controlled drugs,51.539846,Barking (Station),0.081177
18-24,A no further action disposal,Male,2022-09-07T15:31:00+00:00,False,Black,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
over 34,A no further action disposal,Male,2022-09-07T15:26:00+00:00,False,White,Article for use in theft,51.505587,London Bridge (Lu Station),-0.086493
over 34,Summons / charged by post,Female,2022-09-07T16:30:00+00:00,False,White,Controlled drugs,51.514841,Ealing Broadway (Station),-0.301752
18-24,A no further action disposal,Male,2022-09-07T17:16:00+00:00,False,Other,Controlled drugs,51.523001,Russell Square (Lu Station),-0.124318
over 34,Arrest,Male,2022-09-07T17:14:00+00:00,False,Other,Controlled drugs,51.514841,Ealing Broadway (Station),-0.301752
over 34,A no further action disposal,Male,2022-09-07T18:43:00+00:00,False,White,Article for use in theft,51.531682,St  Pancras International (Station),-0.125653
25-34,A no further action disposal,Male,2022-09-07T19:48:00+00:00,False,White,Controlled drugs,51.517812,Liverpool Street (Lu Station),-0.081806
over 34,A no further action disposal,Male,2022-09-07T16:10:00+00:00,False,Black,Controlled drugs,51.514841,Ealing Broadway (Station),-0.301752
under 10,A no further action disposal,Male,2022-09-07T19:50:00+00:00,False,,Stolen goods,51.519445,Paddington (Station),-0.176490
over 34,A no further action disposal,Female,2022-09-07T20:27:00+00:00,False,White,Evidence of offences under the Act,51.515776,Paddington (Lu Station),-0.174871
10-17,A no further action disposal,Male,2022-09-07T22:26:00+00:00,False,White,Anything to threaten or harm anyone,51.503379,Waterloo (Lu Station),-0.112212
over 34,Arrest,Male,2022-09-08T03:13:00+00:00,False,Black,Stolen goods,51.531682,St  Pancras International (Station),-0.125653
18-24,A no further action disposal,Male,2022-09-05T10:22:00+00:00,False,White,Controlled drugs,51.532382,Kings Cross (Station),-0.123297
18-24,A no further action disposal,Male,2022-09-08T12:26:00+00:00,False,White,Article for use in theft,51.531682,St  Pancras International (Station),-0.125653
over 34,A no further action disposal,Male,2022-09-08T15:25:00+00:00,False,White,Controlled drugs,51.506754,West India Quay (Dlr),-0.020496
18-24,Community resolution,Male,2022-09-08T15:25:00+00:00,False,Black,Controlled drugs,51.506754,West India Quay (Dlr),-0.020496
25-34,A no further action disposal,Male,2022-09-08T16:39:00+00:00,False,White,Stolen goods,51.539105,East Ham (Lu Station),0.051885
over 34,A no further action disposal,Male,2022-09-09T13:08:00+00:00,False,White,Stolen goods,51.505587,London Bridge (Lu Station),-0.086493
25-34,Arrest,Male,2022-09-08T13:30:00+00:00,False,,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
over 34,A no further action disposal,Male,2022-09-09T07:00:00+00:00,False,Other,Anything to threaten or harm anyone,51.503379,Waterloo (Lu Station),-0.112212
18-24,A no further action disposal,Male,2022-09-09T19:52:00+00:00,False,White,Article for use in theft,51.519060,Liverpool Street (Station),-0.080342
10-17,A no further action disposal,Male,2022-09-09T17:30:00+00:00,False,,Controlled drugs,51.503379,Waterloo (Lu Station),-0.112212
18-24,A no further action disposal,Male,2022-09-09T20:20:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
18-24,Summons / charged by post,Male,2022-09-09T20:20:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
18-24,A no further action disposal,Male,2022-09-09T21:16:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
25-34,A no further action disposal,,2022-09-09T19:55:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
18-24,Arrest,Male,2022-09-09T14:30:00+00:00,False,Black,Controlled drugs,51.505587,London Bridge (Lu Station),-0.086493
25-34,Arrest,Male,2022-09-10T06:52:00+00:00,False,Asian,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
18-24,A no further action disposal,Male,2022-09-10T11:49:00+00:00,False,Black,Controlled drugs,51.515701,Oxford Circus (Lu Station),-0.141080
over 34,A no further action disposal,Male,2022-09-10T15:08:00+00:00,False,White,Controlled drugs,51.515701,Oxford Circus (Lu Station),-0.141080
over 34,A no further action disposal,Male,2022-09-10T15:19:00+00:00,False,,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
18-24,A no further action disposal,,2022-09-10T16:18:00+00:00,False,White,Controlled drugs,51.515776,Paddington (Lu Station),-0.174871
25-34,A no further action disposal,Male,2022-09-11T09:00:00+00:00,False,Asian,Controlled drugs,51.374849,East Croydon (Tram Stop),-0.092675
10-17,Arrest,Male,2022-09-11T12:03:00+00:00,False,Black,Controlled drugs,51.531682,St  Pancras International (Station),-0.125653
