Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
18-24,A no further action disposal,Male,2022-09-24T20:18:00+00:00,,White,Controlled drugs,51.511249,On or near Throckmorton Road,0.028914
25-34,A no further action disposal,Female,2022-09-24T21:28:00+00:00,,Asian,Controlled drugs,51.535237,On or near King'S Road,0.036441
,Arrest,Male,2022-09-23T23:56:00+00:00,,Asian,Controlled drugs,51.535237,On or near King'S Road,0.036441
,Penalty Notice for Disorder,Male,2022-09-24T21:51:00+00:00,,Asian,Controlled drugs,51.535237,On or near King'S Road,0.036441
25-34,Community resolution,Male,2022-09-24T22:05:00+00:00,,White,Controlled drugs,51.536844,On or near Upton Lane,0.022050
25-34,A no further action disposal,Male,2022-09-25T00:25:00+00:00,,Black,Stolen goods,51.523687,On or near Daisy Road,0.004817
25-34,Community resolution,Male,2022-09-25T04:45:00+00:00,,White,Articles for use in criminal damage,51.527579,On or near A117,0.056340
25-34,Arrest,Male,2022-09-25T00:20:00+00:00,,White,Offensive weapons,51.532993,On or near Arragon Road,0.043478
18-24,Penalty Notice for Disorder,Male,2022-09-25T13:45:00+00:00,,Black,Controlled drugs,51.530687,On or near Hunt'S Lane,-0.011240
25-34,A no further action disposal,Male,2022-09-25T15:00:00+00:00,,Asian,Offensive weapons,51.523615,On or near Verbena Close,0.009556
25-34,A no further action disposal,Male,2022-09-26T01:15:00+00:00,,Asian,Controlled drugs,51.553853,On or near Seventh Avenue,0.056501
18-24,Community resolution,Male,2022-09-26T01:12:00+00:00,,Asian,Controlled drugs,51.553853,On or near Seventh Avenue,0.056501
,A no further action disposal,Male,2022-09-25T18:10:00+00:00,,Black,Controlled drugs,51.530761,On or near Winifred Terrace,0.019675
18-24,Community resolution,Male,2022-09-26T11:30:00+00:00,,Asian,Controlled drugs,51.541519,On or near Woodhouse Grove,0.047552
over 34,Community resolution,Male,2022-09-26T15:25:00+00:00,,Black,Controlled drugs,51.532993,On or near Arragon Road,0.043478
over 34,A no further action disposal,Male,2022-09-26T15:17:00+00:00,,Black,Controlled drugs,51.537707,On or near B165,0.034042
25-34,A no further action disposal,Female,2022-09-26T15:20:00+00:00,,Black,Controlled drugs,51.535237,On or near King'S Road,0.036441
over 34,A no further action disposal,Female,2022-09-26T18:53:00+00:00,,White,Controlled drugs,51.535237,On or near King'S Road,0.036441
,A no further action disposal,Male,2022-09-26T15:06:00+00:00,,Asian,Controlled drugs,51.523687,On or near Daisy Road,0.004817
,A no further action disposal,Male,2022-09-26T19:02:00+00:00,,Black,Offensive weapons,51.550657,On or near Greenhill Grove,0.048481
over 34,A no further action disposal,Male,2022-09-27T09:47:00+00:00,,White,Controlled drugs,51.527821,On or near Tyrone Road,0.059451
18-24,A no further action disposal,Female,2022-09-27T10:00:00+00:00,,Black,Controlled drugs,51.531820,On or near St Bernard'S Road,0.046799
over 34,A no further action disposal,Male,2022-09-27T09:47:00+00:00,,White,Controlled drugs,51.527821,On or near Tyrone Road,0.059451
over 34,A no further action disposal,Male,2022-09-27T12:20:00+00:00,,White,Controlled drugs,51.528633,On or near Cheltenham Gardens,0.049050
over 34,A no further action disposal,Male,2022-09-27T09:47:00+00:00,,Asian,Controlled drugs,51.527821,On or near Tyrone Road,0.059451
18-24,A no further action disposal,Male,2022-09-27T11:41:00+00:00,,White,Controlled drugs,51.533748,On or near Streatfeild Avenue,0.056878
,A no further action disposal,Male,2022-09-27T12:30:00+00:00,,Asian,Controlled drugs,51.541277,On or near Montfichet Road,-0.005745
18-24,A no further action disposal,Male,2022-09-27T13:44:00+00:00,,Asian,Controlled drugs,51.525003,On or near Sussex Street,0.029237
,A no further action disposal,Male,2022-09-27T12:30:00+00:00,,Asian,Controlled drugs,51.541277,On or near Montfichet Road,-0.005745
25-34,A no further action disposal,Male,2022-09-18T18:26:00+00:00,,Asian,Controlled drugs,51.547832,On or near Reynolds Avenue,0.067004
18-24,Arrest,Male,2022-09-27T14:15:00+00:00,,Asian,Controlled drugs,51.525003,On or near Sussex Street,0.029237
18-24,A no further action disposal,Male,2022-09-27T13:40:00+00:00,,Asian,Controlled drugs,51.525003,On or near Sussex Street,0.029237
10-17,Arrest,Female,2022-09-27T21:35:00+00:00,,Black,Stolen goods,51.539275,On or near ,-0.001063
10-17,Arrest,Female,2022-09-27T22:35:00+00:00,,Black,Offensive weapons,51.539275,On or near ,-0.001063
over 34,A no further action disposal,Male,2022-09-26T13:25:00+00:00,,Black,Controlled drugs,51.552193,On or near Manor Park,0.044987
18-24,Community resolution,Male,2022-09-21T15:26:00+00:00,,Black,Controlled drugs,51.542002,On or near ,-0.001301
over 34,A no further action disposal,Female,2022-09-26T14:00:00+00:00,,White,Controlled drugs,51.552193,On or near Manor Park,0.044987
over 34,Arrest,Male,2022-09-28T11:00:00+00:00,,White,Controlled drugs,51.547699,On or near Warwick Road,0.050022
25-34,A no further action disposal,Female,2022-09-28T15:10:00+00:00,,Black,Controlled drugs,51.547699,On or near Warwick Road,0.050022
18-24,A no further action disposal,Male,2022-09-28T10:25:00+00:00,,Asian,Controlled drugs,51.509062,On or near Silvertown Way,0.013412
,A no further action disposal,Male,2022-09-22T18:22:00+00:00,,Black,Offensive weapons,51.536468,On or near Barking Road,0.068407
25-34,Arrest,Male,2022-09-28T13:25:00+00:00,,White,Controlled drugs,51.533725,On or near Prince'S Terrace,0.030289
10-17,A no further action disposal,Male,2022-09-20T16:44:00+00:00,,Black,Controlled drugs,51.545576,On or near Windmill Lane,0.002130
10-17,Arrest,Male,2022-09-27T21:25:00+00:00,,White,Offensive weapons,51.539275,On or near ,-0.001063
10-17,A no further action disposal,Male,2022-09-28T17:55:00+00:00,,Asian,Controlled drugs,51.535010,On or near Grangewood Street,0.046409
18-24,Summons / charged by post,Male,2022-09-28T15:23:00+00:00,,Asian,Controlled drugs,51.535010,On or near Grangewood Street,0.046409
18-24,A no further action disposal,Male,2022-09-28T16:00:00+00:00,,White,Stolen goods,51.534160,On or near Marshgate Lane,-0.012430
18-24,A no further action disposal,Male,2022-09-28T16:18:00+00:00,,White,Offensive weapons,51.536468,On or near Barking Road,0.068407
18-24,Penalty Notice for Disorder,Male,2022-09-26T16:00:00+00:00,,Black,Controlled drugs,51.532542,On or near Seymour Road,0.040935
25-34,A no further action disposal,Male,2022-09-28T19:20:00+00:00,,Asian,Controlled drugs,51.535648,On or near Grangewood Street,0.042299
10-17,A no further action disposal,Male,2022-09-28T16:57:00+00:00,,Other,Stolen goods,51.551745,On or near Station Approach,0.025206
25-34,A no further action disposal,Male,2022-09-24T10:30:00+00:00,,White,Controlled drugs,51.536111,On or near Church Street,0.007150
10-17,A no further action disposal,Male,2022-09-28T16:56:00+00:00,,Asian,Stolen goods,51.551745,On or near Station Approach,0.025206
25-34,A no further action disposal,Male,2022-09-28T15:50:00+00:00,,Asian,Controlled drugs,51.535648,On or near Grangewood Street,0.042299
25-34,A no further action disposal,Male,2022-09-28T15:20:00+00:00,,Asian,Controlled drugs,51.535010,On or near Grangewood Street,0.046409
25-34,A no further action disposal,Male,2022-09-28T17:00:00+00:00,,White,Offensive weapons,51.530239,On or near Green Street,0.037905
18-24,A no further action disposal,Male,2022-09-28T16:30:00+00:00,,Asian,Offensive weapons,51.534160,On or near Marshgate Lane,-0.012430
25-34,A no further action disposal,Male,2022-09-28T17:40:00+00:00,,Black,Controlled drugs,51.525444,On or near Grange Road,0.016686
25-34,A no further action disposal,Male,2022-09-28T17:35:00+00:00,,Asian,Controlled drugs,51.525444,On or near Grange Road,0.016686
10-17,A no further action disposal,Male,2022-09-28T19:40:00+00:00,,Asian,Stolen goods,51.546880,On or near Olympic Park Avenue,-0.013765
over 34,A no further action disposal,Female,2022-09-28T19:02:00+00:00,,,Controlled drugs,51.543264,On or near Faraday Road,0.013205
25-34,A no further action disposal,Male,2022-09-28T22:00:00+00:00,,White,Controlled drugs,51.535237,On or near King'S Road,0.036441
25-34,A no further action disposal,Male,2022-09-28T21:58:00+00:00,,White,Controlled drugs,51.537707,On or near B165,0.034042
over 34,A no further action disposal,Male,2022-09-28T21:55:00+00:00,,White,Controlled drugs,51.535237,On or near King'S Road,0.036441
18-24,Arrest,Male,2022-09-28T21:55:00+00:00,,White,Controlled drugs,51.535237,On or near King'S Road,0.036441
,A no further action disposal,Male,2022-09-04T00:02:00+00:00,,White,Controlled drugs,51.543651,On or near Dyson Road,0.014765
over 34,A no further action disposal,Male,2022-09-28T23:30:00+00:00,,Asian,Controlled drugs,51.541863,On or near Mantle Way,0.005226
over 34,A no further action disposal,Male,2022-09-26T13:20:00+00:00,,White,Controlled drugs,51.552193,On or near Manor Park,0.044987
18-24,A no further action disposal,Male,2022-09-26T11:25:00+00:00,,Asian,Controlled drugs,51.539708,On or near Cowper Avenue,0.046706
over 34,A no further action disposal,Female,2022-09-28T13:51:00+00:00,,White,Controlled drugs,51.537707,On or near B165,0.034042
25-34,A no further action disposal,Male,2022-09-12T23:24:00+00:00,,White,Controlled drugs,51.536844,On or near Upton Lane,0.022050
,A no further action disposal,,2022-09-29T11:10:00+00:00,,,Controlled drugs,51.533427,On or near Abbey Road,0.005288
18-24,Community resolution,Male,2022-09-29T10:30:00+00:00,,White,Controlled drugs,51.538644,On or near New Mount Street,-0.000078
18-24,Community resolution,Male,2022-09-29T11:35:00+00:00,,Black,Controlled drugs,51.536805,On or near Mcewen Way,0.001802
over 34,Penalty Notice for Disorder,Male,2022-09-29T10:45:00+00:00,,Asian,Controlled drugs,51.533427,On or near Abbey Road,0.005288
over 34,A no further action disposal,Male,2022-09-28T14:34:00+00:00,,Black,Controlled drugs,51.534078,On or near Queen'S Road,0.032280
over 34,A no further action disposal,Male,2022-09-29T10:15:00+00:00,,White,Controlled drugs,51.542107,On or near Service Route No 3,-0.000099
10-17,A no further action disposal,Male,2022-09-28T14:57:00+00:00,,Asian,Controlled drugs,51.530106,On or near George Peabody Street,0.032622
10-17,A no further action disposal,Male,2022-09-29T11:45:00+00:00,,Other,Evidence of offences under the Act,51.546397,On or near Mcgrath Road,0.013560
10-17,A no further action disposal,Male,2022-09-28T14:58:00+00:00,,Asian,Controlled drugs,51.530106,On or near George Peabody Street,0.032622
,A no further action disposal,Male,2022-09-28T15:45:00+00:00,,White,Evidence of offences under the Act,51.521661,On or near Jellicoe Road,0.022285
10-17,A no further action disposal,Male,2022-09-28T14:57:00+00:00,,Asian,Controlled drugs,51.530106,On or near George Peabody Street,0.032622
25-34,A no further action disposal,Male,2022-09-28T17:35:00+00:00,,Black,Controlled drugs,51.524761,On or near Elim Way,0.015085
10-17,A no further action disposal,Male,2022-09-28T14:57:00+00:00,,Asian,Controlled drugs,51.530106,On or near George Peabody Street,0.032622
,A no further action disposal,Female,2022-09-28T14:45:00+00:00,,Black,Stolen goods,51.531609,On or near Gillett Avenue,0.048549
18-24,A no further action disposal,Male,2022-09-28T22:55:00+00:00,,Asian,Stolen goods,51.515947,On or near Angelica Drive,0.065300
,A no further action disposal,Male,2022-09-29T13:15:00+00:00,,White,Controlled drugs,51.530529,On or near Southern Road,0.031055
18-24,A no further action disposal,Female,2022-09-29T14:30:00+00:00,,White,Stolen goods,51.542107,On or near Service Route No 3,-0.000099
18-24,Community resolution,Female,2022-09-29T13:40:00+00:00,,Black,Controlled drugs,51.531953,On or near Western Road,0.031911
over 34,A no further action disposal,Male,2022-09-29T11:52:00+00:00,,Asian,Controlled drugs,51.534078,On or near Queen'S Road,0.032280
10-17,Arrest,Male,2022-09-29T11:10:00+00:00,,Asian,Offensive weapons,51.554762,On or near Colchester Avenue,0.058013
18-24,Community resolution,Male,2022-09-29T16:47:00+00:00,,Asian,Controlled drugs,51.520972,On or near Addington Road,0.007378
over 34,A no further action disposal,Male,2022-09-29T12:22:00+00:00,,Black,Controlled drugs,51.533786,On or near Carter Road,0.026773
over 34,A no further action disposal,Male,2022-09-28T16:19:00+00:00,,White,Stolen goods,51.538681,On or near ,0.051967
,A no further action disposal,Male,2022-09-29T15:25:00+00:00,,Asian,Controlled drugs,51.545504,On or near International Way,-0.007883
25-34,A no further action disposal,Female,2022-09-29T17:15:00+00:00,,White,Controlled drugs,51.542610,On or near Cheshunt Road,0.031867
,A no further action disposal,Female,2022-09-29T17:30:00+00:00,,White,Controlled drugs,51.542610,On or near Cheshunt Road,0.031867
10-17,A no further action disposal,Male,2022-09-29T14:31:00+00:00,,Black,Controlled drugs,51.533257,On or near Pudding Mill Lane,-0.012195
,A no further action disposal,Male,2022-09-29T17:50:00+00:00,,,Offensive weapons,51.536805,On or near Mcewen Way,0.001802
,A no further action disposal,Male,2022-09-28T17:42:00+00:00,,White,Offensive weapons,51.544599,On or near Hathaway Crescent,0.059112
10-17,A no further action disposal,Male,2022-09-29T17:00:00+00:00,,Black,Evidence of offences under the Act,51.537966,On or near Rowse Close,-0.007260
10-17,A no further action disposal,Male,2022-09-29T18:08:00+00:00,,Black,Offensive weapons,51.508479,On or near Cyprus,0.063968
,A no further action disposal,Male,2022-09-29T17:14:00+00:00,,White,Controlled drugs,51.546292,On or near ,0.048660
18-24,A no further action disposal,Male,2022-09-29T23:10:00+00:00,,Asian,Controlled drugs,51.547728,On or near Queensberry Place,0.047297
18-24,Penalty Notice for Disorder,Male,2022-09-29T23:10:00+00:00,,Asian,Controlled drugs,51.547728,On or near Queensberry Place,0.047297
over 34,Arrest,Male,2022-09-30T09:09:00+00:00,,White,Offensive weapons,51.545870,On or near Manbey Park Road,0.006008
25-34,A no further action disposal,Male,2022-09-30T11:26:00+00:00,,White,Controlled drugs,51.538681,On or near ,0.051967
18-24,A no further action disposal,Male,2022-09-30T11:29:00+00:00,,White,Controlled drugs,51.538681,On or near ,0.051967
18-24,A no further action disposal,Male,2022-09-30T12:55:00+00:00,,Asian,Controlled drugs,51.546880,On or near Olympic Park Avenue,-0.013765
10-17,A no further action disposal,Male,2022-09-29T17:46:00+00:00,,Black,Offensive weapons,51.536805,On or near Mcewen Way,0.001802
over 34,A no further action disposal,Male,2022-09-30T10:20:00+00:00,,Asian,Stolen goods,51.536787,On or near ,0.052257
over 34,A no further action disposal,Male,2022-09-30T10:22:00+00:00,,White,Stolen goods,51.538681,On or near ,0.051967
25-34,A no further action disposal,Male,2022-09-30T11:23:00+00:00,,White,Controlled drugs,51.538681,On or near ,0.051967
18-24,A no further action disposal,Male,2022-09-30T11:23:00+00:00,,White,Controlled drugs,51.538681,On or near ,0.051967
,A no further action disposal,Female,2022-09-30T12:15:00+00:00,,Black,Controlled drugs,51.512890,On or near Peverel,0.063202
25-34,Community resolution,Female,2022-09-23T14:09:00+00:00,,White,Controlled drugs,51.535996,On or near New Plaistow Road,0.007030
,A no further action disposal,Male,2022-09-29T15:20:00+00:00,,Asian,Controlled drugs,51.545724,On or near Anthems Way,-0.011334
,A no further action disposal,Male,2022-09-29T15:50:00+00:00,,Black,Stolen goods,51.543293,On or near ,-0.006898
10-17,A no further action disposal,Male,2022-09-01T18:30:00+00:00,,Black,Controlled drugs,51.545504,On or near International Way,-0.007883
10-17,A no further action disposal,Male,2022-09-30T12:00:00+00:00,,Asian,Controlled drugs,51.528633,On or near Cheltenham Gardens,0.049050
10-17,A no further action disposal,Male,2022-09-30T12:00:00+00:00,,Asian,Controlled drugs,51.530112,On or near Arthur Road,0.057017
over 34,A no further action disposal,Male,2022-09-30T12:08:00+00:00,,White,Controlled drugs,51.530112,On or near Arthur Road,0.057017
over 34,A no further action disposal,Male,2022-09-30T12:12:00+00:00,,White,Controlled drugs,51.530112,On or near Arthur Road,0.057017
25-34,A no further action disposal,Female,2022-09-30T16:40:00+00:00,,White,Controlled drugs,51.534267,On or near Wakefield Street,0.048769
over 34,A no further action disposal,Male,2022-09-30T17:30:00+00:00,,Asian,Controlled drugs,51.534267,On or near Wakefield Street,0.048769
over 34,A no further action disposal,Male,2022-09-30T12:16:00+00:00,,White,Controlled drugs,51.530112,On or near Arthur Road,0.057017
18-24,Community resolution,Male,2022-09-30T17:11:00+00:00,,Asian,Offensive weapons,51.531609,On or near Gillett Avenue,0.048549
,A no further action disposal,Male,2022-09-28T17:30:00+00:00,,Black,Offensive weapons,51.544599,On or near Hathaway Crescent,0.059112
,A no further action disposal,Male,2022-09-29T16:35:00+00:00,,White,Controlled drugs,51.557552,On or near Peppermint Place,0.005959
,A no further action disposal,Male,2022-09-29T16:48:00+00:00,,Black,Controlled drugs,51.557552,On or near Peppermint Place,0.005959
18-24,A no further action disposal,Male,2022-09-30T14:48:00+00:00,,Asian,Controlled drugs,51.537290,On or near ,0.051270
,A no further action disposal,Male,2022-09-30T21:50:00+00:00,,White,Controlled drugs,51.553740,On or near Woodford Road,0.025265
,A no further action disposal,Male,2022-09-30T20:43:00+00:00,,White,Controlled drugs,51.553740,On or near Woodford Road,0.025265
,A no further action disposal,Male,2022-09-30T21:07:00+00:00,,Black,Controlled drugs,51.551042,On or near Dimond Close,0.023170
25-34,Community resolution,Male,2022-09-30T22:26:00+00:00,,Asian,Controlled drugs,51.541863,On or near Mantle Way,0.005226
25-34,A no further action disposal,Male,2022-09-30T21:41:00+00:00,,Black,Controlled drugs,51.537290,On or near ,0.051270
25-34,A no further action disposal,Male,2022-09-30T21:41:00+00:00,,Black,Controlled drugs,51.537290,On or near ,0.051270
18-24,A no further action disposal,Male,2022-09-30T20:12:00+00:00,,White,Controlled drugs,51.537641,On or near ,0.071214
18-24,A no further action disposal,Male,2022-09-30T22:14:00+00:00,,White,Controlled drugs,51.514711,On or near ,0.008126
18-24,A no further action disposal,Male,2022-09-28T21:42:00+00:00,,Black,Offensive weapons,51.543113,On or near Salway Road,0.002094
,A no further action disposal,Male,2022-09-28T16:10:00+00:00,,Black,Controlled drugs,51.545058,On or near Millstone Close,0.001415
10-17,Arrest,Male,2022-09-29T11:07:00+00:00,,Asian,Stolen goods,51.554762,On or near Colchester Avenue,0.058013
over 34,A no further action disposal,Male,2022-09-28T17:15:00+00:00,,Asian,Controlled drugs,51.586222,On or near Back Road,-0.007878
18-24,Community resolution,Male,2022-09-29T13:45:00+00:00,,White,Controlled drugs,51.519742,On or near ,0.003058
over 34,A no further action disposal,Male,2022-09-29T12:15:00+00:00,,Black,Controlled drugs,51.533786,On or near Carter Road,0.026773
25-34,Arrest,Male,2022-09-26T18:45:00+00:00,,Black,Controlled drugs,51.535237,On or near King'S Road,0.036441
10-17,Arrest,Male,2022-09-29T11:06:00+00:00,,Black,Offensive weapons,51.554762,On or near Colchester Avenue,0.058013
25-34,A no further action disposal,Male,2022-09-26T15:16:00+00:00,,Asian,Controlled drugs,51.535237,On or near King'S Road,0.036441
,A no further action disposal,Male,2022-09-28T15:45:00+00:00,,White,Evidence of offences under the Act,51.518191,On or near Kildare Road,0.020647
over 34,Arrest,Male,2022-09-01T04:34:00+00:00,,Asian,Controlled drugs,51.536367,On or near East Street,0.077141
25-34,A no further action disposal,Male,2022-09-01T14:19:00+00:00,,Black,Controlled drugs,51.536918,On or near ,0.074361
10-17,A no further action disposal,Male,2022-09-01T16:00:00+00:00,,White,Evidence of offences under the Act,51.538108,On or near ,0.076830
10-17,A no further action disposal,Male,2022-09-01T15:50:00+00:00,,White,Evidence of offences under the Act,51.538418,On or near James Street,0.078142
10-17,A no further action disposal,Male,2022-09-01T15:55:00+00:00,,White,Stolen goods,51.538418,On or near James Street,0.078142
over 34,Penalty Notice for Disorder,Male,2022-09-01T17:20:00+00:00,,Asian,Controlled drugs,51.542042,On or near ,0.148526
18-24,A no further action disposal,Female,2022-09-01T18:55:00+00:00,,Asian,Controlled drugs,51.561797,On or near The Broadway,0.148145
18-24,Community resolution,Male,2022-09-01T20:10:00+00:00,,Black,Controlled drugs,51.539732,On or near Whiting Avenue,0.074539
over 34,A no further action disposal,Female,2022-09-01T20:40:00+00:00,,White,Controlled drugs,51.536024,On or near St Erkenwald Road,0.083325
18-24,Arrest,Male,2022-09-01T22:10:00+00:00,,Black,Stolen goods,51.532259,On or near ,0.128226
25-34,Arrest,Male,2022-09-01T23:45:00+00:00,,White,Evidence of offences under the Act,51.534678,On or near Cranborne Road,0.087200
,A no further action disposal,Male,2022-09-02T12:28:00+00:00,,White,Controlled drugs,51.577486,On or near ,0.182214
over 34,A no further action disposal,Male,2022-09-02T11:22:00+00:00,,White,Controlled drugs,51.538044,On or near ,0.080981
over 34,A no further action disposal,Female,2022-09-02T11:05:00+00:00,,White,Controlled drugs,51.538044,On or near ,0.080981
25-34,Community resolution,Male,2022-09-02T15:40:00+00:00,,Black,Controlled drugs,51.533711,On or near Abbey Road,0.075275
25-34,Community resolution,Male,2022-09-02T18:32:00+00:00,,Black,Controlled drugs,51.544407,On or near Ventnor Gardens,0.093299
18-24,Community resolution,Male,2022-09-03T12:50:00+00:00,,White,Controlled drugs,51.562657,On or near Fourth Avenue,0.172252
10-17,A no further action disposal,Male,2022-09-03T16:08:00+00:00,,Black,Stolen goods,51.536435,On or near ,0.077893
18-24,A no further action disposal,Male,2022-09-03T17:27:00+00:00,,Asian,Controlled drugs,51.536918,On or near ,0.074361
25-34,Community resolution,Male,2022-09-03T16:45:00+00:00,,White,Controlled drugs,51.566053,On or near Scottes Lane,0.129284
18-24,A no further action disposal,Male,2022-09-03T17:29:00+00:00,,Asian,Controlled drugs,51.536918,On or near ,0.074361
25-34,A no further action disposal,Male,2022-09-03T20:17:00+00:00,,White,Controlled drugs,51.566053,On or near Scottes Lane,0.129284
,A no further action disposal,Male,2022-09-03T19:50:00+00:00,,White,Controlled drugs,51.566053,On or near Scottes Lane,0.129284
,A no further action disposal,,2022-09-03T23:55:00+00:00,,,Controlled drugs,51.542631,On or near ,0.129517
,A no further action disposal,,2022-09-04T11:39:00+00:00,,,Stolen goods,51.540850,On or near ,0.148737
25-34,A no further action disposal,Male,2022-09-04T12:32:00+00:00,,White,Firearms,51.555047,On or near Radio Lane,0.117287
25-34,A no further action disposal,Male,2022-09-04T17:45:00+00:00,,White,Controlled drugs,51.557594,On or near ,0.162056
over 34,A no further action disposal,Male,2022-09-04T17:45:00+00:00,,White,Controlled drugs,51.557594,On or near ,0.162056
,A no further action disposal,Male,2022-09-05T00:25:00+00:00,,Asian,Offensive weapons,51.532011,On or near Butteridges Close,0.142820
10-17,A no further action disposal,Male,2022-09-01T16:00:00+00:00,,White,Stolen goods,51.538108,On or near ,0.076830
over 34,A no further action disposal,Female,2022-09-05T09:15:00+00:00,,Black,Controlled drugs,51.535856,On or near ,0.081616
over 34,A no further action disposal,Male,2022-09-05T09:15:00+00:00,,White,Controlled drugs,51.535856,On or near ,0.081616
over 34,A no further action disposal,Male,2022-09-05T09:04:00+00:00,,White,Controlled drugs,51.538044,On or near ,0.080981
18-24,Community resolution,Male,2022-09-01T18:55:00+00:00,,White,Controlled drugs,51.569137,On or near Crow Lane,0.145114
over 34,A no further action disposal,Male,2022-09-05T09:15:00+00:00,,Black,Controlled drugs,51.535856,On or near ,0.081616
over 34,A no further action disposal,Male,2022-09-05T11:20:00+00:00,,White,Controlled drugs,51.534678,On or near Cranborne Road,0.087200
25-34,Community resolution,Female,2022-09-05T11:38:00+00:00,,White,Stolen goods,51.536367,On or near East Street,0.077141
18-24,Community resolution,Female,2022-09-05T11:38:00+00:00,,White,Stolen goods,51.536367,On or near East Street,0.077141
18-24,Arrest,Male,2022-09-05T10:30:00+00:00,,White,Evidence of offences under the Act,51.500306,On or near Storey'S Gate,-0.129629
25-34,A no further action disposal,Male,2022-09-05T13:00:00+00:00,,White,Controlled drugs,51.534217,On or near Wedderburn Road,0.089357
18-24,A no further action disposal,Male,2022-09-06T04:45:00+00:00,,White,Evidence of offences under the Act,51.551093,On or near Oxlow Lane,0.157088
18-24,A no further action disposal,Male,2022-09-06T06:42:00+00:00,,White,Stolen goods,51.539878,On or near Church Elm Lane,0.156673
25-34,A no further action disposal,Male,2022-09-06T09:55:00+00:00,,White,Stolen goods,51.553082,On or near Dagenham Road,0.168708
18-24,Penalty Notice for Disorder,Male,2022-09-06T11:45:00+00:00,,White,Stolen goods,51.558112,On or near ,0.175368
over 34,A no further action disposal,Male,2022-09-06T13:08:00+00:00,,White,Stolen goods,51.538044,On or near ,0.080981
25-34,A no further action disposal,Female,2022-09-06T09:55:00+00:00,,White,Stolen goods,51.553082,On or near Dagenham Road,0.168708
over 34,A no further action disposal,Male,2022-09-06T13:15:00+00:00,,Asian,Controlled drugs,51.534409,On or near Eldred Road,0.090173
over 34,A no further action disposal,Female,2022-09-06T15:55:00+00:00,,White,Controlled drugs,51.538044,On or near ,0.080981
over 34,Penalty Notice for Disorder,Male,2022-09-07T17:10:00+00:00,,Black,Controlled drugs,51.529982,On or near Bonner Street,-0.047992
25-34,Arrest,Male,2022-09-06T21:18:00+00:00,,White,Stolen goods,51.539488,On or near Barking,0.080167
10-17,Arrest,Male,2022-09-07T00:58:00+00:00,,Black,Evidence of offences under the Act,51.550219,On or near Verney Gardens,0.135064
over 34,Penalty Notice for Disorder,Male,2022-09-07T09:55:00+00:00,,White,Controlled drugs,51.531850,On or near King Edward'S Road,0.085918
25-34,Penalty Notice for Disorder,Male,2022-09-06T19:10:00+00:00,,Asian,Controlled drugs,51.538418,On or near James Street,0.078142
over 34,A no further action disposal,Male,2022-09-07T10:15:00+00:00,,White,Controlled drugs,51.541055,On or near Cape Close,0.073951
18-24,Community resolution,Male,2022-09-06T19:10:00+00:00,,Asian,Controlled drugs,51.538418,On or near James Street,0.078142
over 34,A no further action disposal,Male,2022-09-06T21:10:00+00:00,,Asian,Stolen goods,51.538044,On or near ,0.080981
over 34,A no further action disposal,Male,2022-09-07T10:20:00+00:00,,White,Controlled drugs,51.541055,On or near Cape Close,0.073951
18-24,Penalty Notice for Disorder,Male,2022-09-07T16:35:00+00:00,,White,Controlled drugs,51.556291,On or near Bennett'S Castle Lane,0.127559
25-34,A no further action disposal,Male,2022-09-04T18:15:00+00:00,,Black,Controlled drugs,51.531748,On or near Heathway,0.147869
over 34,A no further action disposal,Male,2022-09-06T10:50:00+00:00,,Black,Offensive weapons,51.527690,On or near Chelmer Crescent,0.112370
25-34,Arrest,Male,2022-09-08T01:05:00+00:00,,Asian,Controlled drugs,51.538044,On or near ,0.080981
,A no further action disposal,Male,2022-09-07T15:15:00+00:00,,White,Stolen goods,51.539488,On or near Barking,0.080167
25-34,Arrest,Male,2022-09-07T15:27:00+00:00,,Black,Controlled drugs,51.535856,On or near ,0.081616
over 34,A no further action disposal,Female,2022-09-07T15:13:00+00:00,,White,Stolen goods,51.538044,On or near ,0.080981
18-24,Community resolution,Female,2022-09-08T13:50:00+00:00,,White,Controlled drugs,51.583373,On or near Ravensbourne Crescent,0.233765
10-17,A no further action disposal,Male,2022-09-09T02:50:00+00:00,,White,Offensive weapons,51.550872,On or near ,0.155448
,A no further action disposal,Male,2022-09-03T19:50:00+00:00,,White,Controlled drugs,51.566053,On or near Scottes Lane,0.129284
18-24,A no further action disposal,Male,2022-09-08T18:45:00+00:00,,White,Stolen goods,51.536468,On or near Barking Road,0.068407
18-24,A no further action disposal,Male,2022-09-09T12:55:00+00:00,,Asian,Stolen goods,51.538044,On or near ,0.080981
25-34,Arrest,Male,2022-09-09T13:05:00+00:00,,White,Controlled drugs,51.538044,On or near ,0.080981
over 34,A no further action disposal,Male,2022-09-10T00:07:00+00:00,,White,Controlled drugs,51.540110,On or near ,0.080570
25-34,Arrest,Male,2022-09-04T15:05:00+00:00,,Other,Offensive weapons,51.558919,On or near Station Road,0.070637
18-24,A no further action disposal,Male,2022-09-10T15:10:00+00:00,,Black,Controlled drugs,51.527913,On or near Westminster Gardens,0.089832
,A no further action disposal,Female,2022-09-10T15:12:00+00:00,,Black,Controlled drugs,51.527913,On or near Westminster Gardens,0.089832
