ITL,ITL code,Area,Population,Gross Domestic Product (£m),GDP Growth 2010-19 (%),Gross Value Added (£),GDP per capita (£),Employment (%),Unemployment (%),Economic Inactivity (%),Claimant Rate
ITL3,TLD45,Mid Lancashire,"395,591","13,971",6.2%,"12,622","35,317",83.7,1.8,14.7,2.3
ITL3,TLD46,East Lancashire,"333,557","7,446",17.8%,"6,399","22,324",75.0,4.0,21.7,3.8
ITL3,TLD47,Chorley and West Lancashire,"232,522","5,657",20.1%,"4,881","24,330",72.5,2.7,25.4,2.2
ITL3,TLD61,Warrington,"210,014","9,142",41.2%,"8,213","43,532",80.4,2.8,17.3,2.5
ITL3,TLD62,Cheshire East,"384,152","16,093",23.3%,"14,661","41,893",80.9,4.8,14.8,1.9
ITL3,TLD63,Cheshire West and Chester,"343,071","12,873",17.3%,"11,559","37,523",76.9,2.1,21.4,2.5
ITL3,TLD71,East Merseyside,"460,857","12,643",19.1%,"11,075","27,433",75.7,3.9,21.1,4.1
ITL3,TLD72,Liverpool,"498,042","15,522",8.3%,"13,895","31,166",67.3,4.6,29.4,4.2
ITL3,TLD73,Sefton,"276,410","5,131",3.8%,"4,287","18,564",74.8,2.5,23.1,3.8
ITL3,TLD74,Wirral,"324,011","6,302",10.2%,"5,287","19,451",76.8,4.7,19.4,3.6
ITL3,TLE11,"Kingston upon Hull, City of","259,778","7,067",8.4%,"6,216","27,203",71.1,7.8,23.0,4.8
ITL3,TLE12,East Riding of Yorkshire,"341,173","8,499",21.6%,"7,284","24,912",78.9,3.4,18.2,2.1
ITL3,TLE13,North and North East Lincolnshire,"331,855","9,415",18.6%,"8,190","28,370",71.6,5.0,24.6,3.7
ITL3,TLE21,York,"210,618","7,122",14.4%,"6,417","33,816",79.2,2.6,18.7,1.3
ITL3,TLE22,North Yorkshire CC,"618,054","17,579",17.8%,"15,187","28,443",79.2,1.7,19.3,1.6
ITL3,TLE31,"Barnsley, Doncaster and Rotherham","824,167","17,693",23.6%,"14,949","21,468",72.2,6.0,23.2,3.5
ITL3,TLE32,Sheffield,"584,853","14,972",16.9%,"13,241","25,600",74.0,4.3,22.6,2.6
ITL3,TLE41,Bradford,"539,776","11,528",12.1%,"9,983","21,356",66.3,6.6,28.9,4.4
ITL3,TLE42,Leeds,"793,139","30,307",23.4%,"27,660","38,211",74.6,4.1,22.1,3.0
ITL3,TLE44,Calderdale and Kirklees,"651,242","15,064",24.0%,"13,046","23,131",72.7,2.8,25.1,3.5
ITL3,TLE45,Wakefield,"348,312","9,277",22.5%,"8,122","26,634",75.4,5.3,20.4,2.6
ITL3,TLF11,Derby,"257,302","8,508",2.0%,"7,608","33,068",74.2,4.1,22.6,3.1
ITL3,TLF12,East Derbyshire,"286,924","7,009",19.8%,"6,025","24,430",73.0,4.6,23.4,2.4
ITL3,TLF13,South and West Derbyshire,"515,770","12,820",20.4%,"11,059","24,855",81.5,1.9,16.8,1.9
ITL3,TLF14,Nottingham,"332,900","11,610",17.2%,"10,519","34,877",63.9,8.0,30.5,3.8
ITL3,TLF15,North Nottinghamshire,"477,111","11,163",18.1%,"9,523","23,398",77.3,3.5,19.7,2.5
ITL3,TLF16,South Nottinghamshire,"351,113","7,845",18.4%,"6,647","22,342",80.4,3.6,16.5,1.8
ITL3,TLF21,Leicester,"354,224","10,215",29.6%,"9,252","28,838",71.1,4.9,25.2,2.9
ITL3,TLF22,Leicestershire CC and Rutland,"746,082","21,282",11.3%,"18,778","28,525",80.3,3.4,16.9,1.5
ITL3,TLF24,West Northamptonshire,"405,050","14,171",19.8%,"12,658","34,985",80.8,3.6,16.2,2.0
ITL3,TLF25,North Northamptonshire,"348,228","8,325",18.0%,"7,262","23,908",81.6,2.5,16.4,2.4
ITL3,TLF30,Lincolnshire,"761,224","18,271",20.3%,"15,632","24,003",76.4,3.4,20.8,2.5
ITL3,TLG11,"Herefordshire, County of","192,801","4,717",26.3%,"4,048","24,464",83.0,2.3,14.9,1.6
ITL3,TLG12,Worcestershire,"595,786","16,843",23.9%,"14,674","28,271",78.0,3.3,19.2,2.1
ITL3,TLG13,Warwickshire,"577,933","22,418",33.8%,"19,863","38,790",80.7,2.3,17.4,2.0
ITL3,TLG21,Telford and Wrekin,"179,854","5,241",20.4%,"4,670","29,141",76.8,4.3,19.6,2.5
ITL3,TLG22,Shropshire CC,"323,136","7,298",12.3%,"6,269","22,586",80.7,2.5,17.1,1.9
ITL3,TLG23,Stoke-on-Trent,"256,375","6,992",37.2%,"6,226","27,272",72.5,4.2,24.2,3.9
ITL3,TLG24,Staffordshire CC,"879,560","21,841",11.6%,"18,942","24,832",79.1,3.1,18.3,1.8
ITL3,TLG31,Birmingham,"1,141,816","31,358",18.5%,"28,398","27,463",65.2,8.6,28.4,6.2
ITL3,TLG32,Solihull,"216,374","11,078",42.3%,"10,257","51,197",76.5,3.8,20.3,2.7
ITL3,TLG33,Coventry,"371,521","11,208",23.3%,"10,181","30,168",73.0,5.3,22.8,2.7
ITL3,TLG36,Dudley,"321,596","6,375",9.9%,"5,541","19,824",72.6,4.7,23.8,4.1
ITL3,TLG37,Sandwell,"328,450","7,610",19.7%,"6,736","23,169",70.7,5.2,25.3,4.3
ITL3,TLG38,Walsall,"285,478","5,558",18.6%,"4,816","19,469",70.6,6.7,24.3,4.2
ITL3,TLG39,Wolverhampton,"263,357","6,031",0.4%,"5,349","22,901",67.2,6.8,27.8,5.7
ITL3,TLH11,Peterborough,"202,259","7,198",18.6%,"6,497","35,587",74.7,6.0,20.3,3.2
ITL3,TLH12,Cambridgeshire CC,"653,537","22,654",20.3%,"20,367","34,663",79.7,2.6,18.2,1.3
ITL3,TLH14,Suffolk,"761,350","22,212",20.8%,"19,621","29,174",78.3,2.3,19.8,2.2
ITL3,TLH15,Norwich and East Norfolk,"370,692","11,377",24.6%,"10,195","30,690",76.3,4.8,19.6,2.8
ITL3,TLH16,North and West Norfolk,"256,220","5,544",12.8%,"4,700","21,638",76.4,3.7,20.5,1.6
ITL3,TLH17,Breckland and South Norfolk,"280,848","6,293",12.9%,"5,338","22,408",80.2,2.7,17.3,1.5
ITL3,TLH21,Luton,"213,052","7,127",22.6%,"6,248","33,452",70.4,4.9,25.9,2.7
ITL3,TLH23,Hertfordshire,"1,189,519","46,086",30.6%,"41,434","38,744",79.1,3.5,18.0,1.7
ITL3,TLH24,Bedford,"173,292","5,019",25.3%,"4,377","28,964",76.9,3.2,20.4,3.2
ITL3,TLH25,Central Bedfordshire,"288,648","7,165",23.5%,"6,099","24,824",80.8,1.1,18.2,1.2
ITL3,TLH31,Southend-on-Sea,"183,125","3,790",11.9%,"3,254","20,694",77.3,3.8,19.5,3.6
ITL3,TLH32,Thurrock,"174,341","5,036",16.4%,"4,440","28,887",77.1,5.4,18.5,2.9
ITL3,TLH34,Essex Haven Gateway,"493,871","11,637",23.6%,"10,011","23,564",72.6,4.0,24.3,2.4
ITL3,TLH35,West Essex,"310,040","9,934",9.1%,"8,667","32,042",78.4,3.7,18.7,2.0
ITL3,TLH36,Heart of Essex,"320,335","11,208",23.0%,"9,939","34,990",81.3,0.9,17.9,1.5
ITL3,TLH37,Essex Thames Gateway,"364,943","9,500",12.6%,"8,356","26,032",80.3,2.4,17.6,2.2
ITL3,TLI31,Camden and City of London,"279,750","116,447",38.9%,"113,719","416,252",71.0,5.2,25.2,2.0
ITL3,TLI32,Westminster,"261,317","78,383",34.6%,"76,185","299,955",71.3,4.8,24.9,2.0
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,"341,272","23,427",41.6%,"21,992","68,645",71.3,4.4,25.3,2.8
ITL3,TLI34,Wandsworth,"329,677","9,150",19.5%,"7,890","27,755",80.5,4.4,16.1,1.9
ITL3,TLI41,Hackney and Newham,"634,254","17,960",44.2%,"15,867","28,317",71.7,4.7,24.7,3.0
ITL3,TLI42,Tower Hamlets,"324,745","38,822",21.8%,"37,271","119,547",71.4,4.0,25.8,3.3
ITL3,TLI43,Haringey and Islington,"511,114","26,539",41.7%,"24,772","51,923",77.0,3.4,20.2,3.1
ITL3,TLI44,Lewisham and Southwark,"624,672","27,691",35.6%,"25,677","44,328",78.9,4.4,17.4,3.6
ITL3,TLI45,Lambeth,"326,034","14,007",14.4%,"12,989","42,962",78.2,5.9,16.7,3.4
ITL3,TLI51,Bexley and Greenwich,"536,229","14,394",22.8%,"12,500","26,843",76.3,4.7,20.0,2.4
ITL3,TLI52,Barking & Dagenham and Havering,"472,458","11,231",9.6%,"9,513","23,770",72.7,5.4,23.0,3.0
ITL3,TLI53,Redbridge and Waltham Forest,"582,205","11,465",22.3%,"9,551","19,692",72.2,5.2,23.6,2.6
ITL3,TLI54,Enfield,"333,794","9,516",18.3%,"8,139","28,509",65.9,7.3,28.7,3.2
ITL3,TLI61,Bromley,"332,336","9,675",9.8%,"8,142","29,113",79.3,1.9,19.1,1.8
ITL3,TLI62,Croydon,"386,710","11,652",16.0%,"9,950","30,131",76.1,3.5,21.0,4.1
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton","590,404","18,058",14.9%,"15,418","30,586",79.1,4.5,17.1,2.2
ITL3,TLI71,Barnet,"395,869","10,739",20.4%,"9,113","27,129",73.9,5.5,21.7,2.2
ITL3,TLI72,Brent,"329,771","10,425",23.4%,"9,074","31,611",72.8,6.2,23.0,2.9
ITL3,TLI73,Ealing,"341,806","10,716",15.0%,"9,404","31,352",73.0,4.5,23.6,3.2
ITL3,TLI74,Harrow and Hillingdon,"558,030","23,416",17.2%,"20,602","41,961",70.8,4.9,25.5,1.9
ITL3,TLI75,Hounslow and Richmond upon Thames,"469,542","27,511",37.4%,"25,095","58,591",75.7,2.5,22.4,2.7
ITL3,TLJ11,Berkshire,"914,859","49,986",40.7%,"46,607","54,637",80.5,2.8,17.1,1.7
ITL3,TLJ12,Milton Keynes,"269,457","15,685",41.5%,"14,672","58,211",78.3,4.8,17.8,2.0
ITL3,TLJ13,Buckinghamshire CC,"543,973","18,313",10.8%,"16,203","33,666",79.3,3.6,17.7,1.3
ITL3,TLJ14,Oxfordshire,"691,667","25,785",18.0%,"23,222","37,279",83.4,1.1,15.7,1.3
ITL3,TLJ21,Brighton and Hove,"290,885","9,788",33.2%,"8,820","33,649",76.2,3.4,21.1,2.5
ITL3,TLJ22,East Sussex CC,"557,229","11,309",11.2%,"9,482","20,295",77.0,3.1,20.4,2.6
ITL3,TLJ25,West Surrey,"791,487","35,781",17.8%,"32,559","45,207",81.5,2.1,16.7,0.9
ITL3,TLJ26,East Surrey,"404,749","15,792",-11.1%,"14,050","39,016",82.5,2.1,15.6,1.1
ITL3,TLJ27,West Sussex (South West),"456,758","12,753",19.2%,"11,231","27,920",81.8,3.4,15.5,1.9
ITL3,TLJ28,West Sussex (North East),"407,222","14,928",16.1%,"13,059","36,657",82.2,2.7,15.4,1.4
ITL3,TLJ31,Portsmouth,"214,905","6,963",20.4%,"6,135","32,402",70.8,4.0,26.1,2.5
ITL3,TLJ32,Southampton,"252,520","8,545",7.4%,"7,661","33,838",75.0,5.5,20.5,3.0
ITL3,TLJ34,Isle of Wight,"141,771","3,195",13.2%,"2,689","22,534",73.8,3.4,23.4,2.6
ITL3,TLJ35,South Hampshire,"460,875","12,956",11.7%,"11,134","28,111",76.9,3.8,20.1,1.5
ITL3,TLJ36,Central Hampshire,"553,413","18,851",32.5%,"16,372","34,063",79.1,2.3,19.0,1.1
ITL3,TLJ37,North Hampshire,"368,254","18,125",28.3%,"16,482","49,220",84.6,2.0,13.7,1.3
ITL3,TLJ41,Medway,"278,556","6,897",24.2%,"5,968","24,759",77.9,3.4,19.3,2.9
ITL3,TLJ43,Kent Thames Gateway,"369,627","10,664",24.7%,"9,325","28,852",79.9,3.7,16.9,2.8
ITL3,TLJ44,East Kent,"538,443","12,207",14.1%,"10,507","22,672",73.3,4.1,23.4,3.5
ITL3,TLJ45,Mid Kent,"301,858","8,938",22.3%,"7,845","29,610",80.7,3.3,16.4,2.0
ITL3,TLJ46,West Kent,"371,627","14,305",24.5%,"12,734","38,494",81.7,4.0,15.1,1.2
ITL3,TLK11,"Bristol, City of","463,377","17,599",17.9%,"15,996","37,980",76.7,4.5,19.7,2.4
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire","693,427","24,072",21.8%,"21,361","34,714",80.4,3.2,16.9,1.6
ITL3,TLK13,Gloucestershire,"637,070","21,311",15.8%,"18,854","33,451",81.9,3.2,15.2,1.8
ITL3,TLK14,Swindon,"222,193","10,801",11.0%,"9,965","48,609",80.1,3.4,17.0,2.4
ITL3,TLK15,Wiltshire,"500,024","13,440",15.4%,"11,635","26,878",78.8,1.8,19.7,1.6
ITL3,TLK23,Somerset,"562,225","14,206",15.3%,"12,304","25,267",80.4,2.5,17.3,2.3
ITL3,TLK24,"Bournemouth, Christchurch and Poole","395,331","12,178",16.1%,"10,935","30,806",80.9,2.4,17.1,2.5
ITL3,TLK25,Dorset,"378,508","9,164",9.0%,"7,969","24,211",76.5,2.4,21.7,1.6
ITL3,TLK30,Cornwall and Isles of Scilly,"571,802","13,215",21.0%,"11,363","23,110",77.4,3.2,20.0,2.2
ITL3,TLK41,Plymouth,"262,100","6,609",14.3%,"5,756","25,216",74.0,4.5,22.4,3.2
ITL3,TLK42,Torbay,"136,264","2,413",-4.6%,"1,981","17,711",74.9,3.9,21.9,3.0
ITL3,TLK43,Devon CC,"802,375","21,448",19.9%,"18,488","26,731",81.2,2.9,16.2,1.5
ITL3,TLL11,Isle of Anglesey,"70,043","1,388",24.2%,"1,155","19,810",77.1,4.5,19.1,2.7
ITL3,TLL12,Gwynedd,"124,560","2,928",11.0%,"2,480","23,508",72.2,3.9,24.7,2.0
ITL3,TLL13,Conwy and Denbighshire,"212,899","4,501",20.3%,"3,764","21,140",73.7,3.6,23.4,3.2
ITL3,TLL14,South West Wales,"387,284","8,757",28.5%,"7,388","22,610",71.3,4.2,25.4,2.3
ITL3,TLL15,Central Valleys,"301,590","6,452",17.3%,"5,420","21,392",68.5,5.7,27.3,3.0
ITL3,TLL16,Gwent Valleys,"344,898","6,775",21.3%,"5,667","19,644",70.2,5.0,26.1,3.3
ITL3,TLL17,Bridgend and Neath Port Talbot,"290,364","6,959",20.2%,"5,952","23,967",73.8,4.0,23.0,3.1
ITL3,TLL18,Swansea,"246,993","6,605",27.2%,"5,798","26,740",69.8,4.0,27.2,3.3
ITL3,TLL21,Monmouthshire and Newport,"249,266","7,131",22.4%,"6,326","28,609",75.2,3.4,22.0,3.1
ITL3,TLL22,Cardiff and Vale of Glamorgan,"500,490","16,045",25.5%,"14,505","32,058",76.1,3.2,21.3,2.9
ITL3,TLL23,Flintshire and Wrexham,"292,057","9,010",20.8%,"8,114","30,851",77.3,4.3,19.2,2.8
ITL3,TLL24,Powys,"132,435","2,702",10.7%,"2,299","20,402",76.1,2.9,21.5,1.5
ITL3,TLM50,Aberdeen City and Aberdeenshire,"489,880","19,019",5.4%,"17,096","38,824",80.0,2.9,17.7,2.0
ITL3,TLM61,Caithness and Sutherland and Ross and Cromarty,"93,827","2,430",17.2%,"2,110","25,901",75.2,3.1,22.2,3.0
ITL3,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey","204,768","6,150",17.3%,"5,471","30,034",78.7,3.3,18.5,2.3
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","98,936","2,851",12.9%,"2,529","28,818",75.9,1.9,22.4,2.6
ITL3,TLM64,Na h-Eileanan Siar,"26,720",655,14.9%,576,"24,517",82.3,1.1,16.7,2.1
ITL3,TLM65,Orkney Islands,"22,270",618,-12.5%,553,"27,756",87.1,null,10.9,1.3
ITL3,TLM66,Shetland Islands,"22,920",877,6.0%,802,"38,262",77.6,null,19.2,1.5
ITL3,TLM71,Angus and Dundee City,"265,520","6,579",14.0%,"5,722","24,779",71.6,4.2,25.2,4.0
ITL3,TLM72,Clackmannanshire and Fife,"425,090","9,953",17.5%,"8,576","23,413",73.8,3.9,23.4,3.8
ITL3,TLM73,East Lothian and Midlothian,"199,550","4,133",29.8%,"3,490","20,711",79.6,2.1,18.7,2.6
ITL3,TLM75,City of Edinburgh,"524,930","27,072",21.1%,"25,199","51,573",75.1,2.8,22.6,1.7
ITL3,TLM76,Falkirk,"160,890","4,694",15.0%,"4,120","29,175",74.1,4.3,22.5,3.2
ITL3,TLM77,Perth and Kinross and Stirling,"246,160","7,986",12.9%,"7,032","32,444",79.2,2.9,18.3,2.1
ITL3,TLM78,West Lothian,"183,100","5,525",12.6%,"4,920","30,176",77.8,2.2,20.3,2.8
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","223,391","4,546",18.5%,"3,779","20,349",75.2,3.3,22.2,3.0
ITL3,TLM82,Glasgow City,"633,120","25,157",19.8%,"22,791","39,735",67.3,4.6,29.3,4.0
ITL3,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire","352,430","8,082",17.5%,"6,719","22,931",74.0,4.1,22.6,3.2
ITL3,TLM84,North Lanarkshire,"341,370","9,352",28.7%,"8,054","27,396",74.3,4.7,21.9,3.8
ITL3,TLM91,Scottish Borders,"115,510","2,832",17.9%,"2,437","24,517",76.2,3.0,21.2,2.5
ITL3,TLM92,Dumfries and Galloway,"148,860","4,242",14.5%,"3,671","28,496",75.1,2.9,22.6,3.0
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,"250,918","4,931",4.7%,"4,077","19,653",72.3,5.3,23.7,5.3
ITL3,TLM94,South Ayrshire,"112,610","2,906",1.4%,"2,473","25,808",73.9,3.5,23.3,3.9
ITL3,TLM95,South Lanarkshire,"320,530","8,030",11.9%,"6,863","25,052",76.6,1.9,21.8,3.4
ITL3,TLN06,Belfast,"343,542","14,870",23.1%,"13,834","43,286",67.6,null,23.5,null
ITL3,TLN07,"Armagh City, Banbridge and Craigavon","216,205","4,847",27.9%,"4,120","22,420",72.3,null,18.1,null
ITL3,TLN08,"Newry, Mourne and Down","181,368","3,879",29.6%,"3,251","21,385",73.6,null,18.7,null
ITL3,TLN09,Ards and North Down,"161,725","2,732",18.0%,"2,231","16,896",73.1,null,18.7,null
ITL3,TLN0A,Derry City and Strabane,"151,284","3,495",26.1%,"3,007","23,099",68.0,null,23.0,null
ITL3,TLN0B,Mid Ulster,"148,528","4,175",29.3%,"3,646","28,108",75.3,null,14.7,null
ITL3,TLN0C,Causeway Coast and Glens,"144,838","2,753",11.4%,"2,265","19,008",67.6,null,25.5,null
ITL3,TLN0D,Antrim and Newtownabbey,"143,504","3,925",21.4%,"3,402","27,353",77.3,null,16.6,null
ITL3,TLN0E,Lisburn and Castlereagh,"146,002","3,882",28.4%,"3,398","26,586",81.1,null,12.9,null
ITL3,TLN0F,Mid and East Antrim,"139,274","2,958",-30.8%,"2,508","21,238",74.2,null,18.2,null
ITL3,TLN0G,Fermanagh and Omagh,"117,397","2,763",23.3%,"2,348","23,532",65.0,null,23.7,null
