"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units",,,95.3363191179522,,
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units",,,96.6823011474078,,
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-05","May-2021","IDX","Index","0","Units",,,98.0906359488732,,
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units",,,99.1008336895031,,
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-07","Jul-2021","IDX","Index","0","Units",,,99.8357633666839,,
"AUT","Austria","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-08","Aug-2021","IDX","Index","0","Units",,,100.260697408081,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,102.755449411915,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,102.756476068679,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,102.563699985335,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,88.6535091073206,,
"BEL","Belgium","LORSGPNO","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,86.1294670552668,,
