item,date,mean,median
Takeaway Fish & Chips,2011-12-01,4.9284267,4.9499998
Takeaway Fish & Chips,2012-01-01,4.934762,5
Takeaway Fish & Chips,2012-02-01,4.9807534,5
Takeaway Fish & Chips,2012-03-01,4.9978323,5
Takeaway Fish & Chips,2012-04-01,5.0020137,5
Takeaway Fish & Chips,2012-05-01,5.0266666,5
Takeaway Fish & Chips,2012-06-01,5.0155969,5
Takeaway Fish & Chips,2012-07-01,5.0304413,5
Takeaway Fish & Chips,2012-08-01,5.0466175,5
Takeaway Fish & Chips,2012-09-01,5.0636954,5
Takeaway Fish & Chips,2012-10-01,5.0825362,5.0999999
Takeaway Fish & Chips,2012-11-01,5.1061764,5.0999999
Takeaway Fish & Chips,2012-12-01,5.1368842,5.0999999
Takeaway Fish & Chips,2013-01-01,5.1605883,5.1499996
Takeaway Fish & Chips,2013-02-01,5.1885495,5.1999998
Takeaway Fish & Chips,2013-03-01,5.2173333,5.1999998
Takeaway Fish & Chips,2013-04-01,5.2435822,5.1999998
Takeaway Fish & Chips,2013-05-01,5.268209,5.2249999
Takeaway Fish & Chips,2013-06-01,5.2960768,5.2750001
Takeaway Fish & Chips,2013-07-01,5.3054075,5.3000002
Takeaway Fish & Chips,2013-08-01,5.3237877,5.3000002
Takeaway Fish & Chips,2013-09-01,5.3182092,5.3000002
Takeaway Fish & Chips,2013-10-01,5.3032837,5.3000002
Takeaway Fish & Chips,2013-11-01,5.3327613,5.3000002
Takeaway Fish & Chips,2013-12-01,5.348815,5.3000002
Takeaway Fish & Chips,2014-01-01,5.3679414,5.3249998
Takeaway Fish & Chips,2014-02-01,5.425303,5.4000001
Takeaway Fish & Chips,2014-03-01,5.3954477,5.3000002
Takeaway Fish & Chips,2014-04-01,5.3973331,5.3000002
Takeaway Fish & Chips,2014-05-01,5.4237499,5.375
Takeaway Fish & Chips,2014-06-01,5.4219117,5.4000001
Takeaway Fish & Chips,2014-07-01,5.4577446,5.4000001
Takeaway Fish & Chips,2014-08-01,5.4501505,5.4000001
Takeaway Fish & Chips,2014-09-01,5.4603648,5.4000001
Takeaway Fish & Chips,2014-10-01,5.4446325,5.395
Takeaway Fish & Chips,2014-11-01,5.4662042,5.4000001
Takeaway Fish & Chips,2014-12-01,5.4564443,5.3899999
Takeaway Fish & Chips,2015-01-01,5.4802208,5.4000001
Takeaway Fish & Chips,2015-02-01,5.5297036,5.5
Takeaway Fish & Chips,2015-03-01,5.5489631,5.5
Takeaway Fish & Chips,2015-04-01,5.526288,5.5
Takeaway Fish & Chips,2015-05-01,5.5679259,5.5
Takeaway Fish & Chips,2015-06-01,5.5874453,5.5
Takeaway Fish & Chips,2015-07-01,5.593926,5.5
Takeaway Fish & Chips,2015-08-01,5.5935555,5.5
Takeaway Fish & Chips,2015-09-01,5.6184964,5.5
Takeaway Fish & Chips,2015-10-01,5.6566176,5.5749998
Takeaway Fish & Chips,2015-11-01,5.6642857,5.5500002
Takeaway Fish & Chips,2015-12-01,5.6898499,5.5999999
Takeaway Fish & Chips,2016-01-01,5.6962962,5.5999999
Takeaway Fish & Chips,2016-02-01,5.7152801,5.6999998
Takeaway Fish & Chips,2016-03-01,5.6858592,5.5999999
Takeaway Fish & Chips,2016-04-01,5.6886153,5.6499996
Takeaway Fish & Chips,2016-05-01,5.6978626,5.6999998
Takeaway Fish & Chips,2016-06-01,5.7100763,5.6999998
Takeaway Fish & Chips,2016-07-01,5.7532306,5.6999998
Takeaway Fish & Chips,2016-08-01,5.722713,5.6999998
Takeaway Fish & Chips,2016-09-01,5.7569923,5.6999998
Takeaway Fish & Chips,2016-10-01,5.7645111,5.6999998
Takeaway Fish & Chips,2016-11-01,5.7813177,5.6999998
Takeaway Fish & Chips,2016-12-01,5.788106,5.8000002
Takeaway Fish & Chips,2017-01-01,5.8030953,5.8000002
Takeaway Fish & Chips,2017-02-01,5.7633595,5.8000002
Takeaway Fish & Chips,2017-03-01,5.7887969,5.8000002
Takeaway Fish & Chips,2017-04-01,5.8198509,5.8000002
Takeaway Fish & Chips,2017-05-01,5.8537593,5.8000002
Takeaway Fish & Chips,2017-06-01,5.8645988,5.8000002
Takeaway Fish & Chips,2017-07-01,5.8917909,5.8249998
Takeaway Fish & Chips,2017-08-01,5.886466,5.8000002
Takeaway Fish & Chips,2017-09-01,5.9281483,5.8499999
Takeaway Fish & Chips,2017-10-01,5.9551854,5.9000001
Takeaway Fish & Chips,2017-11-01,5.9759398,6
Takeaway Fish & Chips,2017-12-01,6.0515623,6
