GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
S14000074,"Dumfriesshire, Clydesdale & Tweeddale",Con,52.4,79.0,77.4,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,False,False,True,True,True,True,True,True
S14000097,Dunbartonshire Mid,SNP,63.8,74.2,72.2,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
S14000106,Dunbartonshire West,SNP,44.7,74.4,72.2,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
S14000075,Dundee Central,SNP,57.2,69.2,61.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
S14000076,Dunfermline & Dollar,SNP,55.8,85.7,81.3,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,False,True,True,True,True,False,False
E14001206,Dunstable & Leighton Buzzard,Con,49.3,86.7,85.3,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001173,"Durham, City of",Lab,55.7,82.0,82.0,Fourth Quintile (80.6%-84.2%),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001389,Durham North,Lab,31.2,72.8,70.7,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,False,True,True,True,True,False,False
W07000096,Dwyfor Meirionnydd,PC,44.2,77.2,74.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,False,True,False,True,False,False
E14001207,Ealing Central & Acton,Lab,90.7,77.7,70.1,Third Quintile (77.5%-80.6%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001208,Ealing North,Lab,45.3,86.8,80.0,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,True,True,True,False,True,True,False,False
E14001209,Ealing Southall,Lab,64.6,100.0,100.0,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),False,True,True,False,False,True,True,True,False
E14001210,Earley & Woodley,Con,56.8,80.7,78.1,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
E14001211,Easington,Lab,23.1,72.3,72.3,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,False
E14001212,East Grinstead & Uckfield,Con,40.7,74.3,71.7,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,False,True,True,True,True,True,True
E14001213,East Ham,Lab,40.1,69.7,69.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),False,True,True,False,False,True,True,False,False
S14000077,East Kilbride & Strathaven,SNP,50.1,80.2,75.8,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001219,Eastbourne,Con,42.1,81.8,74.8,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,True
E14001220,Eastleigh,Con,51.3,85.8,85.8,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
S14000078,Edinburgh East & Musselburgh,SNP,60.3,72.1,70.2,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
S14000079,Edinburgh North & Leith,SNP,67.9,82.8,79.3,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,False,True,True,True,True,True,True,False
S14000080,Edinburgh South,Lab,80.8,91.1,89.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
S14000081,Edinburgh South West,SNP,78.1,93.8,88.2,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
S14000082,Edinburgh West,LD,64.7,89.5,84.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001221,Edmonton & Winchmore Hill,Lab,33.0,69.8,64.6,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),False,True,True,True,False,True,True,True,False
E14001222,Ellesmere Port & Bromborough,Lab,47.8,74.6,69.3,Second Quintile (73.6%-77.5%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001223,Eltham & Chislehurst,Con,67.9,84.3,82.5,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,False,True,True,False,True
E14001224,Ely & East Cambridgeshire,Con,44.8,85.5,85.1,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,False,True,False,True,True,True,True
E14001225,Enfield North,Lab,43.7,67.1,67.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,False
E14001226,Epping Forest,Con,58.8,80.5,79.7,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,True
E14001227,Epsom & Ewell,Con,57.7,91.6,90.5,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001228,Erewash,Con,42.2,83.3,80.3,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,True
E14001229,Erith & Thamesmead,Lab,51.3,82.0,76.7,Fourth Quintile (80.6%-84.2%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,False,True,True,True,False,False
E14001230,Esher & Walton,Con,68.4,77.4,76.7,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,False,True,True,True,True,True,True,True
E14001402,Essex North West,Con,59.3,81.8,74.6,Fourth Quintile (80.6%-84.2%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,False,False,True,True,False,True,True,True
E14001231,Exeter,Lab,37.7,76.6,74.1,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,True,False
E14001232,Exmouth & Exeter East,Con,49.2,85.1,83.5,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
S14000083,Falkirk,SNP,41.4,72.6,70.3,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
E14001233,Fareham & Waterlooville,Con,31.2,77.4,74.6,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001234,Farnham & Bordon,Con,54.7,81.4,81.4,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,False,True,True,True,True,True,True,True
E14001235,Faversham & Mid Kent,Con,52.8,66.5,66.5,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,False,False,True,True,True,True,False,True
E14001236,Feltham & Heston,Lab,51.2,80.3,80.3,Third Quintile (77.5%-80.6%),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),False,True,True,True,False,True,True,False,False
N05000007,Fermanagh & South Tyrone,SF,,,,,,,True,True,True,True,False,True,True,False,False
