GSScode,constituency_id,name,region,country,result_2019,majority_2019_percent,status,time_reported,time_declared,result_2024,majority_2024_number,majority_2024_percent,turnout_2024_number,turnout_2024_percent
E14001129,E14001129,Brighton Kemptown & Peacehaven,SE,England,LAB,16.75,result,1720154573000,1720154552000,LAB,9663,23.75,40686,59.15
E14001130,E14001130,Brighton Pavilion,SE,England,GRN,34.38,result,1720156202000,1720156184000,GRN,14290,27.29,52363,70.02
E14001131,E14001131,Bristol Central,SW,England,LAB,32.47,result,1720148083000,1720148060000,GRN,10407,24,43365,61.75
E14001132,E14001132,Bristol East,SW,England,LAB,35.08,result,1720149086000,1720149069000,LAB,6606,14.33,46109,60.74
E14001133,E14001133,Bristol North East,SW,England,LAB,11.17,result,1720149876000,1720149846000,LAB,11167,26.6,41989,59.92
E14001134,E14001134,Bristol North West,SW,England,LAB,12.39,result,1720150780000,1720150752000,LAB,15669,32.33,48464,64.73
E14001135,E14001135,Bristol South,SW,England,LAB,18.81,result,1720147340000,1720147309000,LAB,7666,17.66,43403,57.46
E14001136,E14001136,Broadland & Fakenham,EE,England,CON,37.54,result,1720150414000,1720150397000,CON,719,1.45,49513,67.06
E14001137,E14001137,Bromley & Biggin Hill,GL,England,CON,29.31,result,1720151390000,1720151373000,CON,302,0.65,46788,67.56
E14001138,E14001138,Bromsgrove,WM,England,CON,42.57,result,1720150217000,1720150196000,CON,3016,5.98,50405,67.14
E14001139,E14001139,Broxbourne,EE,England,CON,40.26,result,1720142351000,1720142332000,CON,2858,6.65,42952,57.13
E14001140,E14001140,Broxtowe,EM,England,CON,7.16,result,1720144509000,1720144472000,LAB,8403,17.57,47838,66.51
E14001141,E14001141,Buckingham & Bletchley,SE,England,CON,25.37,result,1720146532000,1720146514000,LAB,2421,5.08,47641,63.66
E14001142,E14001142,Burnley,NW,England,CON,0.27,result,1720147954000,1720147938000,LAB,3420,8.61,39719,52.99
E14001143,E14001143,Burton & Uttoxeter,WM,England,CON,29.74,result,1720145933000,1720145913000,LAB,2266,4.97,45627,60.81
E14001144,E14001144,Bury North,NW,England,CON,2.4,result,1720149350000,1720149323000,LAB,6944,15.25,45520,58.57
E14001145,E14001145,Bury South,NW,England,CON,1.88,result,1720150337000,1720150314000,LAB,9361,22.18,42214,56.02
E14001146,E14001146,Bury St Edmunds & Stowmarket,EE,England,CON,42.08,result,1720147878000,1720147841000,LAB,1452,2.85,50893,65.58
E14001147,E14001147,Calder Valley,YH,England,CON,9.05,result,1720152985000,1720152961000,LAB,8991,18.12,49608,64.12
E14001148,E14001148,Camborne & Redruth,SW,England,CON,19.09,result,1720150835000,1720150820000,LAB,7806,16.34,47785,64.23
E14001149,E14001149,Cambridge,EE,England,LAB,16.28,result,1720146208000,1720146184000,LAB,11078,26.31,42100,59.87
E14001150,E14001150,Cannock Chase,WM,England,CON,42.92,result,1720142428000,1720142393000,LAB,3125,7.28,42953,55.79
E14001151,E14001151,Canterbury,SE,England,LAB,3.78,result,1720150088000,1720150062000,LAB,8653,18.32,47231,66.36
E14001152,E14001152,Carlisle,NW,England,CON,22.03,result,1720147742000,1720147700000,LAB,5200,11.31,45979,59.05
E14001153,E14001153,Carshalton & Wallington,GL,England,CON,1.28,result,1720145159000,1720145126000,LD,7905,16.94,46670,64
E14001154,E14001154,Castle Point,EE,England,CON,59.73,result,1720142477000,1720142467000,CON,3251,8,40633,57.59
E14001155,E14001155,Central Devon,SW,England,CON,30.5,result,1720159556000,1720159527000,CON,61,0.11,53432,70.88
E14001156,E14001156,Central Suffolk & North Ipswich,EE,England,CON,40.1,result,1720155170000,1720155144000,CON,4290,9.24,46423,76.45
E14001157,E14001157,Chatham & Aylesford,SE,England,CON,41.46,result,1720151654000,1720151620000,LAB,1998,4.89,40845,54.38
E14001158,E14001158,Cheadle,NW,England,CON,4.18,result,1720147417000,1720147394000,LD,12235,24.12,50731,69.74
E14001159,E14001159,Chelmsford,EE,England,CON,28.64,result,1720145591000,1720145562000,LD,4753,9.37,50716,65.89
E14001160,E14001160,Chelsea & Fulham,GL,England,CON,16.42,result,1720157939000,1720157931000,LAB,152,0.32,47116,60.95
E14001161,E14001161,Cheltenham,SW,England,CON,2.5,result,1720145011000,1720145004000,LD,7210,14.55,49542,65.06
E14001162,E14001162,Chesham & Amersham,SE,England,CON,33.91,result,1720161605000,1720161598000,LD,5451,10.01,54454,72.71
E14001163,E14001163,Chester North & Neston,NW,England,LAB,11.85,result,1720148959000,1720148931000,LAB,11870,26.56,44694,63.65
E14001164,E14001164,Chester South & Eddisbury,NW,England,CON,37.72,result,1720152859000,1720152833000,CON,3057,5.82,52486,70.66
E14001165,E14001165,Chesterfield,EM,England,LAB,3.21,result,1720150848000,1720150823000,LAB,10820,26.04,41555,58.5
E14001166,E14001166,Chichester,SE,England,CON,38.46,result,1720148083000,1720148067000,LD,12146,23.39,51921,66.25
E14001167,E14001167,Chingford & Woodford Green,GL,England,CON,2.94,result,1720146249000,1720146213000,CON,4757,9.81,48512,64.53
E14001168,E14001168,Chippenham,SW,England,CON,26.13,result,1720151751000,1720151723000,LD,8138,16.44,49512,66.81
E14001169,E14001169,Chipping Barnet,GL,England,CON,7.2,result,1720154187000,1720154180000,LAB,2914,5.73,50859,65.17
E14001170,E14001170,Chorley,NW,England,SPK,43.62,result,1720143133000,1720143110000,SPK,20575,60.58,33964,47.44
E14001171,E14001171,Christchurch,SW,England,CON,48.24,result,1720156312000,1720156271000,CON,7455,15.75,47335,66.61
E14001172,E14001172,Cities of London & Westminster,GL,England,CON,11.47,result,1720152593000,1720152586000,LAB,2708,6.91,39215,53.25
E14001173,E14001173,City of Durham,NE,England,LAB,9.08,result,1720146612000,1720146409000,LAB,11757,28.94,40627,57.55
E14001174,E14001174,Clacton,EE,England,CON,56.31,result,1720146997000,1720146975000,REF,8405,18.29,45958,58.39
E14001175,E14001175,Clapham & Brixton Hill,GL,England,LAB,35.55,result,1720151804000,1720150154000,LAB,18005,42.13,42741,57.42
E14001176,E14001176,Colchester,EE,England,CON,22.29,result,1720142351000,1720142175000,LAB,8250,18.37,44903,57.08
E14001177,E14001177,Colne Valley,YH,England,CON,14.99,result,1720154921000,1720154906000,LAB,4963,10.74,46221,63.63
E14001178,E14001178,Congleton,NW,England,CON,36.54,result,1720156515000,1720156488000,LAB,3387,6.76,50125,67.51
E14001179,E14001179,Corby & East Northamptonshire,EM,England,CON,16.1,result,1720155924000,1720155893000,LAB,6331,12.77,49589,63.83
E14001180,E14001180,Coventry East,WM,England,LAB,17.07,result,1720144022000,1720143992000,LAB,11623,31.4,37014,48.83
E14001181,E14001181,Coventry North West,WM,England,LAB,0.44,result,1720144984000,1720144965000,LAB,11174,26.59,42030,55.86
E14001182,E14001182,Coventry South,WM,England,LAB,1.73,result,1720147225000,1720147203000,LAB,10201,23.87,42731,56.03
E14001183,E14001183,Cramlington & Killingworth,NE,England,LAB,4.49,result,1720138907000,1720138899000,LAB,12820,28.24,45394,59.55
E14001184,E14001184,Crawley,SE,England,CON,16.75,result,1720158654000,1720158634000,LAB,5235,11.47,45642,61.51
E14001185,E14001185,Crewe & Nantwich,NW,England,CON,11.59,result,1720154433000,1720154409000,LAB,9727,20.61,47197,60.18
E14001186,E14001186,Croydon East,GL,England,LAB,6.74,result,1720146738000,1720146710000,LAB,6825,15.59,43779,57.11
E14001187,E14001187,Croydon South,GL,England,CON,26.34,result,1720149408000,1720149401000,CON,2313,4.68,49378,65.87
E14001188,E14001188,Croydon West,GL,England,LAB,45.2,result,1720148966000,1720148948000,LAB,14226,37.32,38122,48.91
E14001189,E14001189,Dagenham & Rainham,GL,England,LAB,1.6,result,1720150068000,1720150040000,LAB,7173,18.46,38867,51.1
E14001190,E14001190,Darlington,NE,England,CON,10.73,result,1720141142000,1720141118000,LAB,2298,5.42,42378,59.96
E14001191,E14001191,Dartford,SE,England,CON,31.63,result,1720150922000,1720150899000,LAB,1192,2.68,44488,58.98
E14001192,E14001192,Daventry,EM,England,CON,46.72,result,1720161074000,1720161057000,CON,3012,5.67,53082,65.63
E14001193,E14001193,Derby North,EM,England,CON,5.4,result,1720148520000,1720148493000,LAB,8915,21.79,40919,55.89
E14001194,E14001194,Derby South,EM,England,LAB,14.18,result,1720149530000,1720149504000,LAB,6002,16.05,37399,51.18
E14001195,E14001195,Derbyshire Dales,EM,England,CON,34.85,result,1720158728000,1720158719000,LAB,350,0.68,51272,69.93
E14001196,E14001196,Dewsbury & Batley,YH,England,LAB,30.39,result,1720151554000,1720151524000,IND,6934,18.21,38070,53.11
E14001197,E14001197,Didcot & Wantage,SE,England,CON,18.44,result,1720156289000,1720156267000,LD,6233,11.39,54733,67.83
E14001198,E14001198,Doncaster Central,YH,England,LAB,2.76,result,1720149067000,1720149046000,LAB,9551,25.17,37944,50.81
E14001199,E14001199,Doncaster East & the Isle of Axholme,YH,England,CON,23.41,result,1720151329000,1720151303000,LAB,2311,5.91,39132,55.78
E14001200,E14001200,Doncaster North,YH,England,LAB,5.17,result,1720150337000,1720150326000,LAB,9126,29.44,31002,44.44
E14001201,E14001201,Dorking & Horley,SE,England,CON,19.05,result,1720149883000,1720149856000,LD,5391,10.79,49965,72.75
E14001202,E14001202,Dover & Deal,SE,England,CON,24.26,result,1720196421000,1720196412000,LAB,7585,15.88,47775,64.16
E14001203,E14001203,Droitwich & Evesham,WM,England,CON,48.65,result,1720148775000,1720148753000,CON,8995,18.13,49609,64.74
E14001204,E14001204,Dudley,WM,England,CON,32.23,result,1720154525000,1720154497000,LAB,1900,5.31,35796,51.03
E14001205,E14001205,Dulwich & West Norwood,GL,England,LAB,47.83,result,1720151819000,1720149188000,LAB,18789,41.41,45378,61.1
E14001206,E14001206,Dunstable & Leighton Buzzard,EE,England,CON,31.87,result,1720147844000,1720147820000,LAB,667,1.45,46045,62
E14001207,E14001207,Ealing Central & Acton,GL,England,LAB,26.67,result,1720143984000,1720143960000,LAB,13995,29.3,47769,60.9
E14001208,E14001208,Ealing North,GL,England,LAB,24.42,result,1720144818000,1720144808000,LAB,12519,28.96,43232,57.78
E14001209,E14001209,Ealing Southall,GL,England,LAB,35.82,result,1720145852000,1720145841000,LAB,15793,33.73,46816,59.51
E14001210,E14001210,Earley & Woodley,SE,England,CON,22.1,result,1720151705000,1720151698000,LAB,848,1.85,45914,63.18
E14001211,E14001211,Easington,NE,England,LAB,19.7,result,1720144543000,1720144520000,LAB,6542,19.06,34324,49.43
E14001212,E14001212,East Grinstead & Uckfield,SE,England,CON,35.45,result,1720154277000,1720154261000,CON,8480,16.83,50393,69.65
E14001213,E14001213,East Ham,GL,England,LAB,63.21,result,1720150692000,1720150659000,LAB,12863,33.95,37892,47.91
E14001214,E14001214,East Hampshire,SE,England,CON,37.29,result,1720153194000,1720153172000,CON,1275,2.54,50106,70.91
E14001215,E14001215,East Surrey,SE,England,CON,39.95,result,1720148576000,1720148551000,CON,7450,15.14,49196,67.11
E14001216,E14001216,East Thanet,SE,England,CON,15.83,result,1720147348000,1720147316000,LAB,6971,16.32,42713,57.03
E14001217,E14001217,East Wiltshire,SW,England,CON,50.06,result,1720154214000,1720154196000,CON,4715,9.99,47194,63.66
E14001218,E14001218,East Worthing & Shoreham,SE,England,CON,14.07,result,1720150772000,1720150749000,LAB,9525,19.41,49084,66.6
E14001219,E14001219,Eastbourne,SE,England,CON,4.23,result,1720146765000,1720146746000,LD,12204,26.76,45605,62.82
E14001220,E14001220,Eastleigh,SE,England,CON,17.43,result,1720141382000,1720141335000,LD,1546,3.33,46420,66.35
E14001221,E14001221,Edmonton & Winchmore Hill,GL,England,LAB,27.08,result,1720147269000,1720147262000,LAB,12632,30.78,41045,54.15
E14001222,E14001222,Ellesmere Port & Bromborough,NW,England,LAB,32.24,result,1720148006000,1720147980000,LAB,16908,40.29,41964,59.27
E14001223,E14001223,Eltham & Chislehurst,GL,England,CON,6.74,result,1720149338000,1720149317000,LAB,8429,18.5,45566,61.39
E14001224,E14001224,Ely & East Cambridgeshire,EE,England,CON,24.69,result,1720149018000,1720148991000,LD,495,0.95,52369,66.98
E14001225,E14001225,Enfield North,GL,England,LAB,17.42,result,1720145879000,1720145864000,LAB,12736,29.28,43492,55.21
E14001226,E14001226,Epping Forest,EE,England,CON,44.11,result,1720145215000,1720145207000,CON,5682,13.61,41753,56.19
E14001227,E14001227,Epsom & Ewell,SE,England,CON,29.37,result,1720156963000,1720156950000,LD,3686,6.76,54525,70.33
E14001228,E14001228,Erewash,EM,England,CON,21.73,result,1720143286000,1720143255000,LAB,5859,13.62,43006,59.3
E14001229,E14001229,Erith & Thamesmead,GL,England,LAB,30.15,result,1720150094000,1720150078000,LAB,16302,40.37,40379,51.19
E14001230,E14001230,Esher & Walton,SE,England,CON,5.37,result,1720153652000,1720153644000,LD,12003,22.28,53880,72.81
E14001231,E14001231,Exeter,SW,England,LAB,22.72,result,1720145620000,1720145580000,LAB,11937,29.7,40195,59.25
E14001232,E14001232,Exmouth & Exeter East,SW,England,CON,15.78,result,1720159020000,1720158988000,CON,121,0.24,51316,64.16
E14001233,E14001233,Fareham & Waterlooville,SE,England,CON,42.23,result,1720148397000,1720148381000,CON,6079,12.13,50123,64.52
E14001234,E14001234,Farnham & Bordon,SE,England,CON,26.55,result,1720159789000,1720159770000,CON,1349,2.54,53015,69.83
E14001235,E14001235,Faversham & Mid Kent,SE,England,CON,42.76,result,1720156426000,1720156407000,CON,1469,3.15,46594,62.71
E14001236,E14001236,Feltham & Heston,GL,England,LAB,15.94,result,1720148124000,1720148079000,LAB,7944,20.43,38887,50.51
E14001237,E14001237,Filton & Bradley Stoke,SW,England,CON,15.23,result,1720149940000,1720149913000,LAB,10000,19.85,50367,64.92
E14001238,E14001238,Finchley & Golders Green,GL,England,CON,11.96,result,1720150210000,1720150200000,LAB,4581,9.29,49289,63.6
E14001239,E14001239,Folkestone & Hythe,SE,England,CON,29.55,result,1720145385000,1720145370000,LAB,3729,8.62,43246,61.73
E14001240,E14001240,Forest of Dean,SW,England,CON,30.83,result,1720156538000,1720156520000,LAB,278,0.58,48091,67.32
E14001241,E14001241,Frome & East Somerset,SW,England,CON,25.84,result,1720154090000,1720154073000,LD,5343,11.45,46644,66.28
E14001242,E14001242,Fylde,NW,England,CON,37.06,result,1720145144000,1720145126000,CON,561,1.17,47960,62.2
E14001243,E14001243,Gainsborough,EM,England,CON,45.14,result,1720150310000,1720150289000,CON,3532,7.57,46685,61.56
E14001244,E14001244,Gateshead Central & Whickham,NE,England,LAB,14.07,result,1720138337000,1720138319000,LAB,9644,23.98,40217,58.47
E14001245,E14001245,Gedling,EM,England,CON,4.45,result,1720148673000,1720148648000,LAB,11881,24.39,48722,63.27
E14001246,E14001246,Gillingham & Rainham,SE,England,CON,32.9,result,1720150464000,1720150436000,LAB,3972,9.65,41140,55.94
E14001247,E14001247,Glastonbury & Somerton,SW,England,CON,26.66,result,1720149385000,1720149360000,LD,6611,13.88,47642,65.28
E14001248,E14001248,Gloucester,SW,England,CON,19.34,result,1720160368000,1720160359000,LAB,3431,7.51,45692,57.49
E14001249,E14001249,Godalming & Ash,SE,England,CON,19.25,result,1720151421000,1720151411000,CON,891,1.63,54696,73.75
E14001250,E14001250,Goole & Pocklington,YH,England,CON,44.69,result,1720152307000,1720152284000,CON,3572,7.18,49742,63.54
E14001251,E14001251,Gorton & Denton,NW,England,LAB,48.39,result,1720154333000,1720154287000,LAB,13413,36.69,36560,46.8
E14001252,E14001252,Gosport,SE,England,CON,48.04,result,1720148547000,1720148528000,CON,6054,13.67,44277,60.26
E14001253,E14001253,Grantham & Bourne,EM,England,CON,45.84,result,1720145858000,1720145820000,CON,4496,9.75,46125,62.94
E14001254,E14001254,Gravesham,SE,England,CON,32.76,result,1720146902000,1720146869000,LAB,2712,6.27,43232,59.15
E14001255,E14001255,Great Grimsby & Cleethorpes,YH,England,CON,23.42,result,1720148304000,1720148275000,LAB,4803,13.12,36619,46.43
E14001256,E14001256,Great Yarmouth,EE,England,CON,40.64,result,1720148201000,1720148191000,REF,1426,3.5,40748,56.63
E14001257,E14001257,Greenwich & Woolwich,GL,England,LAB,32.28,result,1720150594000,1720150571000,LAB,18366,42.99,42719,58.06
E14001258,E14001258,Guildford,SE,England,CON,5.93,result,1720155153000,1720155146000,LD,8429,17.45,48294,68.28
E14001259,E14001259,Hackney North & Stoke Newington,GL,England,LAB,56.78,result,1720149105000,1720149082000,LAB,15080,36.82,40959,52.65
E14001260,E14001260,Hackney South & Shoreditch,GL,England,LAB,63.03,result,1720148924000,1720148894000,LAB,14737,35.34,41701,53.28
E14001261,E14001261,Halesowen,WM,England,CON,27.63,result,1720152363000,1720152335000,LAB,4364,11.31,38578,56.38
E14001262,E14001262,Halifax,YH,England,LAB,3.98,result,1720151645000,1720151621000,LAB,6269,15.59,40214,51.88
E14001263,E14001263,Hamble Valley,SE,England,CON,41.18,result,1720151355000,1720151338000,CON,4802,8.89,54004,67.05
E14001264,E14001264,Hammersmith & Chiswick,GL,England,LAB,20.31,result,1720152748000,1720152740000,LAB,15290,33.22,46021,60.67
E14001265,E14001265,Hampstead & Highgate,GL,England,LAB,23.35,result,1720146889000,1720146858000,LAB,14970,30.83,48550,60.67
E14001266,E14001266,"Harborough, Oadby & Wigston",EM,England,CON,29.68,result,1720150714000,1720150692000,CON,2378,4.72,50386,65.09
E14001267,E14001267,Harlow,EE,England,CON,35.25,result,1720145062000,1720145043000,LAB,2504,5.78,43357,58.05
E14001268,E14001268,Harpenden & Berkhamsted,EE,England,CON,26.99,result,1720150812000,1720150762000,LD,10708,19.71,54336,75.21
E14001269,E14001269,Harrogate & Knaresborough,YH,England,CON,15.82,result,1720139785000,1720139759000,LD,8238,15.82,52064,66.77
E14001270,E14001270,Harrow East,GL,England,CON,17.19,result,1720150751000,1720150742000,CON,11680,24.45,47777,62.55
E14001271,E14001271,Harrow West,GL,England,LAB,18.27,result,1720149654000,1720149647000,LAB,6642,14.68,45241,56.62
E14001272,E14001272,Hartlepool,NE,England,LAB,8.76,result,1720143587000,1720143388000,LAB,7698,21.68,35511,50.12
E14001273,E14001273,Harwich & North Essex,EE,England,CON,32.64,result,1720153072000,1720153047000,CON,1162,2.42,48043,62.74
E14001274,E14001274,Hastings & Rye,SE,England,CON,6.72,result,1720151048000,1720151021000,LAB,8653,18.81,45990,60.85
E14001275,E14001275,Havant,SE,England,CON,47.42,result,1720149177000,1720149149000,CON,92,0.22,42186,58.22
E14001276,E14001276,Hayes & Harlington,GL,England,LAB,21.05,result,1720151221000,1720151191000,LAB,12031,31.4,38315,52.95
E14001277,E14001277,Hazel Grove,NW,England,CON,8.36,result,1720145151000,1720145124000,LD,6500,14.13,45998,63.97
E14001278,E14001278,Hemel Hempstead,EE,England,CON,26.82,result,1720160809000,1720160800000,LAB,4857,11.01,44108,62.09
E14001279,E14001279,Hendon,GL,England,CON,8.03,result,1720166005000,1720165997000,LAB,15,0.04,41256,55.11
E14001280,E14001280,Henley & Thame,SE,England,CON,22.1,result,1720154997000,1720154990000,LD,6267,11.79,53157,72.08
E14001281,E14001281,Hereford & South Herefordshire,WM,England,CON,41.76,result,1720153693000,1720153673000,CON,1279,2.81,45572,63.12
E14001282,E14001282,Herne Bay & Sandwich,SE,England,CON,39.97,result,1720159549000,1720159539000,CON,2499,5.12,48827,62.73
