Date,Private Enterprise,Housing Associations,Local Authorities,All
01/04/2005,"36,710","4,100",110,"40,920"
01/07/2005,"33,550","4,370",10,"37,930"
01/10/2005,"42,010","4,770",50,"46,830"
01/01/2006,"32,670","4,930",120,"37,720"
01/04/2006,"38,350","4,840",60,"43,250"
01/07/2006,"32,340","5,270",60,"37,670"
01/10/2006,"36,550","5,620",50,"42,220"
01/01/2007,"38,450","6,010",90,"44,540"
01/04/2007,"38,940","4,640",110,"43,690"
01/07/2007,"34,620","4,710",30,"39,360"
01/10/2007,"42,210","6,820",20,"49,050"
01/01/2008,"31,410","7,050",50,"38,510"
01/04/2008,"32,750","5,720",140,"38,600"
01/07/2008,"27,230","5,960",60,"33,240"
01/10/2008,"29,720","7,750",180,"37,660"
01/01/2009,"24,100","7,270",110,"31,490"
01/04/2009,"25,590","6,010",130,"31,730"
01/07/2009,"22,210","7,020",90,"29,330"
01/10/2009,"25,720","6,680",30,"32,430"
01/01/2010,"19,520","6,800",110,"26,430"
01/04/2010,"22,400","5,420",160,"27,980"
01/07/2010,"20,210","4,360",80,"24,650"
01/10/2010,"21,150","6,080",440,"27,670"
01/01/2011,"19,430","7,700",460,"27,590"
01/04/2011,"23,120","5,790",660,"29,560"
01/07/2011,"19,650","4,980",410,"25,010"
01/10/2011,"23,690","7,480",700,"31,870"
01/01/2012,"22,670","9,210",200,"32,070"
01/04/2012,"23,160","6,090",380,"29,630"
01/07/2012,"19,670","4,510",600,"24,780"
01/10/2012,"23,250","5,630",230,"29,110"
01/01/2013,"18,480","5,830",150,"24,460"
01/04/2013,"23,780","4,610",220,"28,610"
01/07/2013,"20,610","5,260",220,"26,090"
01/10/2013,"24,140","5,900",250,"30,290"
01/01/2014,"21,110","6,020",220,"27,340"
01/04/2014,"24,670","5,380",290,"30,350"
01/07/2014,"21,640","5,760",350,"27,750"
01/10/2014,"25,430","6,630",320,"32,380"
01/01/2015,"24,520","9,250",400,"34,170"
01/04/2015,"29,090","7,610",440,"37,130"
01/07/2015,"25,610","6,210",350,"32,170"
01/10/2015,"31,480","7,060",470,"39,010"
01/01/2016,"25,160","5,600",650,"31,410"
01/04/2016,"29,730","5,930",610,"36,260"
01/07/2016,"29,590","5,800",420,"35,810"
01/10/2016,"30,870","7,100",430,"38,400"
01/01/2017,"30,270","6,410",380,"37,050"
01/04/2017,"34,590","7,160",410,"42,160"
01/07/2017,"30,360","6,270",360,"36,980"
01/10/2017,"38,240","7,450",600,"46,280"
01/01/2018,"28,540","6,290",650,"35,480"
01/04/2018,"35,020","6,730",730,"42,480"
01/07/2018,"31,640","6,310",700,"38,660"
01/10/2018,"40,020","8,250",600,"48,870"
01/01/2019,"31,590","6,930",530,"39,050"
01/04/2019,"37,200","8,600",500,"46,310"
01/07/2019,"35,220","6,730",850,"42,800"
01/10/2019,"39,680","9,740",310,"49,720"
01/01/2020,"29,100","7,220",190,"36,510"
01/04/2020,"14,180","2,340",110,"16,640"
01/07/2020,"34,480","7,400",350,"42,230"
01/10/2020,"43,360","8,510",640,"52,510"
01/01/2021,"36,270","7,760",550,"44,570"
01/04/2021,"36,040","7,800",290,"44,120"
01/07/2021,"33,140","7,770",270,"41,180"
01/10/2021,"37,110","7,980",440,"45,520"
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
01/07/2002,,,,
01/10/2002,,,,
01/01/2003,,,,
01/04/2003,,,,
01/07/2003,,,,
01/10/2003,,,,
01/01/2004,,,,
01/04/2004,,,,
01/07/2004,,,,
01/10/2004,,,,
01/01/2005,,,,
01/04/2005,,,,
01/07/2005,,,,
01/10/2005,,,,
01/01/2006,,,,
01/04/2006,,,,
01/07/2006,,,,
01/10/2006,,,,
01/01/2007,,,,
01/04/2007,,,,
01/07/2007,,,,
01/10/2007,,,,
01/01/2008,,,,
01/04/2008,,,,
01/07/2008,,,,
01/10/2008,,,,
01/01/2009,,,,
01/04/2009,,,,
01/07/2009,,,,
01/10/2009,,,,
01/01/2010,,,,
01/04/2010,,,,
01/07/2010,,,,
01/10/2010,,,,
01/01/2011,,,,
01/04/2011,,,,
01/07/2011,,,,
01/10/2011,,,,
01/01/2012,,,,
01/04/2012,,,,
01/07/2012,,,,
01/10/2012,,,,
01/01/2013,,,,
01/04/2013,,,,
01/07/2013,,,,
01/10/2013,,,,
01/01/2014,,,,
01/04/2014,,,,
01/07/2014,,,,
01/10/2014,,,,
01/01/2015,,,,
01/04/2015,,,,
01/07/2015,,,,
01/10/2015,,,,
01/01/2016,,,,
01/04/2016,,,,
01/07/2016,,,,
01/10/2016,,,,
01/01/2017,,,,
01/04/2017,,,,
01/07/2017,,,,
01/10/2017,,,,
01/01/2018,,,,
01/04/2018,,,,
01/07/2018,,,,
01/10/2018,,,,
01/01/2019,,,,
01/04/2019,,,,
01/07/2019,,,,
01/10/2019,,,,
01/01/2020,,,,
01/04/2020,,,,
01/07/2020,,,,
01/10/2020,,,,
01/01/2021,,,,
01/04/2021,,,,
01/07/2021,,,,
01/10/2021,,,,
01/01/1990,,,,
01/04/1990,,,,
01/07/1990,,,,
01/10/1990,,,,
01/01/1991,,,,
01/04/1991,,,,
01/07/1991,,,,
01/10/1991,,,,
01/01/1992,,,,
01/04/1992,,,,
01/07/1992,,,,
01/10/1992,,,,
01/01/1993,,,,
01/04/1993,,,,
01/07/1993,,,,
01/10/1993,,,,
01/01/1994,,,,
01/04/1994,,,,
01/07/1994,,,,
01/10/1994,,,,
01/01/1995,,,,
01/04/1995,,,,
01/07/1995,,,,
01/10/1995,,,,
01/01/1996,,,,
01/04/1996,,,,
01/07/1996,,,,
01/10/1996,,,,
01/01/1997,,,,
01/04/1997,,,,
01/07/1997,,,,
01/10/1997,,,,
01/01/1998,,,,
01/04/1998,,,,
01/07/1998,,,,
01/10/1998,,,,
01/01/1999,,,,
01/04/1999,,,,
01/07/1999,,,,
01/10/1999,,,,
01/01/2000,,,,
01/04/2000,,,,
01/07/2000,,,,
01/10/2000,,,,
01/01/2001,,,,
01/04/2001,,,,
01/07/2001,,,,
01/10/2001,,,,
01/01/2002,,,,
01/04/2002,,,,
