LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,HOUSECOST,REAL,IDX2015,A,1982,31.38160198
AUS,HOUSECOST,REAL,IDX2015,A,1983,30.34996933
AUS,HOUSECOST,REAL,IDX2015,A,1984,31.8161238
AUS,HOUSECOST,REAL,IDX2015,A,1985,32.87969607
AUS,HOUSECOST,REAL,IDX2015,A,1986,32.52426184
AUS,HOUSECOST,REAL,IDX2015,A,1987,31.91256704
AUS,HOUSECOST,REAL,IDX2015,A,1988,36.53066004
AUS,HOUSECOST,REAL,IDX2015,A,1989,42.81302556
AUS,HOUSECOST,REAL,IDX2015,A,1990,40.82955141
AUS,HOUSECOST,REAL,IDX2015,A,1991,40.37703122
AUS,HOUSECOST,REAL,IDX2015,A,1992,40.23330931
AUS,HOUSECOST,REAL,IDX2015,A,1993,40.43251458
AUS,HOUSECOST,REAL,IDX2015,A,1994,41.22440676
AUS,HOUSECOST,REAL,IDX2015,A,1995,40.59024479
AUS,HOUSECOST,REAL,IDX2015,A,1996,40.1101814
AUS,HOUSECOST,REAL,IDX2015,A,1997,41.14933382
AUS,HOUSECOST,REAL,IDX2015,A,1998,43.54854429
AUS,HOUSECOST,REAL,IDX2015,A,1999,46.16626779
AUS,HOUSECOST,REAL,IDX2015,A,2000,48.34960621
AUS,HOUSECOST,REAL,IDX2015,A,2001,51.97385429
AUS,HOUSECOST,REAL,IDX2015,A,2002,60.07400427
AUS,HOUSECOST,REAL,IDX2015,A,2003,69.45998069
AUS,HOUSECOST,REAL,IDX2015,A,2004,72.72012479
AUS,HOUSECOST,REAL,IDX2015,A,2005,72.44726287
AUS,HOUSECOST,REAL,IDX2015,A,2006,74.7803475
AUS,HOUSECOST,REAL,IDX2015,A,2007,80.12948932
AUS,HOUSECOST,REAL,IDX2015,A,2008,80.64981746
AUS,HOUSECOST,REAL,IDX2015,A,2009,81.7838106
AUS,HOUSECOST,REAL,IDX2015,A,2010,89.39071432
AUS,HOUSECOST,REAL,IDX2015,A,2011,85.5070911
AUS,HOUSECOST,REAL,IDX2015,A,2012,83.29842037
AUS,HOUSECOST,REAL,IDX2015,A,2013,86.80376235
AUS,HOUSECOST,REAL,IDX2015,A,2014,92.96988548
AUS,HOUSECOST,REAL,IDX2015,A,2015,100
AUS,HOUSECOST,REAL,IDX2015,A,2016,104.6011188
AUS,HOUSECOST,REAL,IDX2015,A,2017,111.9303599
AUS,HOUSECOST,REAL,IDX2015,A,2018,108.5795655
AUS,HOUSECOST,REAL,IDX2015,A,2019,102.3338054
AUS,HOUSECOST,REAL,IDX2015,A,2020,106.7971882
AUS,HOUSECOST,REAL,IDX2015,A,2021,123.4781062
AUS,HOUSECOST,RENT,IDX2015,A,1973,9.366454921
AUS,HOUSECOST,RENT,IDX2015,A,1974,10.4147668
AUS,HOUSECOST,RENT,IDX2015,A,1975,12.12397652
AUS,HOUSECOST,RENT,IDX2015,A,1976,13.90155174
AUS,HOUSECOST,RENT,IDX2015,A,1977,15.42844443
AUS,HOUSECOST,RENT,IDX2015,A,1978,16.70465209
AUS,HOUSECOST,RENT,IDX2015,A,1979,18.11759726
AUS,HOUSECOST,RENT,IDX2015,A,1980,19.34822742
AUS,HOUSECOST,RENT,IDX2015,A,1981,20.92069512
AUS,HOUSECOST,RENT,IDX2015,A,1982,23.38195292
AUS,HOUSECOST,RENT,IDX2015,A,1983,25.45579068
AUS,HOUSECOST,RENT,IDX2015,A,1984,27.32452342
AUS,HOUSECOST,RENT,IDX2015,A,1985,29.64904871
AUS,HOUSECOST,RENT,IDX2015,A,1986,32.70282659
AUS,HOUSECOST,RENT,IDX2015,A,1987,36.07566701
AUS,HOUSECOST,RENT,IDX2015,A,1988,40.20055253
AUS,HOUSECOST,RENT,IDX2015,A,1989,44.0063855
AUS,HOUSECOST,RENT,IDX2015,A,1990,46.62717083
AUS,HOUSECOST,RENT,IDX2015,A,1991,48.15406352
AUS,HOUSECOST,RENT,IDX2015,A,1992,48.60985608
AUS,HOUSECOST,RENT,IDX2015,A,1993,48.8377461
AUS,HOUSECOST,RENT,IDX2015,A,1994,49.17958615
AUS,HOUSECOST,RENT,IDX2015,A,1995,50.02279375
AUS,HOUSECOST,RENT,IDX2015,A,1996,51.54968644
AUS,HOUSECOST,RENT,IDX2015,A,1997,53.05379163
AUS,HOUSECOST,RENT,IDX2015,A,1998,54.67183933
AUS,HOUSECOST,RENT,IDX2015,A,1999,56.13036202
AUS,HOUSECOST,RENT,IDX2015,A,2000,57.86236223
AUS,HOUSECOST,RENT,IDX2015,A,2001,59.66272246
AUS,HOUSECOST,RENT,IDX2015,A,2002,61.14403514
AUS,HOUSECOST,RENT,IDX2015,A,2003,62.28351029
AUS,HOUSECOST,RENT,IDX2015,A,2004,63.85597798
AUS,HOUSECOST,RENT,IDX2015,A,2005,65.26892316
AUS,HOUSECOST,RENT,IDX2015,A,2006,67.38833842
AUS,HOUSECOST,RENT,IDX2015,A,2007,71.08022889
AUS,HOUSECOST,RENT,IDX2015,A,2008,76.64084708
AUS,HOUSECOST,RENT,IDX2015,A,2009,81.74568272
AUS,HOUSECOST,RENT,IDX2015,A,2010,85.30083316
AUS,HOUSECOST,RENT,IDX2015,A,2011,89.22061115
AUS,HOUSECOST,RENT,IDX2015,A,2012,92.91250161
AUS,HOUSECOST,RENT,IDX2015,A,2013,95.966282
AUS,HOUSECOST,RENT,IDX2015,A,2014,98.3819623
AUS,HOUSECOST,RENT,IDX2015,A,2015,100
AUS,HOUSECOST,RENT,IDX2015,A,2016,100.7520626
AUS,HOUSECOST,RENT,IDX2015,A,2017,101.3901627
AUS,HOUSECOST,RENT,IDX2015,A,2018,102.0510378
AUS,HOUSECOST,RENT,IDX2015,A,2019,102.4157128
AUS,HOUSECOST,RENT,IDX2015,A,2020,101.4585377
AUS,HOUSECOST,RENT,IDX2015,A,2021,101.2762377
