FIPS,State,County,Cheapest Technology,Cost
26133,Osceola,Michigan,Natural Gas Combined Cycle,68.54956229391468
26143,Roscommon,Michigan,Natural Gas Combined Cycle,68.69406449298144
26155,Shiawassee,Michigan,Natural Gas Combined Cycle,68.60919684290367
26161,Washtenaw,Michigan,Solar PV (Utility),100.94593655104386
26165,Wexford,Michigan,Natural Gas Combined Cycle,67.87003104352583
27009,Benton,Minnesota,Solar PV (Utility),99.43011380519002
27019,Carver,Minnesota,Solar PV (Utility),100.84490713545756
27029,Clearwater,Minnesota,Wind,70.07397650320952
27039,Dodge,Minnesota,Wind,77.77381997712206
27051,Grant,Minnesota,Wind,75.82613856167104
27057,Hubbard,Minnesota,Solar PV (Utility),99.56118019665814
27067,Kandiyohi,Minnesota,Wind,91.1271977746317
29097,Jasper,Missouri,Wind,74.48387800843363
29103,Knox,Missouri,Wind,87.73052807107887
29109,Lawrence,Missouri,Wind,70.65255181845023
29117,Livingston,Missouri,Solar PV (Utility),91.13019416681662
29131,Miller,Missouri,Solar PV (Utility),89.30518317420382
29137,Monroe,Missouri,Wind,75.89087520258968
29151,Osage,Missouri,Solar PV (Utility),90.26860337830338
29159,Pettis,Missouri,Solar PV (Utility),89.85998571595812
29169,Pulaski,Missouri,Solar PV (Utility),88.96935795156308
29179,Reynolds,Missouri,Solar PV (Utility),88.21059657863617
29195,Saline,Missouri,Wind,88.22932119842807
29205,Shelby,Missouri,Wind,82.2662036702377
29211,Sullivan,Missouri,Wind,91.54120871408936
29221,Washington,Missouri,Solar PV (Utility),89.56891595714008
29229,Wright,Missouri,Solar PV (Utility),87.07275451924578
30013,Cascade,Montana,Natural Gas Combined Cycle,54.49106621771245
30037,Golden Valley,Montana,Wind,83.44629984769205
30043,Jefferson,Montana,Natural Gas Combined Cycle,54.27046996732359
31121,Merrick,Nebraska,Wind,71.41973705644692
31125,Nance,Nebraska,Wind,72.57658768692839
31135,Perkins,Nebraska,Wind,74.48147800843363
31137,Phelps,Nebraska,Wind,64.89838975998873
31147,Richardson,Nebraska,Wind,77.17449911490846
31159,Seward,Nebraska,Wind,72.03930346563341
31163,Sherman,Nebraska,Wind,69.57578337586033
31171,Thomas,Nebraska,Wind,69.45341009402303
31183,Wheeler,Nebraska,Wind,64.319914444748
32009,Esmeralda,Nevada,Solar PV (Utility),67.86240590107747
32021,Mineral,Nevada,Natural Gas Combined Cycle,60.20908254585895
32033,White Pine,Nevada,Solar PV (Utility),71.18932115160318
34007,Camden,New Jersey,Solar PV (Residential),306.66550435151
34015,Gloucester,New Jersey,Solar PV (Utility),100.72875923193033
34031,Passaic,New Jersey,Solar PV (Residential),325.9277722220435
35001,Bernalillo,New Mexico,Solar PV (Utility),64.58104611437444
35006,Cibola,New Mexico,Solar PV (Utility),64.87121587319248
30051,Liberty,Montana,Natural Gas Combined Cycle,54.81644351786798
30059,Meagher,Montana,Solar PV (Utility),83.96711658783359
30069,Petroleum,Montana,Solar PV (Utility),88.09524867510893
30093,Silver Bow,Montana,Natural Gas Combined Cycle,53.90881936701252
30099,Teton,Montana,Natural Gas Combined Cycle,54.421346267479144
30107,Wheatland,Montana,Wind,74.2765225387048
31003,Antelope,Nebraska,Wind,61.17289130486976
31009,Blaine,Nebraska,Wind,71.85489354287748
31023,Butler,Nebraska,Wind,70.30077751991124
31035,Clay,Nebraska,Wind,62.12338646562238
31037,Colfax,Nebraska,Wind,71.97836682471477
31047,Dawson,Nebraska,Wind,72.97285307941317
31053,Dodge,Nebraska,Wind,73.94469378713868
31063,Frontier,Nebraska,Wind,76.8639159103152
31073,Gosper,Nebraska,Wind,70.17500423807394
31085,Hayes,Nebraska,Wind,75.82663856167105
31093,Howard,Nebraska,Wind,70.5910151775316
31097,Johnson,Nebraska,Wind,73.75838386438272
31117,McPherson,Nebraska,Wind,73.79917495832849
28079,Leake,Mississippi,Natural Gas Combined Cycle,57.36173763917069
28083,Leflore,Mississippi,Natural Gas Combined Cycle,59.23782822392768
28095,Monroe,Mississippi,Natural Gas Combined Cycle,56.891591046636655
28099,Neshoba,Mississippi,Natural Gas Combined Cycle,57.523567939326234
28103,Noxubee,Mississippi,Natural Gas Combined Cycle,56.78816554741436
28115,Pontotoc,Mississippi,Natural Gas Combined Cycle,56.487128945547866
28117,Prentiss,Mississippi,Natural Gas Combined Cycle,57.31171094554786
28127,Simpson,Mississippi,Natural Gas Combined Cycle,59.33319662517201
28139,Tippah,Mississippi,Natural Gas Combined Cycle,56.58194379469239
28151,Washington,Mississippi,Natural Gas Combined Cycle,59.66401387400545
29001,Adair,Missouri,Wind,85.57939118589901
29009,Barry,Missouri,Solar PV (Utility),85.40984689398292
29021,Buchanan,Missouri,Wind,76.90520700426096
29033,Carroll,Missouri,Solar PV (Utility),91.15863114269843
29043,Christian,Missouri,Solar PV (Utility),86.21396373073254
29053,Cooper,Missouri,Solar PV (Utility),90.51571767329872
29065,Dent,Missouri,Wind,87.85500135291616
29075,Gentry,Missouri,Wind,77.73382888317629
29085,Hickory,Missouri,Solar PV (Utility),88.60609575304053
37001,Alamance,North Carolina,Solar PV (Utility),85.58526874927375
37005,Alleghany,North Carolina,Wind,62.66227068691735
37017,Bladen,North Carolina,Solar PV (Utility),84.6972409848787
37021,Buncombe,North Carolina,Wind,77.68923778923053
37027,Caldwell,North Carolina,Solar PV (Utility),84.74059644870142
37055,Dare,North Carolina,Solar PV (Utility),90.31325884212609
37057,Davidson,North Carolina,Solar PV (Utility),84.053127515479
37067,Forsyth,North Carolina,Solar PV (Utility),84.76973342458321
37081,Guilford,North Carolina,Solar PV (Utility),85.04618469546035
37091,Hertford,North Carolina,Natural Gas Combined Cycle,71.63065003107616
37103,Jones,North Carolina,Solar PV (Utility),88.24053355451797
37117,Martin,North Carolina,Solar PV (Utility),88.89846551185857
37127,Nash,North Carolina,Solar PV (Utility),86.94318812777766
37141,Pender,North Carolina,Solar PV (Utility),86.09651582720532
37151,Randolph,North Carolina,Solar PV (Utility),84.31586029841525
37165,Scotland,North Carolina,Solar PV (Residential),256.21931230963645
37167,Stanly,North Carolina,Solar PV (Utility),83.25101067872939
39055,Geauga,Ohio,Wind,100.31492063059183
39063,Hancock,Ohio,Natural Gas Combined Cycle,79.54796853495827
39065,Hardin,Ohio,Natural Gas Combined Cycle,76.62116003573598
39075,Holmes,Ohio,Natural Gas Combined Cycle,79.54381763138083
39089,Licking,Ohio,Natural Gas Combined Cycle,75.99825923324732
39097,Madison,Ohio,Wind,89.73734612744852
39109,Miami,Ohio,Wind,95.55384482682871
39121,Noble,Ohio,Solar PV (Utility),99.284128925781
39131,Pike,Ohio,Solar PV (Utility),94.92190103145121
39143,Sandusky,Ohio,Wind,77.90009325895936
39147,Seneca,Ohio,Wind,77.19604466188133
39159,Union,Ohio,Natural Gas Combined Cycle,76.29829853495826
39169,Wayne,Ohio,Natural Gas Combined Cycle,80.47146553029205
39173,Wood,Ohio,Natural Gas Combined Cycle,81.84496673246963
40009,Beckham,Oklahoma,Wind,51.05131883512989
40019,Carter,Oklahoma,Natural Gas Combined Cycle,64.27300538410921
40031,Comanche,Oklahoma,Wind,59.766194110713705
40043,Dewey,Oklahoma,Wind,49.53819390610943
40053,Grant,Oklahoma,Wind,62.2286142004868
37181,Vance,North Carolina,Natural Gas Combined Cycle,69.18103399219733
37191,Wayne,North Carolina,Solar PV (Utility),86.72281080866412
37197,Yadkin,North Carolina,Solar PV (Utility),84.78365191252412
38007,Billings,North Dakota,Wind,64.5651610084226
38019,Cavalier,North Dakota,Wind,61.17109130486976
38031,Foster,North Dakota,Wind,61.06986357000534
38035,Grand Forks,North Dakota,Wind,66.82442562846686
38045,LaMoure,North Dakota,Wind,60.033086221361174
38061,Mountrail,North Dakota,Wind,64.09141342804628
38073,Ransom,North Dakota,Wind,62.392678576269866
38079,Rolette,North Dakota,Wind,82.22601257629194
38091,Steele,North Dakota,Wind,61.09030911697822
38103,Wells,North Dakota,Wind,61.9807676368122
39003,Allen,Ohio,Wind,85.12058915249558
39015,Brown,Ohio,Natural Gas Combined Cycle,75.75063604351303
39027,Clinton,Ohio,Natural Gas Combined Cycle,76.01534464226869
39039,Defiance,Ohio,Natural Gas Combined Cycle,79.12279083666922
39047,Fayette,Ohio,Natural Gas Combined Cycle,76.1591268879913
35015,Eddy,New Mexico,Solar PV (Utility),66.37332013110543
35027,Lincoln,New Mexico,Solar PV (Utility),64.79762343348798
35028,Los Alamos,New Mexico,Solar PV (Utility),64.75596796966528
35045,San Juan,New Mexico,Solar PV (Utility),66.00865793258288
35053,Socorro,New Mexico,Solar PV (Utility),63.71905532586121
36003,Allegany,New York,Wind,77.81671107106783
36021,Columbia,New York,Natural Gas Combined Cycle,97.61177456449184
36037,Genesee,New York,Wind,71.62759252617575
36043,Herkimer,New York,Wind,79.46995482889848
36057,Montgomery,New York,Natural Gas Combined Cycle,95.48437282576855
36069,Ontario,New York,Wind,76.42995942388465
36083,Rensselaer,New York,Natural Gas Combined Cycle,96.40339712125787
36095,Schoharie,New York,Wind,71.25147268066385
36109,Tompkins,New York,Wind,82.57518687483096
36121,Wyoming,New York,Wind,67.32021875581606
36123,Yates,New York,Wind,72.91041643849452
42013,Blair,Pennsylvania,Wind,72.99239862638605
42015,Bradford,Pennsylvania,Natural Gas Combined Cycle,68.18890045098539
42021,Cambria,Pennsylvania,Wind,65.16818187063622
42031,Clarion,Pennsylvania,Natural Gas Combined Cycle,67.02927341055116
42047,Elk,Pennsylvania,Wind,90.21299370782485
42063,Indiana,Pennsylvania,Wind,89.40851737588241
