Country,ISO3,Total Change,Position,Year,GDP per capita (constant)
Madagascar,MDG,-0.45969670890161585,Bottom,1967,784.4403653
DR Congo,COD,-0.6005216049573769,Bottom,1967,1228.864708
China,CHN,45.96692451296536,Top,1968,214.7696866
South Korea,KOR,30.85562323271839,Top,1968,1639.452982
Singapore,SGP,17.321160796511162,Top,1968,5562.421225
Botswana,BWA,15.061594022948459,Top,1968,590.2174449
Thailand,THA,9.238146719493058,Top,1968,868.6041041
Haiti,HTI,-0.2514861320050144,Bottom,1968,1535.662553
Niger,NER,-0.31761660988843643,Bottom,1968,796.5339184
Central African Republic,CAF,-0.3648995017666149,Bottom,1968,548.253366
Madagascar,MDG,-0.45969670890161585,Bottom,1968,815.1554111
DR Congo,COD,-0.6005216049573769,Bottom,1968,1244.991773
China,CHN,45.96692451296536,Top,1969,244.3635327
South Korea,KOR,30.85562323271839,Top,1969,1836.145882
Singapore,SGP,17.321160796511162,Top,1969,6237.364358
Botswana,BWA,15.061594022948459,Top,1969,674.7512045
Thailand,THA,9.238146719493058,Top,1969,899.4250623
Haiti,HTI,-0.2514861320050144,Bottom,1969,1565.541433
Niger,NER,-0.31761660988843643,Bottom,1969,732.1158151
Central African Republic,CAF,-0.3648995017666149,Bottom,1969,573.6965825
Madagascar,MDG,-0.45969670890161585,Bottom,1969,821.9220337
DR Congo,COD,-0.6005216049573769,Bottom,1969,1322.189423
China,CHN,45.96692451296536,Top,1970,283.5848554
South Korea,KOR,30.85562323271839,Top,1970,1977.071043
Singapore,SGP,17.321160796511162,Top,1970,6997.32627
Botswana,BWA,15.061594022948459,Top,1970,782.9220618
Thailand,THA,9.238146719493058,Top,1970,973.9188092
Haiti,HTI,-0.2514861320050144,Bottom,1970,1547.40076
Niger,NER,-0.31761660988843643,Bottom,1970,734.0142337
Central African Republic,CAF,-0.3648995017666149,Bottom,1970,574.0636158
Madagascar,MDG,-0.45969670890161585,Bottom,1970,840.6043141
DR Congo,COD,-0.6005216049573769,Bottom,1970,1281.733268
China,CHN,45.96692451296536,Top,1971,295.3796492
South Korea,KOR,30.85562323271839,Top,1971,2142.900701
Singapore,SGP,17.321160796511162,Top,1971,7723.004948
Botswana,BWA,15.061594022948459,Top,1971,965.6857681
Thailand,THA,9.238146719493058,Top,1971,993.38951
Haiti,HTI,-0.2514861320050144,Bottom,1971,1618.083827
Niger,NER,-0.31761660988843643,Bottom,1971,755.1067358
Central African Republic,CAF,-0.3648995017666149,Bottom,1971,568.4887217
Madagascar,MDG,-0.45969670890161585,Bottom,1971,848.0013903
DR Congo,COD,-0.6005216049573769,Bottom,1971,1321.88746
China,CHN,45.96692451296536,Top,1972,299.1903597
South Korea,KOR,30.85562323271839,Top,1972,2254.798024
Singapore,SGP,17.321160796511162,Top,1972,8590.764864
Botswana,BWA,15.061594022948459,Top,1972,1176.51619
Thailand,THA,9.238146719493058,Top,1972,1007.789655
Haiti,HTI,-0.2514861320050144,Bottom,1972,1604.707064
Niger,NER,-0.31761660988843643,Bottom,1972,697.3079208
Central African Republic,CAF,-0.3648995017666149,Bottom,1972,557.2944745
Madagascar,MDG,-0.45969670890161585,Bottom,1972,812.2000814
DR Congo,COD,-0.6005216049573769,Bottom,1972,1289.006981
China,CHN,45.96692451296536,Top,1973,315.1291069
South Korea,KOR,30.85562323271839,Top,1973,2545.316171
Singapore,SGP,17.321160796511162,Top,1973,9325.735694
Botswana,BWA,15.061594022948459,Top,1973,1360.608691
Thailand,THA,9.238146719493058,Top,1973,1081.267095
Haiti,HTI,-0.2514861320050144,Bottom,1973,1651.213608
Niger,NER,-0.31761660988843643,Bottom,1973,563.2207045
Central African Republic,CAF,-0.3648995017666149,Bottom,1973,556.885484
Madagascar,MDG,-0.45969670890161585,Bottom,1973,767.2686673
DR Congo,COD,-0.6005216049573769,Bottom,1973,1356.871478
China,CHN,45.96692451296536,Top,1974,315.8161062
South Korea,KOR,30.85562323271839,Top,1974,2740.088622
Singapore,SGP,17.321160796511162,Top,1974,9732.904047
Botswana,BWA,15.061594022948459,Top,1974,1406.843438
Thailand,THA,9.238146719493058,Top,1974,1100.460299
Haiti,HTI,-0.2514861320050144,Bottom,1974,1715.423891
Niger,NER,-0.31761660988843643,Bottom,1974,596.4699806
Central African Republic,CAF,-0.3648995017666149,Bottom,1974,580.7094648
Madagascar,MDG,-0.45969670890161585,Bottom,1974,759.3313036
DR Congo,COD,-0.6005216049573769,Bottom,1974,1362.290057
China,CHN,45.96692451296536,Top,1975,337.3435231
South Korea,KOR,30.85562323271839,Top,1975,2905.623817
Singapore,SGP,17.321160796511162,Top,1975,9974.402294
Botswana,BWA,15.061594022948459,Top,1975,1449.459914
Thailand,THA,9.238146719493058,Top,1975,1126.707956
Haiti,HTI,-0.2514861320050144,Bottom,1975,1702.895659
Niger,NER,-0.31761660988843643,Bottom,1975,564.2901302
Central African Republic,CAF,-0.3648995017666149,Bottom,1975,571.6697609
Madagascar,MDG,-0.45969670890161585,Bottom,1975,746.0913332
DR Congo,COD,-0.6005216049573769,Bottom,1975,1260.493932
China,CHN,45.96692451296536,Top,1976,326.948883
South Korea,KOR,30.85562323271839,Top,1976,3237.683
Singapore,SGP,17.321160796511162,Top,1976,10572.75916
Botswana,BWA,15.061594022948459,Top,1976,1523.238308
Thailand,THA,9.238146719493058,Top,1976,1203.157685
Haiti,HTI,-0.2514861320050144,Bottom,1976,1812.024879
Niger,NER,-0.31761660988843643,Bottom,1976,552.6778857
Central African Republic,CAF,-0.3648995017666149,Bottom,1976,593.776776
Madagascar,MDG,-0.45969670890161585,Bottom,1976,701.8915359
DR Congo,COD,-0.6005216049573769,Bottom,1976,1163.183647
China,CHN,45.96692451296536,Top,1977,346.9385432
South Korea,KOR,30.85562323271839,Top,1977,3580.819169
Singapore,SGP,17.321160796511162,Top,1977,11141.7824
Botswana,BWA,15.061594022948459,Top,1977,1620.486223
Thailand,THA,9.238146719493058,Top,1977,1291.925596
Haiti,HTI,-0.2514861320050144,Bottom,1977,1843.394993
Niger,NER,-0.31761660988843643,Bottom,1977,579.126192
Central African Republic,CAF,-0.3648995017666149,Bottom,1977,610.1402413
Madagascar,MDG,-0.45969670890161585,Bottom,1977,697.4478032
DR Congo,COD,-0.6005216049573769,Bottom,1977,1142.97208
China,CHN,45.96692451296536,Top,1978,381.0986563
South Korea,KOR,30.85562323271839,Top,1978,3913.123869
Singapore,SGP,17.321160796511162,Top,1978,11863.9097
Botswana,BWA,15.061594022948459,Top,1978,1760.205254
Thailand,THA,9.238146719493058,Top,1978,1393.617475
Haiti,HTI,-0.2514861320050144,Bottom,1978,1920.038324
Niger,NER,-0.31761660988843643,Bottom,1978,638.4148607
Central African Republic,CAF,-0.3648995017666149,Bottom,1978,611.2779889
Madagascar,MDG,-0.45969670890161585,Bottom,1978,659.1158348
DR Congo,COD,-0.6005216049573769,Bottom,1978,1049.060638
China,CHN,45.96692451296536,Top,1979,404.5959179
South Korea,KOR,30.85562323271839,Top,1979,4188.422281
Singapore,SGP,17.321160796511162,Top,1979,12834.39347
Botswana,BWA,15.061594022948459,Top,1979,1876.600201
Thailand,THA,9.238146719493058,Top,1979,1437.201199
Haiti,HTI,-0.2514861320050144,Bottom,1979,2025.006076
Niger,NER,-0.31761660988843643,Bottom,1979,663.8426403
Central African Republic,CAF,-0.3648995017666149,Bottom,1979,590.1301445
Madagascar,MDG,-0.45969670890161585,Bottom,1979,703.1302246
DR Congo,COD,-0.6005216049573769,Bottom,1979,1017.473574
China,CHN,45.96692451296536,Top,1980,430.8546487
South Korea,KOR,30.85562323271839,Top,1980,4055.790842
Singapore,SGP,17.321160796511162,Top,1980,13954.14391
Botswana,BWA,15.061594022948459,Top,1980,2000.6134
Thailand,THA,9.238146719493058,Top,1980,1479.245317
Haiti,HTI,-0.2514861320050144,Bottom,1980,2131.889253
Niger,NER,-0.31761660988843643,Bottom,1980,628.0315752
Central African Republic,CAF,-0.3648995017666149,Bottom,1980,557.8779758
Madagascar,MDG,-0.45969670890161585,Bottom,1980,689.5314149
DR Congo,COD,-0.6005216049573769,Bottom,1980,1008.430415
China,CHN,45.96692451296536,Top,1981,447.1189967
South Korea,KOR,30.85562323271839,Top,1981,4282.34337
Singapore,SGP,17.321160796511162,Top,1981,14737.56858
Botswana,BWA,15.061594022948459,Top,1981,2083.898936
Thailand,THA,9.238146719493058,Top,1981,1533.446182
Haiti,HTI,-0.2514861320050144,Bottom,1981,2030.256288
Niger,NER,-0.31761660988843643,Bottom,1981,607.9017876
Central African Republic,CAF,-0.3648995017666149,Bottom,1981,543.4712284
Madagascar,MDG,-0.45969670890161585,Bottom,1981,604.451789
DR Congo,COD,-0.6005216049573769,Bottom,1981,1003.975374
China,CHN,45.96692451296536,Top,1982,480.310474
South Korea,KOR,30.85562323271839,Top,1982,4568.259118
Singapore,SGP,17.321160796511162,Top,1982,15106.52547
Botswana,BWA,15.061594022948459,Top,1982,2245.423922
Thailand,THA,9.238146719493058,Top,1982,1582.566248
Haiti,HTI,-0.2514861320050144,Bottom,1982,1918.767275
Niger,NER,-0.31761660988843643,Bottom,1982,602.3685186
Central African Republic,CAF,-0.3648995017666149,Bottom,1982,579.0879655
Madagascar,MDG,-0.45969670890161585,Bottom,1982,576.4585198
DR Congo,COD,-0.6005216049573769,Bottom,1982,972.4142348
China,CHN,45.96692451296536,Top,1983,524.4084369
South Korea,KOR,30.85562323271839,Top,1983,5103.523017
Singapore,SGP,17.321160796511162,Top,1983,16187.20886
Botswana,BWA,15.061594022948459,Top,1983,2450.30572
Thailand,THA,9.238146719493058,Top,1983,1637.630544
Haiti,HTI,-0.2514861320050144,Bottom,1983,1897.436948
Niger,NER,-0.31761660988843643,Bottom,1983,561.7940302
Central African Republic,CAF,-0.3648995017666149,Bottom,1983,526.1725946
Madagascar,MDG,-0.45969670890161585,Bottom,1983,565.5769817
DR Congo,COD,-0.6005216049573769,Bottom,1983,959.4202626
China,CHN,45.96692451296536,Top,1984,596.200056
South Korea,KOR,30.85562323271839,Top,1984,5572.83257
Singapore,SGP,17.321160796511162,Top,1984,17280.68462
Botswana,BWA,15.061594022948459,Top,1984,2566.647897
Thailand,THA,9.238146719493058,Top,1984,1698.12464
Haiti,HTI,-0.2514861320050144,Bottom,1984,1865.147674
Niger,NER,-0.31761660988843643,Bottom,1984,453.4143352
Central African Republic,CAF,-0.3648995017666149,Bottom,1984,569.5704476
Madagascar,MDG,-0.45969670890161585,Bottom,1984,559.7328432
DR Congo,COD,-0.6005216049573769,Bottom,1984,982.9409848
China,CHN,45.96692451296536,Top,1985,667.1273635
South Korea,KOR,30.85562323271839,Top,1985,5950.800428
Singapore,SGP,17.321160796511162,Top,1985,17149.62735
Botswana,BWA,15.061594022948459,Top,1985,2654.069245
Thailand,THA,9.238146719493058,Top,1985,1743.385257
Haiti,HTI,-0.2514861320050144,Bottom,1985,1838.668992
Niger,NER,-0.31761660988843643,Bottom,1985,473.883507
Central African Republic,CAF,-0.3648995017666149,Bottom,1985,585.0904801
Madagascar,MDG,-0.45969670890161585,Bottom,1985,550.6598741
DR Congo,COD,-0.6005216049573769,Bottom,1985,958.0354133
China,CHN,45.96692451296536,Top,1986,716.1040751
South Korea,KOR,30.85562323271839,Top,1986,6559.290714
Singapore,SGP,17.321160796511162,Top,1986,17396.34447
Botswana,BWA,15.061594022948459,Top,1986,2772.241074
Thailand,THA,9.238146719493058,Top,1986,1806.051317
Haiti,HTI,-0.2514861320050144,Bottom,1986,1792.341048
Niger,NER,-0.31761660988843643,Bottom,1986,488.9680594
Central African Republic,CAF,-0.3648995017666149,Bottom,1986,598.8575813
Madagascar,MDG,-0.45969670890161585,Bottom,1986,546.0405601
DR Congo,COD,-0.6005216049573769,Bottom,1986,973.9745794
China,CHN,45.96692451296536,Top,1987,786.8634917
South Korea,KOR,30.85562323271839,Top,1987,7321.39277
Singapore,SGP,17.321160796511162,Top,1987,18987.09796
Botswana,BWA,15.061594022948459,Top,1987,2997.183192
Thailand,THA,9.238146719493058,Top,1987,1942.649057
Haiti,HTI,-0.2514861320050144,Bottom,1987,1741.710989
Niger,NER,-0.31761660988843643,Bottom,1987,474.773537
Central African Republic,CAF,-0.3648995017666149,Bottom,1987,562.3233793
Madagascar,MDG,-0.45969670890161585,Bottom,1987,537.1317871
DR Congo,COD,-0.6005216049573769,Bottom,1987,969.8482146
China,CHN,45.96692451296536,Top,1988,861.1919655
South Korea,KOR,30.85562323271839,Top,1988,8119.167981
Singapore,SGP,17.321160796511162,Top,1988,20596.34967
Botswana,BWA,15.061594022948459,Top,1988,3464.008087
Thailand,THA,9.238146719493058,Top,1988,2162.396466
Haiti,HTI,-0.2514861320050144,Bottom,1988,1709.323216
Niger,NER,-0.31761660988843643,Bottom,1988,492.206711
Central African Republic,CAF,-0.3648995017666149,Bottom,1988,562.9772802
Madagascar,MDG,-0.45969670890161585,Bottom,1988,539.756248
DR Congo,COD,-0.6005216049573769,Bottom,1988,944.4567896
China,CHN,45.96692451296536,Top,1989,883.7625941
South Korea,KOR,30.85562323271839,Top,1989,8607.865825
Singapore,SGP,17.321160796511162,Top,1989,22032.29777
Botswana,BWA,15.061594022948459,Top,1989,3794.836957
Thailand,THA,9.238146719493058,Top,1989,2385.229004
Haiti,HTI,-0.2514861320050144,Bottom,1989,1625.472154
Niger,NER,-0.31761660988843643,Bottom,1989,481.988972
Central African Republic,CAF,-0.3648995017666149,Bottom,1989,560.015097
Madagascar,MDG,-0.45969670890161585,Bottom,1989,545.6848741
DR Congo,COD,-0.6005216049573769,Bottom,1989,903.6927791
China,CHN,45.96692451296536,Top,1990,905.0308586
South Korea,KOR,30.85562323271839,Top,1990,9365.394986
Singapore,SGP,17.321160796511162,Top,1990,23273.12329
Botswana,BWA,15.061594022948459,Top,1990,3931.631555
Thailand,THA,9.238146719493058,Top,1990,2608.169658
Haiti,HTI,-0.2514861320050144,Bottom,1990,1608.867998
Niger,NER,-0.31761660988843643,Bottom,1990,461.2155266
Central African Republic,CAF,-0.3648995017666149,Bottom,1990,531.3860034
Madagascar,MDG,-0.45969670890161585,Bottom,1990,546.3712051
DR Congo,COD,-0.6005216049573769,Bottom,1990,817.0809348
China,CHN,45.96692451296536,Top,1991,975.4611925
South Korea,KOR,30.85562323271839,Top,1991,10272.6207
Singapore,SGP,17.321160796511162,Top,1991,24133.15417
Botswana,BWA,15.061594022948459,Top,1991,4105.195605
Thailand,THA,9.238146719493058,Top,1991,2787.400909
Haiti,HTI,-0.2514861320050144,Bottom,1991,1606.479521
Niger,NER,-0.31761660988843643,Bottom,1991,445.1494896
Central African Republic,CAF,-0.3648995017666149,Bottom,1991,512.2518383
Madagascar,MDG,-0.45969670890161585,Bottom,1991,496.7608271
DR Congo,COD,-0.6005216049573769,Bottom,1991,723.9866108
China,CHN,45.96692451296536,Top,1992,1100.644172
South Korea,KOR,30.85562323271839,Top,1992,10796.60465
Singapore,SGP,17.321160796511162,Top,1992,24973.88526
Botswana,BWA,15.061594022948459,Top,1992,4105.662576
Thailand,THA,9.238146719493058,Top,1992,2968.316562
Haiti,HTI,-0.2514861320050144,Bottom,1992,1491.679883
Niger,NER,-0.31761660988843643,Bottom,1992,440.1397967
Central African Republic,CAF,-0.3648995017666149,Bottom,1992,464.3354617
Madagascar,MDG,-0.45969670890161585,Bottom,1992,487.5728083
DR Congo,COD,-0.6005216049573769,Bottom,1992,628.7398616
China,CHN,45.96692451296536,Top,1993,1239.127184
South Korea,KOR,30.85562323271839,Top,1993,11422.51465
Singapore,SGP,17.321160796511162,Top,1993,27140.44595
Botswana,BWA,15.061594022948459,Top,1993,4065.38554
Thailand,THA,9.238146719493058,Top,1993,3166.705726
Haiti,HTI,-0.2514861320050144,Bottom,1993,1383.82016
Niger,NER,-0.31761660988843643,Bottom,1993,427.845763
Central African Republic,CAF,-0.3648995017666149,Bottom,1993,451.1999336
Madagascar,MDG,-0.45969670890161585,Bottom,1993,482.6417882
DR Congo,COD,-0.6005216049573769,Bottom,1993,526.8928615
China,CHN,45.96692451296536,Top,1994,1384.927711
South Korea,KOR,30.85562323271839,Top,1994,12356.27829
Singapore,SGP,17.321160796511162,Top,1994,29220.80415
Botswana,BWA,15.061594022948459,Top,1994,4097.203689
Thailand,THA,9.238146719493058,Top,1994,3371.287499
Haiti,HTI,-0.2514861320050144,Bottom,1994,1195.633801
Niger,NER,-0.31761660988843643,Bottom,1994,421.9988691
Central African Republic,CAF,-0.3648995017666149,Bottom,1994,458.654522
Madagascar,MDG,-0.45969670890161585,Bottom,1994,467.5009016
DR Congo,COD,-0.6005216049573769,Bottom,1994,482.788889
China,CHN,45.96692451296536,Top,1995,1520.026784
South Korea,KOR,30.85562323271839,Top,1995,13408.68142
Singapore,SGP,17.321160796511162,Top,1995,30380.45156
Botswana,BWA,15.061594022948459,Top,1995,4271.36369
Thailand,THA,9.238146719493058,Top,1995,3595.066367
Haiti,HTI,-0.2514861320050144,Bottom,1995,1289.645003
Niger,NER,-0.31761660988843643,Bottom,1995,418.2441119
Central African Republic,CAF,-0.3648995017666149,Bottom,1995,478.3438932
Madagascar,MDG,-0.45969670890161585,Bottom,1995,460.5071893
DR Congo,COD,-0.6005216049573769,Bottom,1995,466.2457378
China,CHN,45.96692451296536,Top,1996,1653.430868
South Korea,KOR,30.85562323271839,Top,1996,14329.53931
Singapore,SGP,17.321160796511162,Top,1996,31349.88725
Botswana,BWA,15.061594022948459,Top,1996,4410.278262
Thailand,THA,9.238146719493058,Top,1996,3748.658265
Haiti,HTI,-0.2514861320050144,Bottom,1996,1318.282707
Niger,NER,-0.31761660988843643,Bottom,1996,404.8044639
Central African Republic,CAF,-0.3648995017666149,Bottom,1996,447.3506292
Madagascar,MDG,-0.45969670890161585,Bottom,1996,455.6971723
DR Congo,COD,-0.6005216049573769,Bottom,1996,452.7630386
China,CHN,45.96692451296536,Top,1997,1787.763819
South Korea,KOR,30.85562323271839,Top,1997,15071.75639
Singapore,SGP,17.321160796511162,Top,1997,32835.84894
Botswana,BWA,15.061594022948459,Top,1997,4667.768767
Thailand,THA,9.238146719493058,Top,1997,3598.932871
Haiti,HTI,-0.2514861320050144,Bottom,1997,1329.207362
Niger,NER,-0.31761660988843643,Bottom,1997,397.5052326
Central African Republic,CAF,-0.3648995017666149,Bottom,1997,458.1338337
Madagascar,MDG,-0.45969670890161585,Bottom,1997,457.7743284
DR Congo,COD,-0.6005216049573769,Bottom,1997,420.6241218
China,CHN,45.96692451296536,Top,1998,1909.618955
South Korea,KOR,30.85562323271839,Top,1998,14195.81309
Singapore,SGP,17.321160796511162,Top,1998,31043.67268
Botswana,BWA,15.061594022948459,Top,1998,4585.559048
Thailand,THA,9.238146719493058,Top,1998,3283.482281
Haiti,HTI,-0.2514861320050144,Bottom,1998,1333.654999
Niger,NER,-0.31761660988843643,Bottom,1998,422.6201043
Central African Republic,CAF,-0.3648995017666149,Bottom,1998,466.634107
Madagascar,MDG,-0.45969670890161585,Bottom,1998,460.9821441
DR Congo,COD,-0.6005216049573769,Bottom,1998,404.1154661
China,CHN,45.96692451296536,Top,1999,2038.202874
South Korea,KOR,30.85562323271839,Top,1999,15711.56402
Singapore,SGP,17.321160796511162,Top,1999,32557.63902
Botswana,BWA,15.061594022948459,Top,1999,4922.250367
Thailand,THA,9.238146719493058,Top,1999,3395.262508
Haiti,HTI,-0.2514861320050144,Bottom,1999,1345.09655
Niger,NER,-0.31761660988843643,Bottom,1999,407.5544326
Central African Republic,CAF,-0.3648995017666149,Bottom,1999,470.1683573
Madagascar,MDG,-0.45969670890161585,Bottom,1999,467.9191985
DR Congo,COD,-0.6005216049573769,Bottom,1999,375.950509
China,CHN,45.96692451296536,Top,2000,2193.892991
South Korea,KOR,30.85562323271839,Top,2000,16992.47908
Singapore,SGP,17.321160796511162,Top,2000,34890.71559
Botswana,BWA,15.061594022948459,Top,2000,4917.108685
Thailand,THA,9.238146719493058,Top,2000,3511.442104
Haiti,HTI,-0.2514861320050144,Bottom,2000,1332.247467
Niger,NER,-0.31761660988843643,Bottom,2000,389.0775217
Central African Republic,CAF,-0.3648995017666149,Bottom,2000,445.8032915
Madagascar,MDG,-0.45969670890161585,Bottom,2000,474.1390273
DR Congo,COD,-0.6005216049573769,Bottom,2000,339.969435
China,CHN,45.96692451296536,Top,2001,2359.568217
South Korea,KOR,30.85562323271839,Top,2001,17680.84549
Singapore,SGP,17.321160796511162,Top,2001,33598.48004
Botswana,BWA,15.061594022948459,Top,2001,4831.662503
Thailand,THA,9.238146719493058,Top,2001,3599.097659
Haiti,HTI,-0.2514861320050144,Bottom,2001,1304.049389
Niger,NER,-0.31761660988843643,Bottom,2001,403.1766222
Central African Republic,CAF,-0.3648995017666149,Bottom,2001,455.3383787
Madagascar,MDG,-0.45969670890161585,Bottom,2001,487.661108
DR Congo,COD,-0.6005216049573769,Bottom,2001,322.9300235
China,CHN,45.96692451296536,Top,2002,2557.887094
South Korea,KOR,30.85562323271839,Top,2002,18936.95165
Singapore,SGP,17.321160796511162,Top,2002,34599.45591
Botswana,BWA,15.061594022948459,Top,2002,5030.138976
Thailand,THA,9.238146719493058,Top,2002,3786.339991
Haiti,HTI,-0.2514861320050144,Bottom,2002,1294.972367
Niger,NER,-0.31761660988843643,Bottom,2002,408.5713567
Central African Republic,CAF,-0.3648995017666149,Bottom,2002,461.4980841
Madagascar,MDG,-0.45969670890161585,Bottom,2002,414.6873411
DR Congo,COD,-0.6005216049573769,Bottom,2002,322.4400384
China,CHN,45.96692451296536,Top,2003,2797.171718
South Korea,KOR,30.85562323271839,Top,2003,19431.97111
Singapore,SGP,17.321160796511162,Top,2003,36710.46405
Botswana,BWA,15.061594022948459,Top,2003,5171.411466
Thailand,THA,9.238146719493058,Top,2003,4023.815193
Haiti,HTI,-0.2514861320050144,Bottom,2003,1317.131229
Niger,NER,-0.31761660988843643,Bottom,2003,403.0641981
Central African Republic,CAF,-0.3648995017666149,Bottom,2003,426.1595794
Madagascar,MDG,-0.45969670890161585,Bottom,2003,442.1032346
DR Congo,COD,-0.6005216049573769,Bottom,2003,330.5489733
China,CHN,45.96692451296536,Top,2004,3061.827764
South Korea,KOR,30.85562323271839,Top,2004,20361.06925
Singapore,SGP,17.321160796511162,Top,2004,39857.36039
Botswana,BWA,15.061594022948459,Top,2004,5219.283517
Thailand,THA,9.238146719493058,Top,2004,4241.904079
Haiti,HTI,-0.2514861320050144,Bottom,2004,1278.126993
Niger,NER,-0.31761660988843643,Bottom,2004,390.4248222
Central African Republic,CAF,-0.3648995017666149,Bottom,2004,442.0152346
Madagascar,MDG,-0.45969670890161585,Bottom,2004,451.9212314
DR Congo,COD,-0.6005216049573769,Bottom,2004,342.459983
China,CHN,45.96692451296536,Top,2005,3390.71017
South Korea,KOR,30.85562323271839,Top,2005,21193.35751
Singapore,SGP,17.321160796511162,Top,2005,41799.24817
Botswana,BWA,15.061594022948459,Top,2005,5359.884661
Thailand,THA,9.238146719493058,Top,2005,4385.282983
