ISO3,Situation,Year,Value,Country
CYP,Couple - No Child,2021,41,Cyprus
CYP,Single - 2 Child,2021,41,Cyprus
CYP,Single - No Child,2021,44,Cyprus
EST,Couple - 2 Child,2021,33,Estonia
EST,Couple - No Child,2021,25,Estonia
EST,Single - 2 Child,2021,33,Estonia
EST,Single - No Child,2021,25,Estonia
ISR,Couple - 2 Child,2021,29,Israel
ISR,Couple - No Child,2021,29,Israel
ISR,Single - 2 Child,2021,37,Israel
ISR,Single - No Child,2021,22,Israel
LVA,Couple - 2 Child,2021,37,Latvia
LVA,Couple - No Child,2021,36,Latvia
LVA,Single - 2 Child,2021,37,Latvia
LVA,Single - No Child,2021,42,Latvia
LTU,Couple - 2 Child,2021,60,Lithuania
LTU,Couple - No Child,2021,47,Lithuania
LTU,Single - 2 Child,2021,64,Lithuania
LTU,Single - No Child,2021,46,Lithuania
MLT,Couple - 2 Child,2021,33,Malta
MLT,Couple - No Child,2021,39,Malta
MLT,Single - 2 Child,2021,37,Malta
MLT,Single - No Child,2021,52,Malta
ROU,Couple - 2 Child,2021,25,Romania
ROU,Couple - No Child,2021,9,Romania
ROU,Single - 2 Child,2021,28,Romania
ROU,Single - No Child,2021,7,Romania
SVN,Couple - 2 Child,2021,47,Slovenia
SVN,Couple - No Child,2021,37,Slovenia
SVN,Single - 2 Child,2021,53,Slovenia
SVN,Single - No Child,2021,34,Slovenia
OECD,Couple - 2 Child,2021,39,OECD
OECD,Couple - No Child,2021,36,OECD
OECD,Single - 2 Child,2021,41,OECD
OECD,Single - No Child,2021,37,OECD
