Record Date,Security Type Description,Security Class 1 Description,Security Class 2 Description,Interest Rate,Yield,Issue Date,Maturity Date,Interest Payable Date 1,Interest Payable Date 2,Interest Payable Date 3,Interest Payable Date 4,Issued Amount (in Millions),Amount Adjusted for Inflation (in Millions),Redeemed Amount (in Millions),Outstanding Amount (in Millions)
2023-03-31,Marketable,Bills Maturity Value,912797FF9,,4.61,2023-01-24,2023-05-23,May-23,,,,36577.3597,0.0,0.0,87565.7896
2023-03-31,Marketable,Bills Maturity Value,912796ZF9,,4.52,2022-11-25,2023-05-25,May-23,,,,50225.0193,0.0,0.0,116355.1218
2023-03-31,Marketable,Bills Maturity Value,912797FG7,,4.62,2023-01-31,2023-05-30,May-23,,,,36440.9168,0.0,0.0,36440.9168
2023-03-31,Marketable,Bills Maturity Value,912796ZG7,,4.55,2022-12-01,2023-06-01,Jun-23,,,,50736.7667,0.0,0.0,116932.1715
2023-03-31,Marketable,Bills Maturity Value,912797FM4,,4.625,2023-02-07,2023-06-06,Jun-23,,,,36547.1857,0.0,0.0,36547.1857
2023-03-31,Marketable,Bills Maturity Value,912796ZP7,,4.57,2022-12-08,2023-06-08,Jun-23,,,,48827.075,0.0,0.0,109869.2872
2023-03-31,Marketable,Bills Maturity Value,912797FN2,,4.7,2023-02-14,2023-06-13,Jun-23,,,,36476.0074,0.0,0.0,36476.0074
2023-03-31,Marketable,Bills Maturity Value,912796X53,,3.02,2022-06-16,2023-06-15,Jun-23,,,,37940.0781,0.0,0.0,148005.0059
2023-03-31,Marketable,Bills Maturity Value,912797FP7,,4.8,2023-02-21,2023-06-20,Jun-23,,,,36708.7544,0.0,0.0,36708.7544
2023-03-31,Marketable,Bills Maturity Value,912796ZQ5,,4.55,2022-12-22,2023-06-22,Jun-23,,,,46528.5751,0.0,0.0,105243.2219
2023-03-31,Marketable,Bills Maturity Value,912797FQ5,,4.83,2023-02-28,2023-06-27,Jun-23,,,,36620.4979,0.0,0.0,36620.4979
2023-03-31,Marketable,Bills Maturity Value,912796ZR3,,4.6,2022-12-29,2023-06-29,Jun-23,,,,50954.4364,0.0,0.0,114282.8932
2023-03-31,Marketable,Bills Maturity Value,912797FR3,,4.885,2023-03-07,2023-07-05,Jul-23,,,,36620.4544,0.0,0.0,36620.4544
2023-03-31,Marketable,Bills Maturity Value,912796ZS1,,4.635,2023-01-05,2023-07-06,Jul-23,,,,50773.2423,0.0,0.0,50773.2423
2023-03-31,Marketable,Bills Maturity Value,912797FX0,,5.045,2023-03-14,2023-07-11,Jul-23,,,,36653.5517,0.0,0.0,36653.5517
2023-03-31,Marketable,Bills Maturity Value,912796XQ7,,2.96,2022-07-14,2023-07-13,Jul-23,,,,38548.0845,0.0,0.0,91496.647
2023-03-31,Marketable,Bills Maturity Value,912797FY8,,4.75,2023-03-21,2023-07-18,Jul-23,,,,36786.5637,0.0,0.0,36786.5637
2023-03-31,Marketable,Bills Maturity Value,912796ZZ5,,4.685,2023-01-19,2023-07-20,Jul-23,,,,53163.1219,0.0,0.0,53163.1219
2023-03-31,Marketable,Bills Maturity Value,912797FZ5,,4.805,2023-03-28,2023-07-25,Jul-23,,,,36702.1884,0.0,0.0,36702.1884
2023-03-31,Marketable,Bills Maturity Value,912796Y29,,4.685,2023-01-26,2023-07-27,Jul-23,,,,53122.5054,0.0,0.0,53122.5054
2023-03-31,Marketable,Bills Maturity Value,912796Y37,,4.68,2023-02-02,2023-08-03,Aug-23,,,,54829.9742,0.0,0.0,54829.9742
2023-03-31,Marketable,Bills Maturity Value,912796XY0,,3.2,2022-08-11,2023-08-10,Aug-23,,,,38082.0561,0.0,0.0,91360.4077
2023-03-31,Marketable,Bills Maturity Value,912796Z36,,4.84,2023-02-16,2023-08-17,Aug-23,,,,54032.791,0.0,0.0,54032.791
2023-03-31,Marketable,Bills Maturity Value,912796Z44,,4.915,2023-02-23,2023-08-24,Aug-23,,,,52879.459,0.0,0.0,52879.459
2023-03-31,Marketable,Bills Maturity Value,912796Z51,,4.94,2023-03-02,2023-08-31,Aug-23,,,,52947.3734,0.0,0.0,52947.3734
2023-03-31,Marketable,Bills Maturity Value,912796YH6,,3.46,2022-09-08,2023-09-07,Sep-23,,,,36756.2909,0.0,0.0,88154.805
2023-03-31,Marketable,Bills Maturity Value,912796CQ0,,4.7,2023-03-16,2023-09-14,Sep-23,,,,51477.0401,0.0,0.0,51477.0401
2023-03-31,Marketable,Bills Maturity Value,912796CR8,,4.62,2023-03-23,2023-09-21,Sep-23,,,,49430.7646,0.0,0.0,49430.7646
2023-03-31,Marketable,Bills Maturity Value,912796CS6,,4.65,2023-03-30,2023-09-28,Sep-23,,,,53314.6384,0.0,0.0,53314.6384
2023-03-31,Marketable,Bills Maturity Value,912796YJ2,,3.955,2022-10-06,2023-10-05,Oct-23,,,,38253.2954,0.0,0.0,38253.2954
2023-03-31,Marketable,Bills Maturity Value,912796YT0,,4.505,2022-11-03,2023-11-02,Nov-23,,,,39252.8496,0.0,0.0,39252.8496
2023-03-31,Marketable,Bills Maturity Value,912796ZD4,,4.555,2022-12-01,2023-11-30,Nov-23,,,,38322.1508,0.0,0.0,38322.1508
2023-03-31,Marketable,Bills Maturity Value,912796ZN2,,4.515,2022-12-29,2023-12-28,Dec-23,,,,38496.6372,0.0,0.0,38496.6372
2023-03-31,Marketable,Bills Maturity Value,912796ZY8,,4.47,2023-01-26,2024-01-25,Jan-24,,,,37621.3893,0.0,0.0,37621.3893
2023-03-31,Marketable,Bills Maturity Value,912796Z28,,4.795,2023-02-23,2024-02-22,Feb-24,,,,37453.6105,0.0,0.0,37453.6105
2023-03-31,Marketable,Bills Maturity Value,912797LL9,,4.39,2023-03-23,2024-03-21,Mar-24,,,,35179.0448,0.0,0.0,35179.0448
2023-03-31,Marketable,Notes,912828ZH6,0.25,0.348,2020-04-15,2023-04-15,Oct-15,Apr-15,,,40131.4796,0.0,0.0,40131.4796
2023-03-31,Marketable,Notes,912828R28,1.625,1.634,2016-05-02,2023-04-30,Oct-31,Apr-30,,,35440.7301,0.0,0.0,35440.7301
2023-03-31,Marketable,Notes,9128284L1,2.75,2.837,2018-04-30,2023-04-30,Oct-31,Apr-30,,,39466.4397,0.0,0.0,39466.4397
2023-03-31,Marketable,Notes,91282CBX8,0.125,0.175,2021-04-30,2023-04-30,Oct-31,Apr-30,,,71458.235,0.0,0.0,71458.235
2023-03-31,Marketable,Notes,912828VB3,1.75,1.81,2013-05-15,2023-05-15,Nov-15,May-15,,,24000.2326,0.0,0.0,66000.7621
2023-03-31,Marketable,Notes,912828ZP8,0.125,0.23,2020-05-15,2023-05-15,Nov-15,May-15,,,64211.6557,0.0,0.0,64211.6557
2023-03-31,Marketable,Notes,912828R69,1.625,1.652,2016-05-31,2023-05-31,Nov-30,May-31,,,35135.5608,0.0,-3.0,35132.5608
2023-03-31,Marketable,Notes,9128284S6,2.75,2.864,2018-05-31,2023-05-31,Nov-30,May-31,,,42253.1983,0.0,0.0,42253.1983
2023-03-31,Marketable,Notes,91282CCD1,0.125,0.152,2021-06-01,2023-05-31,Nov-30,May-31,,,71645.8839,0.0,0.0,71645.8839
2023-03-31,Marketable,Notes,912828ZU7,0.25,0.28,2020-06-15,2023-06-15,Dec-15,Jun-15,,,44625.5686,0.0,0.0,44625.5686
2023-03-31,Marketable,Notes,912828S35,1.375,1.497,2016-06-30,2023-06-30,Dec-31,Jun-30,,,32084.5519,0.0,0.0,32084.5519
2023-03-31,Marketable,Notes,9128284U1,2.625,2.719,2018-07-02,2023-06-30,Dec-31,Jun-30,,,40483.2539,0.0,0.0,40483.2539
2023-03-31,Marketable,Notes,91282CCK5,0.125,0.249,2021-06-30,2023-06-30,Dec-31,Jun-30,,,69107.3757,0.0,0.0,69107.3757
2023-03-31,Marketable,Notes,912828ZY9,0.125,0.19,2020-07-15,2023-07-15,Jan-15,Jul-15,,,50035.6254,0.0,0.0,50035.6254
2023-03-31,Marketable,Notes,912828S92,1.25,1.34,2016-08-01,2023-07-31,Jan-31,Jul-31,,,29955.4305,0.0,0.0,29955.4305
2023-03-31,Marketable,Notes,912828Y61,2.75,2.815,2018-07-31,2023-07-31,Jan-31,Jul-31,,,37954.9824,0.0,0.0,37954.9824
2023-03-31,Marketable,Notes,91282CCN9,0.125,0.213,2021-08-02,2023-07-31,Jan-31,Jul-31,,,65745.2515,0.0,0.0,65745.2515
2023-03-31,Marketable,Notes,912828VS6,2.5,2.62,2013-08-15,2023-08-15,Feb-15,Aug-15,,,23999.7591,0.0,0.0,65999.9164
2023-03-31,Marketable,Notes,91282CAF8,0.125,0.179,2020-08-17,2023-08-15,Feb-15,Aug-15,,,76547.9759,0.0,0.0,76547.9759
2023-03-31,Marketable,Notes,9128282D1,1.375,1.423,2016-08-31,2023-08-31,Feb-28,Aug-31,,,29914.8926,0.0,0.0,29914.8926
2023-03-31,Marketable,Notes,9128284X5,2.75,2.765,2018-08-31,2023-08-31,Feb-28,Aug-31,,,39607.8359,0.0,0.0,39607.8359
2023-03-31,Marketable,Notes,91282CCU3,0.125,0.242,2021-08-31,2023-08-31,Feb-28,Aug-31,,,67538.6226,0.0,0.0,67538.6226
2023-03-31,Marketable,Notes,91282CAK7,0.125,0.17,2020-09-15,2023-09-15,Mar-15,Sep-15,,,52055.6195,0.0,0.0,52055.6195
2023-03-31,Marketable,Notes,912828T26,1.375,1.389,2016-09-30,2023-09-30,Mar-31,Sep-30,,,29706.8344,0.0,0.0,29706.8344
2023-03-31,Marketable,Notes,9128285D8,2.875,2.997,2018-10-01,2023-09-30,Mar-31,Sep-30,,,37999.8662,0.0,0.0,37999.8662
2023-03-31,Marketable,Notes,91282CDA6,0.25,0.31,2021-09-30,2023-09-30,Mar-31,Sep-30,,,67219.6578,0.0,0.0,67219.6578
2023-03-31,Marketable,Notes,91282CAP6,0.125,0.193,2020-10-15,2023-10-15,Apr-15,Oct-15,,,53454.7287,0.0,0.0,53454.7287
2023-03-31,Marketable,Notes,912828T91,1.625,1.653,2016-10-31,2023-10-31,Apr-30,Oct-31,,,29692.7105,0.0,0.0,29692.7105
2023-03-31,Marketable,Notes,9128285K2,2.875,2.977,2018-10-31,2023-10-31,Apr-30,Oct-31,,,38999.89,0.0,0.0,38999.89
2023-03-31,Marketable,Notes,91282CDD0,0.375,0.481,2021-11-01,2023-10-31,Apr-30,Oct-31,,,66099.9084,0.0,0.0,66099.9084
2023-03-31,Marketable,Notes,912828WE6,2.75,2.75,2013-11-15,2023-11-15,May-15,Nov-15,,,24000.1608,0.0,0.0,65996.1091
2023-03-31,Marketable,Notes,91282CAW1,0.25,0.25,2020-11-16,2023-11-15,May-15,Nov-15,,,68807.0847,0.0,0.0,68807.0847
2023-03-31,Marketable,Notes,912828U57,2.125,2.215,2016-11-30,2023-11-30,May-31,Nov-30,,,30980.3627,0.0,0.0,30980.3627
2023-03-31,Marketable,Notes,9128285P1,2.875,2.88,2018-11-30,2023-11-30,May-31,Nov-30,,,43512.5873,0.0,0.0,43512.5873
2023-03-31,Marketable,Notes,91282CDM0,0.5,0.623,2021-11-30,2023-11-30,May-31,Nov-30,,,62778.5501,0.0,0.0,62778.5501
2023-03-31,Marketable,Notes,91282CBA8,0.125,0.211,2020-12-15,2023-12-15,Jun-15,Dec-15,,,58385.3141,0.0,0.0,58385.3141
2023-03-31,Marketable,Notes,912828V23,2.25,2.284,2017-01-03,2023-12-31,Jun-30,Dec-31,,,31723.4938,0.0,0.0,31723.4938
2023-03-31,Marketable,Notes,9128285U0,2.625,2.652,2018-12-31,2023-12-31,Jun-30,Dec-31,,,40998.5386,0.0,0.0,40998.5386
2023-03-31,Marketable,Notes,91282CDR9,0.75,0.769,2021-12-31,2023-12-31,Jun-30,Dec-31,,,63608.3147,0.0,0.0,63608.3147
2023-03-31,Marketable,Notes,91282CBE0,0.125,0.234,2021-01-15,2024-01-15,Jul-15,Jan-15,,,63830.6511,0.0,0.0,63830.6511
2023-03-31,Marketable,Notes,912828V80,2.25,2.335,2017-01-31,2024-01-31,Jul-31,Jan-31,,,29775.6841,0.0,0.0,29775.6841
2023-03-31,Marketable,Notes,9128285Z9,2.5,2.576,2019-01-31,2024-01-31,Jul-31,Jan-31,,,41000.0387,0.0,0.0,41000.0387
2023-03-31,Marketable,Notes,91282CDV0,0.875,0.99,2022-01-31,2024-01-31,Jul-31,Jan-31,,,62070.9299,0.0,0.0,62070.9299
2023-03-31,Marketable,Notes,912828B66,2.75,2.795,2014-02-18,2024-02-15,Aug-15,Feb-15,,,23997.8161,0.0,0.0,65996.8241
2023-03-31,Marketable,Notes,91282CBM2,0.125,0.196,2021-02-16,2024-02-15,Aug-15,Feb-15,,,79041.1543,0.0,0.0,79041.1543
2023-03-31,Marketable,Notes,912828W48,2.125,2.197,2017-02-28,2024-02-29,Aug-31,Feb-28,,,31883.2515,0.0,-4.0,31879.2515
2023-03-31,Marketable,Notes,9128286G0,2.375,2.489,2019-02-28,2024-02-29,Aug-31,Feb-29,,,42973.1639,0.0,0.0,42973.1639
2023-03-31,Marketable,Notes,91282CEA5,1.5,1.553,2022-02-28,2024-02-29,Aug-31,Feb-28,,,60908.3078,0.0,0.0,60908.3078
2023-03-31,Marketable,Notes,91282CBR1,0.25,0.355,2021-03-15,2024-03-15,Sep-15,Mar-15,,,61595.0993,0.0,0.0,61595.0993
2023-03-31,Marketable,Notes,912828W71,2.125,2.215,2017-03-31,2024-03-31,Sep-30,Mar-31,,,31390.0049,0.0,0.0,72389.8053
2023-03-31,Marketable,Notes,91282CEG2,2.25,2.365,2022-03-31,2024-03-31,Sep-30,Mar-31,,,59307.1579,0.0,0.0,59307.1579
2023-03-31,Marketable,Notes,91282CBV2,0.375,0.376,2021-04-15,2024-04-15,Oct-15,Apr-15,,,66901.8431,0.0,0.0,66901.8431
2023-03-31,Marketable,Notes,912828X70,2.0,2.084,2017-05-01,2024-04-30,Oct-31,Apr-30,,,31821.5956,0.0,-3.0,31818.5956
2023-03-31,Marketable,Notes,9128286R6,2.25,2.315,2019-04-30,2024-04-30,Oct-31,Apr-30,,,41523.4045,0.0,0.0,41523.4045
2023-03-31,Marketable,Notes,91282CEK3,2.5,2.585,2022-05-02,2024-04-30,Oct-31,Apr-30,,,54646.325,0.0,0.0,54646.325
2023-03-31,Marketable,Notes,912828WJ5,2.5,2.612,2014-05-15,2024-05-15,Nov-15,May-15,,,23994.7053,0.0,0.0,65994.7948
2023-03-31,Marketable,Notes,91282CCC3,0.25,0.329,2021-05-17,2024-05-15,Nov-15,May-15,,,88769.2718,0.0,0.0,88769.2718
2023-03-31,Marketable,Notes,912828XT2,2.0,2.06,2017-05-31,2024-05-31,Nov-30,May-31,,,31368.5534,0.0,0.0,76675.6167
2023-03-31,Marketable,Notes,91282CER8,2.5,2.519,2022-05-31,2024-05-31,Nov-30,May-31,,,54066.5127,0.0,0.0,54066.5127
2023-03-31,Marketable,Notes,91282CCG4,0.25,0.325,2021-06-15,2024-06-15,Dec-15,Jun-15,,,63332.1057,0.0,0.0,63332.1057
2023-03-31,Marketable,Notes,912828XX3,2.0,2.056,2017-06-30,2024-06-30,Dec-31,Jun-30,,,31403.5476,0.0,0.0,31403.5476
2023-03-31,Marketable,Notes,9128286Z8,1.75,1.791,2019-07-01,2024-06-30,Dec-31,Jun-30,,,43344.8175,0.0,0.0,43344.8175
2023-03-31,Marketable,Notes,91282CEX5,3.0,3.084,2022-06-30,2024-06-30,Dec-31,Jun-30,,,49513.2547,0.0,0.0,49513.2547
2023-03-31,Marketable,Notes,91282CCL3,0.375,0.426,2021-07-15,2024-07-15,Jan-15,Jul-15,,,67548.0436,0.0,0.0,67548.0436
2023-03-31,Marketable,Notes,9128282N9,2.125,2.126,2017-07-31,2024-07-31,Jan-31,Jul-31,,,30846.9073,0.0,0.0,30846.9073
2023-03-31,Marketable,Notes,912828Y87,1.75,1.824,2019-07-31,2024-07-31,Jan-31,Jul-31,,,42627.4077,0.0,0.0,42627.4077
2023-03-31,Marketable,Notes,91282CFA4,3.0,3.015,2022-08-01,2024-07-31,Jan-31,Jul-31,,,48901.483,0.0,0.0,48901.483
2023-03-31,Marketable,Notes,912828D56,2.375,2.439,2014-08-15,2024-08-15,Feb-15,Aug-15,,,23999.933,0.0,0.0,65998.6918
2023-03-31,Marketable,Notes,91282CCT6,0.375,0.465,2021-08-16,2024-08-15,Feb-15,Aug-15,,,83876.1783,0.0,0.0,83876.1783
2023-03-31,Marketable,Notes,9128282U3,1.875,1.941,2017-08-31,2024-08-31,Feb-28,Aug-31,,,28877.6287,0.0,0.0,28877.6287
2023-03-31,Marketable,Notes,912828YE4,1.25,1.365,2019-09-03,2024-08-31,Feb-29,Aug-31,,,46324.1027,0.0,0.0,46324.1027
2023-03-31,Marketable,Notes,91282CFG1,3.25,3.307,2022-08-31,2024-08-31,Feb-28,Aug-31,,,49726.1661,0.0,0.0,49726.1661
2023-03-31,Marketable,Notes,91282CCX7,0.375,0.447,2021-09-15,2024-09-15,Mar-15,Sep-15,,,64175.8783,0.0,0.0,64175.8783
2023-03-31,Marketable,Notes,9128282Y5,2.125,2.13,2017-10-02,2024-09-30,Mar-31,Sep-30,,,31480.1,0.0,0.0,31480.1
2023-03-31,Marketable,Notes,912828YH7,1.5,1.6,2019-09-30,2024-09-30,Mar-31,Sep-30,,,45258.96,0.0,0.0,45258.96
2023-03-31,Marketable,Notes,91282CFN6,4.25,4.29,2022-09-30,2024-09-30,Mar-31,Sep-30,,,42988.8016,0.0,0.0,42988.8016
2023-03-31,Marketable,Notes,91282CDB4,0.625,0.635,2021-10-15,2024-10-15,Apr-15,Oct-15,,,62364.0444,0.0,0.0,62364.0444
2023-03-31,Marketable,Notes,9128283D0,2.25,2.28,2017-10-31,2024-10-31,Apr-30,Oct-31,,,28700.4899,0.0,0.0,28700.4899
2023-03-31,Marketable,Notes,912828YM6,1.5,1.57,2019-10-31,2024-10-31,Apr-30,Oct-31,,,45286.6412,0.0,0.0,45286.6412
2023-03-31,Marketable,Notes,91282CFQ9,4.375,4.46,2022-10-31,2024-10-31,Apr-30,Oct-31,,,41994.6408,0.0,0.0,41994.6408
2023-03-31,Marketable,Notes,912828G38,2.25,2.365,2014-11-17,2024-11-15,May-15,Nov-15,,,24032.1552,0.0,0.0,66031.9112
2023-03-31,Marketable,Notes,91282CDH1,0.75,0.75,2021-11-15,2024-11-15,May-15,Nov-15,,,88393.5916,0.0,0.0,88393.5916
2023-03-31,Marketable,Notes,9128283J7,2.125,2.23,2017-11-30,2024-11-30,May-31,Nov-30,,,29519.4578,0.0,0.0,29519.4578
2023-03-31,Marketable,Notes,912828YV6,1.5,1.587,2019-12-02,2024-11-30,May-31,Nov-30,,,44254.9451,0.0,0.0,44254.9451
2023-03-31,Marketable,Notes,91282CFX4,4.5,4.505,2022-11-30,2024-11-30,May-31,Nov-30,,,46562.1017,0.0,0.0,46562.1017
2023-03-31,Marketable,Notes,91282CDN8,1.0,1.0,2021-12-15,2024-12-15,Jun-15,Dec-15,,,61962.8779,0.0,0.0,61962.8779
2023-03-31,Marketable,Notes,9128283P3,2.25,2.37,2018-01-02,2024-12-31,Jun-30,Dec-31,,,31660.2996,0.0,0.0,31660.2996
2023-03-31,Marketable,Notes,912828YY0,1.75,1.756,2019-12-31,2024-12-31,Jun-30,Dec-31,,,44858.7444,0.0,0.0,44858.7444
2023-03-31,Marketable,Notes,91282CGD7,4.25,4.373,2023-01-03,2024-12-31,Jun-30,Dec-31,,,41988.9912,0.0,0.0,41988.9912
2023-03-31,Marketable,Notes,91282CDS7,1.125,1.237,2022-01-18,2025-01-15,Jul-15,Jan-15,,,60343.4138,0.0,0.0,60343.4138
2023-03-31,Marketable,Notes,9128283V0,2.5,2.565,2018-01-31,2025-01-31,Jul-31,Jan-31,,,32115.1813,0.0,0.0,32115.1813
2023-03-31,Marketable,Notes,912828Z52,1.375,1.448,2020-01-31,2025-01-31,Jul-31,Jan-31,,,45231.8432,0.0,0.0,45231.8432
2023-03-31,Marketable,Notes,91282CGG0,4.125,4.139,2023-01-31,2025-01-31,Jul-31,Jan-31,,,41991.9935,0.0,0.0,41991.9935
2023-03-31,Marketable,Notes,912828J27,2.0,2.0,2015-02-17,2025-02-15,Aug-15,Feb-15,,,24000.1354,0.0,0.0,65988.28
2023-03-31,Marketable,Notes,91282CDZ1,1.5,1.592,2022-02-15,2025-02-15,Aug-15,Feb-15,,,80247.9139,0.0,0.0,80247.9139
2023-03-31,Marketable,Notes,9128283Z1,2.75,2.839,2018-02-28,2025-02-28,Aug-31,Feb-28,,,36070.1115,0.0,0.0,36070.1115
2023-03-31,Marketable,Notes,912828ZC7,1.125,1.15,2020-03-02,2025-02-28,Aug-31,Feb-28,,,47196.5544,0.0,0.0,47196.5544
2023-03-31,Marketable,Notes,91282CGN5,4.625,4.673,2023-02-28,2025-02-28,Aug-31,Feb-29,,,51529.5151,0.0,0.0,51529.5151
2023-03-31,Marketable,Notes,91282CED9,1.75,1.775,2022-03-15,2025-03-15,Sep-15,Mar-15,,,56065.3273,0.0,0.0,56065.3273
2023-03-31,Marketable,Notes,9128284F4,2.625,2.72,2018-04-02,2025-03-31,Sep-30,Mar-31,,,34108.0894,0.0,0.0,34108.0894
2023-03-31,Marketable,Notes,912828ZF0,0.5,0.535,2020-03-31,2025-03-31,Sep-30,Mar-31,,,46512.2835,0.0,0.0,46512.2835
2023-03-31,Marketable,Notes,91282CGU9,3.875,3.954,2023-03-31,2025-03-31,Sep-30,Mar-31,,,41998.2764,0.0,0.0,41998.2764
2023-03-31,Marketable,Notes,91282CEH0,2.625,2.738,2022-04-18,2025-04-15,Oct-15,Apr-15,,,56972.2211,0.0,0.0,56972.2211
2023-03-31,Marketable,Notes,9128284M9,2.875,2.952,2018-04-30,2025-04-30,Oct-31,Apr-30,,,32701.4839,0.0,0.0,32701.4839
2023-03-31,Marketable,Notes,912828ZL7,0.375,0.394,2020-04-30,2025-04-30,Oct-31,Apr-30,,,46734.3704,0.0,0.0,46734.3704
2023-03-31,Marketable,Notes,912828XB1,2.125,2.237,2015-05-15,2025-05-15,Nov-15,May-15,,,24543.3321,0.0,0.0,66521.9894
2023-03-31,Marketable,Notes,91282CEQ0,2.75,2.809,2022-05-16,2025-05-15,Nov-15,May-15,,,76491.7837,0.0,0.0,76491.7837
2023-03-31,Marketable,Notes,9128284R8,2.875,2.93,2018-05-31,2025-05-31,Nov-30,May-31,,,35211.5971,0.0,0.0,35211.5971
2023-03-31,Marketable,Notes,912828ZT0,0.25,0.334,2020-06-01,2025-05-31,Nov-30,May-31,,,49724.255,0.0,0.0,49724.255
2023-03-31,Marketable,Notes,91282CEU1,2.875,2.927,2022-06-15,2025-06-15,Dec-15,Jun-15,,,46586.3105,0.0,0.0,46586.3105
2023-03-31,Marketable,Notes,912828XZ8,2.75,2.809,2018-07-02,2025-06-30,Dec-31,Jun-30,,,33736.0984,0.0,0.0,33736.0984
2023-03-31,Marketable,Notes,912828ZW3,0.25,0.33,2020-06-30,2025-06-30,Dec-31,Jun-30,,,53428.3934,0.0,0.0,53428.3934
2023-03-31,Marketable,Notes,91282CEY3,3.0,3.093,2022-07-15,2025-07-15,Jan-15,Jul-15,,,48480.1245,0.0,0.0,48480.1245
2023-03-31,Marketable,Notes,912828Y79,2.875,2.93,2018-07-31,2025-07-31,Jan-31,Jul-31,,,31629.1126,0.0,0.0,31629.1126
2023-03-31,Marketable,Notes,91282CAB7,0.25,0.288,2020-07-31,2025-07-31,Jan-31,Jul-31,,,54568.1181,0.0,0.0,54568.1181
2023-03-31,Marketable,Notes,912828K74,2.0,2.115,2015-08-17,2025-08-15,Feb-15,Aug-15,,,24482.4264,0.0,0.0,66479.5188
2023-03-31,Marketable,Notes,91282CFE6,3.125,3.202,2022-08-15,2025-08-15,Feb-15,Aug-15,,,68564.0454,0.0,0.0,68564.0454
2023-03-31,Marketable,Notes,9128284Z0,2.75,2.844,2018-08-31,2025-08-31,Feb-28,Aug-31,,,33184.893,0.0,0.0,33184.893
2023-03-31,Marketable,Notes,91282CAJ0,0.25,0.298,2020-08-31,2025-08-31,Feb-28,Aug-31,,,55430.9286,0.0,0.0,55430.9286
2023-03-31,Marketable,Notes,91282CFK2,3.5,3.564,2022-09-15,2025-09-15,Mar-15,Sep-15,,,41000.028,0.0,0.0,41000.028
2023-03-31,Marketable,Notes,9128285C0,3.0,3.034,2018-10-01,2025-09-30,Mar-31,Sep-30,,,31000,0.0,0.0,31000.0
2023-03-31,Marketable,Notes,91282CAM3,0.25,0.275,2020-09-30,2025-09-30,Mar-31,Sep-30,,,60256.0271,0.0,0.0,60256.0271
2023-03-31,Marketable,Notes,91282CFP1,4.25,4.318,2022-10-17,2025-10-15,Apr-15,Oct-15,,,39997.2765,0.0,0.0,39997.2765
2023-03-31,Marketable,Notes,9128285J5,3.0,3.074,2018-10-31,2025-10-31,Apr-30,Oct-31,,,30999.9987,0.0,0.0,30999.9987
2023-03-31,Marketable,Notes,91282CAT8,0.25,0.33,2020-11-02,2025-10-31,Apr-30,Oct-31,,,60834.976,0.0,0.0,60834.976
2023-03-31,Marketable,Notes,912828M56,2.25,2.304,2015-11-16,2025-11-15,May-15,Nov-15,,,24122.0698,0.0,0.0,66120.8194
