Date,Employees: Manufacturing,Employees: Total Nonfarm,Manufacturing % of Total,Imports from China (12-month avg.),Nominal GDP,Imports (% of GDP),Sources
1998-09-01,17557,126745,0.13852222967375438,69228.0,9212760.0,0.007514360517369388,
1998-10-01,17512,126950,0.13794407246947618,69999.2,9266929.0,0.007553656664467808,
1998-11-01,17465,127224,0.13727755769351693,70947.6,9307407.0,0.0076227030793861285,
1998-12-01,17449,127599,0.13674872060125864,71168.59999999999,9307637.0,0.0076462586583469026,
1999-01-01,17427,127704,0.13646401052433754,71369.4,9357431.0,0.007627029256213591,
1999-02-01,17395,128118,0.13577327151532181,72372.90000000001,9410988.0,0.007690255263315606,
1999-03-01,17368,128234,0.13543989893475988,72778.8,9466627.0,0.007687933621975388,
1999-04-01,17344,128598,0.1348699046641472,73334.8,9496879.0,0.0077219895083426885,
1999-05-01,17333,128810,0.1345625339647543,74158.5,9534507.0,0.00777790608366012,
1999-06-01,17295,129088,0.13397837134357957,75255.7,9547244.0,0.007882452779042832,
1999-07-01,17308,129422,0.13373305929440127,76105.2,9660574.0,0.007877916985056995,
1999-08-01,17287,129569,0.13341925923639142,77347.4,9660822.0,0.008006295944589393,
1999-09-01,17281,129781,0.13315508433437867,78420.4,9738482.0,0.008052630789891073,
1999-10-01,17272,130179,0.13267884989130352,79250.6,9814116.0,0.008075164385666524,
1999-11-01,17282,130466,0.13246363037113118,80420.0,9891442.0,0.008130260481737648,
1999-12-01,17280,130780,0.13213029515216393,81788.2,9994949.0,0.008182953209666203,
2000-01-01,17284,131009,0.13192986741368914,83036.3,9921558.0,0.008369280308596695,
2000-02-01,17285,131120,0.13182580841976815,84057.59999999999,9999826.0,0.008405906262768971,
2000-03-01,17302,131605,0.1314691691045173,85277.7,10085153.0,0.00845576661058092,
2000-04-01,17298,131884,0.13116071699372175,86529.3,10226029.0,0.008461671681157955,
2000-05-01,17279,132106,0.13079648161324997,88016.4,10229004.0,0.008604591414765307,
2000-06-01,17296,132060,0.1309707708617295,89440.70000000001,10288127.0,0.00869358436185712,
2000-07-01,17322,132226,0.13100297974679714,91281.40000000001,10235415.0,0.008918192374222247,
2000-08-01,17287,132231,0.13073333787084723,93313.3,10335771.0,0.009028189575794588,
2000-09-01,17230,132356,0.13017921363595153,95176.8,10383309.0,0.009166326457201649,
2000-10-01,17217,132352,0.1300849250483559,97580.5,10424951.0,0.009360283803732028,
2000-11-01,17202,132553,0.12977450529222273,99103.79999999999,10447117.0,0.009486234336228836,
2000-12-01,17181,132718,0.12945493452282283,100018.20000000001,10435163.0,0.00958472809672451,
2001-01-01,17104,132698,0.1288941807713756,101543.6,10466414.0,0.009701852038339015,
2001-02-01,17028,132785,0.12823737620966225,101334.8,10463170.0,0.009684904288088601,
2001-03-01,16938,132753,0.12759033694153804,102500.90000000001,10481110.0,0.009779584414246202,
2001-04-01,16802,132456,0.1268496708340883,103117.2,10565262.0,0.009760022988544913,
2001-05-01,16661,132412,0.1258269643234752,103024.90000000001,10640274.0,0.009682542009726442,
2001-06-01,16515,132296,0.12483370623450445,102881.40000000001,10591464.0,0.009713614661769138,
2001-07-01,16382,132171,0.12394549485136679,102610.3,10585506.0,0.00969347143159713,
