Date,Wages,Unemployment
2012-05-01,481.695941005735,8.0
2012-06-01,483.082925022082,8.0
2012-07-01,482.435131573114,7.9
2012-08-01,482.593454192797,7.9
2012-09-01,480.306645192432,7.9
2012-10-01,477.619341902236,7.8
2012-11-01,477.713908292895,7.8
2012-12-01,475.37655066108,7.8
2013-01-01,474.432994286918,8.0
2013-02-01,473.976761919228,7.8
2013-03-01,465.126179084293,7.8
2013-04-01,489.49947994895,7.8
2013-05-01,478.24354187777,7.7
2013-06-01,476.253953047256,7.7
2013-07-01,474.763991826523,7.7
2013-08-01,474.233305214576,7.6
2013-09-01,473.317607892217,7.4
2013-10-01,473.07586067607,7.2
2013-11-01,472.751206122798,7.2
2013-12-01,472.677100144737,7.2
2014-01-01,473.858635527827,6.9
2014-02-01,478.984056084666,6.8
2014-03-01,465.181449410002,6.6
2014-04-01,472.843010793142,6.4
2014-05-01,472.668770674887,6.3
2014-06-01,471.265323140006,6.1
2014-07-01,469.425210399721,6.0
2014-08-01,470.814255761904,6.0
2014-09-01,474.022464132642,6.0
2014-10-01,475.537401665861,5.9
2014-11-01,475.942942817593,5.7
2014-12-01,480.296490053729,5.7
2015-01-01,478.000831751267,5.6
2015-02-01,481.001583285969,5.5
2015-03-01,482.075094885911,5.5
2015-04-01,483.111317372657,5.6
2015-05-01,482.340574835447,5.6
2015-06-01,481.324798691161,5.5
2015-07-01,483.88776769201,5.4
2015-08-01,483.930206107085,5.3
2015-09-01,482.842643520353,5.2
2015-10-01,483.096697096774,5.1
2015-11-01,483.679794668111,5.1
2015-12-01,486.11267352764,5.1
2016-01-01,487.813419881643,5.1
2016-02-01,485.480554304543,5.1
2016-03-01,487.875240183345,5.0
2016-04-01,493.764305808928,4.9
2016-05-01,490.463333276517,4.9
2016-06-01,489.706211675235,4.9
2016-07-01,491.634241899882,5.0
2016-08-01,489.810588662308,4.8
2016-09-01,488.76632969739,4.8
2016-10-01,489.526654383227,4.8
2016-11-01,490.060329173404,4.7
2016-12-01,486.291402310535,4.7
2017-01-01,486.496228739761,4.6
2017-02-01,487.445816321099,4.6
2017-03-01,488.608650067877,4.5
2017-04-01,487.61826329678,4.4
2017-05-01,488.189085039654,4.4
2017-06-01,492.001378303933,4.3
2017-07-01,487.382484796121,4.3
2017-08-01,488.372031936036,4.3
2017-09-01,489.362220475359,4.2
2017-10-01,487.453702930099,4.3
2017-11-01,487.39890277031,4.4
2017-12-01,488.003975381835,4.3
2018-01-01,485.821346290147,4.2
2018-02-01,487.542932702787,4.2
2018-03-01,490.295693798484,4.2
2018-04-01,490.216590620788,4.2
2018-05-01,489.650384588703,4.0
2018-06-01,491.71951704189,4.0
2018-07-01,492.503470448108,4.0
2018-08-01,494.012290428375,4.1
2018-09-01,492.214009597514,4.1
2018-10-01,496.357109090574,4.0
2018-11-01,492.481686129466,4.0
2018-12-01,492.899128253051,3.9
2019-01-01,494.273328242744,3.9
2019-02-01,494.382614515251,3.8
2019-03-01,495.972938122591,3.8
2019-04-01,499.231348795661,3.8
2019-05-01,500.575676832827,3.9
2019-06-01,502.015795291114,3.8
2019-07-01,502.532121672793,3.9
2019-08-01,501.118886682242,3.8
2019-09-01,503.058079919147,3.8
2019-10-01,500.563641880559,3.8
2019-11-01,500.501118489576,3.8
2019-12-01,497.505954387162,3.9
2020-01-01,499.609430333001,4.0
2020-02-01,497.535183174914,4.0
2020-03-01,494.760350145801,4.1
2020-04-01,490.760221927539,4.1
2020-05-01,492.444830475347,4.1
2020-06-01,490.735015623171,4.3
2020-07-01,496.923001223401,4.6
2020-08-01,509.241397001426,4.9
2020-09-01,512.293692959494,5.1
2020-10-01,516.226930656157,5.1
2020-11-01,522.177915501997,5.2
2020-12-01,518.8502023244,5.1
2021-01-01,515.126081048478,5.1
2021-02-01,515.049448312938,4.9
2021-03-01,512.565001279335,4.9
2021-04-01,526.489907116678,4.9
2021-05-01,526.776588203339,4.7
2021-06-01,521.470132090616,4.6
2021-07-01,523.181060159039,4.4
2021-08-01,522.338620956561,4.3
2021-09-01,519.269616354629,4.2
2021-10-01,519.303055621504,4.1
2021-11-01,515.200394161869,4.0
2021-12-01,523.419108150886,4.0
2022-01-01,516.204359045334,3.8
2022-02-01,513.468133685111,3.7
2022-03-01,533.759813172475,3.8
2022-04-01,512.757934026358,3.8
2022-05-01,510.139024838034,3.8
2022-06-01,512.770546577978,3.6
2022-07-01,509.538856023296,3.5
2022-08-01,509.759921263902,3.6
2022-09-01,509.955716174586,3.7
2022-10-01,505.611294144619,3.7
2022-11-01,508.148279045177,3.7
