Date,Total,Male,Female
1979-07-01,71.8,87.1,56.6
1979-08-01,71.8,87.0,56.7
1979-09-01,71.8,86.9,56.7
1979-10-01,71.8,86.9,56.8
1979-11-01,71.7,86.7,56.9
1979-12-01,71.7,86.6,56.9
1980-01-01,71.6,86.4,56.9
1980-02-01,71.5,86.3,56.9
1980-03-01,71.4,86.1,56.8
1980-04-01,71.3,86.0,56.8
1980-05-01,71.2,85.7,56.8
1980-06-01,71.1,85.5,56.8
1980-07-01,70.9,85.2,56.7
1980-08-01,70.7,84.9,56.6
1980-09-01,70.4,84.5,56.5
1980-10-01,70.2,84.1,56.4
1980-11-01,69.9,83.7,56.3
1980-12-01,69.7,83.4,56.2
1981-01-01,69.5,83.0,56.1
1981-02-01,69.3,82.7,56.0
1981-03-01,69.1,82.4,55.9
1981-04-01,68.9,82.1,55.8
1981-05-01,68.7,81.8,55.7
1981-06-01,68.5,81.5,55.6
1981-07-01,68.4,81.3,55.5
1981-08-01,68.2,81.1,55.5
1981-09-01,68.1,80.8,55.4
1981-10-01,67.9,80.6,55.3
1981-11-01,67.7,80.4,55.3
1981-12-01,67.6,80.2,55.2
1982-01-01,67.5,80.0,55.1
1982-02-01,67.4,79.9,55.0
1982-03-01,67.3,79.8,55.0
1982-04-01,67.2,79.7,54.9
1982-05-01,67.1,79.5,54.8
1982-06-01,66.9,79.3,54.7
1982-07-01,66.8,79.1,54.6
1982-08-01,66.6,78.9,54.5
1982-09-01,66.5,78.7,54.4
1982-10-01,66.3,78.5,54.2
1982-11-01,66.1,78.2,54.1
1982-12-01,65.9,78.1,54.0
1983-01-01,65.8,77.9,53.9
1983-02-01,65.7,77.8,53.8
1983-03-01,65.6,77.6,53.7
1983-04-01,65.6,77.5,53.8
1983-05-01,65.6,77.4,53.8
1983-06-01,65.6,77.4,54.0
1983-07-01,65.7,77.5,54.1
1983-08-01,65.9,77.6,54.3
1983-09-01,66.0,77.7,54.5
1983-10-01,66.2,77.8,54.7
1983-11-01,66.3,77.8,54.8
1983-12-01,66.4,77.9,55.0
1984-01-01,66.4,77.9,55.1
1984-02-01,66.5,78.0,55.1
1984-03-01,66.6,78.0,55.2
1984-04-01,66.6,78.1,55.3
1984-05-01,66.7,78.1,55.4
1984-06-01,66.7,78.1,55.5
1984-07-01,66.8,78.1,55.6
1984-08-01,66.8,78.2,55.6
1984-09-01,66.9,78.2,55.7
1984-10-01,67.0,78.3,55.8
1984-11-01,67.1,78.3,56.0
1984-12-01,67.1,78.3,56.1
1985-01-01,67.2,78.3,56.2
1985-02-01,67.3,78.4,56.2
1985-03-01,67.3,78.4,56.3
1985-04-01,67.3,78.4,56.4
1985-05-01,67.4,78.3,56.5
1985-06-01,67.4,78.3,56.6
1985-07-01,67.4,78.3,56.7
1985-08-01,67.5,78.2,56.8
1985-09-01,67.5,78.2,56.9
1985-10-01,67.5,78.2,57.0
1985-11-01,67.5,78.1,57.0
1985-12-01,67.5,78.1,57.1
1986-01-01,67.6,78.0,57.2
1986-02-01,67.6,78.0,57.2
1986-03-01,67.6,77.9,57.3
1986-04-01,67.6,77.9,57.4
1986-05-01,67.6,77.8,57.5
1986-06-01,67.6,77.8,57.5
1986-07-01,67.7,77.8,57.6
1986-08-01,67.8,77.9,57.7
1986-09-01,67.8,77.9,57.8
1986-10-01,67.9,77.9,58.0
1986-11-01,67.9,77.9,58.1
1986-12-01,68.0,77.9,58.2
1987-01-01,68.0,77.9,58.2
1987-02-01,68.1,77.9,58.3
1987-03-01,68.2,78.0,58.4
1987-04-01,68.3,78.2,58.5
1987-05-01,68.5,78.4,58.7
1987-06-01,68.7,78.6,58.9
1987-07-01,68.9,78.8,59.1
1987-08-01,69.1,79.0,59.3
1987-09-01,69.3,79.2,59.4
1987-10-01,69.5,79.4,59.6
1987-11-01,69.7,79.6,59.9
1987-12-01,69.9,79.8,60.0
1988-01-01,70.0,80.0,60.2
1988-02-01,70.2,80.3,60.3
1988-03-01,70.4,80.4,60.4
1988-04-01,70.5,80.6,60.6
1988-05-01,70.7,80.7,60.7
1988-06-01,70.8,80.8,60.9
1988-07-01,70.9,80.9,61.1
1988-08-01,71.1,81.0,61.3
1988-09-01,71.3,81.1,61.5
1988-10-01,71.4,81.2,61.7
1988-11-01,71.5,81.4,61.8
1988-12-01,71.7,81.5,62.1
1989-01-01,71.9,81.7,62.2
1989-02-01,72.1,81.9,62.4
1989-03-01,72.3,82.1,62.6
1989-04-01,72.4,82.2,62.7
1989-05-01,72.4,82.3,62.7
1989-06-01,72.5,82.3,62.7
1989-07-01,72.5,82.4,62.7
1989-08-01,72.6,82.4,62.8
1989-09-01,72.6,82.4,62.9
1989-10-01,72.7,82.5,63.0
1989-11-01,72.8,82.5,63.1
1989-12-01,72.8,82.5,63.2
1990-01-01,72.8,82.5,63.2
1990-02-01,72.8,82.4,63.2
1990-03-01,72.8,82.4,63.2
1990-04-01,72.8,82.4,63.3
1990-05-01,72.8,82.4,63.4
1990-06-01,72.8,82.3,63.5
1990-07-01,72.8,82.2,63.5
1990-08-01,72.7,82.1,63.4
1990-09-01,72.6,81.9,63.3
1990-10-01,72.4,81.7,63.3
1990-11-01,72.3,81.4,63.3
1990-12-01,72.1,81.1,63.2
1991-01-01,71.9,80.8,63.1
1991-02-01,71.7,80.5,62.9
1991-03-01,71.5,80.2,62.8
1991-04-01,71.2,79.9,62.7
1991-05-01,71.0,79.5,62.6
1991-06-01,70.7,79.1,62.5
1991-07-01,70.5,78.7,62.4
1991-08-01,70.3,78.4,62.3
1991-09-01,70.1,78.1,62.2
1991-10-01,69.9,77.8,62.1
1991-11-01,69.8,77.6,62.1
1991-12-01,69.6,77.3,62.0
1992-01-01,69.5,77.2,61.9
1992-02-01,69.4,76.9,62.0
1992-03-01,69.3,76.7,62.0
1992-04-01,69.2,76.5,62.0
1992-05-01,69.1,76.4,61.8
1992-06-01,69.0,76.3,61.7
1992-07-01,68.9,76.2,61.8
1992-08-01,68.9,76.1,61.8
1992-09-01,68.8,75.8,61.8
1992-10-01,68.7,75.6,61.8
1992-11-01,68.5,75.3,61.8
1992-12-01,68.4,75.3,61.7
1993-01-01,68.3,75.2,61.6
1993-02-01,68.4,75.2,61.6
1993-03-01,68.3,75.0,61.7
1993-04-01,68.4,75.0,61.8
1993-05-01,68.4,75.1,61.8
1993-06-01,68.4,75.1,61.8
1993-07-01,68.4,75.1,61.8
1993-08-01,68.5,75.1,62.0
1993-09-01,68.5,75.1,61.9
1993-10-01,68.5,75.2,61.9
1993-11-01,68.5,75.1,61.9
1993-12-01,68.5,75.1,61.9
1994-01-01,68.6,75.4,61.9
1994-02-01,68.7,75.5,62.1
1994-03-01,68.8,75.6,62.2
1994-04-01,68.8,75.5,62.2
1994-05-01,68.8,75.5,62.2
1994-06-01,69.0,75.7,62.4
1994-07-01,69.0,75.7,62.3
1994-08-01,69.0,75.9,62.3
1994-09-01,69.0,76.0,62.2
1994-10-01,69.1,76.0,62.2
1994-11-01,69.1,76.0,62.2
1994-12-01,69.0,76.0,62.1
1995-01-01,69.1,76.0,62.3
1995-02-01,69.2,76.1,62.5
1995-03-01,69.3,76.1,62.5
1995-04-01,69.4,76.3,62.5
1995-05-01,69.4,76.3,62.7
1995-06-01,69.5,76.3,62.8
1995-07-01,69.6,76.4,62.9
1995-08-01,69.6,76.4,62.9
1995-09-01,69.7,76.4,63.0
1995-10-01,69.7,76.5,63.1
1995-11-01,69.9,76.7,63.3
1995-12-01,70.0,76.6,63.5
1996-01-01,69.9,76.5,63.4
1996-02-01,69.9,76.5,63.4
1996-03-01,69.9,76.5,63.4
1996-04-01,69.9,76.6,63.4
1996-05-01,69.9,76.5,63.4
1996-06-01,69.9,76.6,63.3
1996-07-01,70.0,76.7,63.4
1996-08-01,70.0,76.7,63.5
1996-09-01,70.1,76.7,63.7
1996-10-01,70.3,77.0,63.7
1996-11-01,70.3,77.0,63.8
1996-12-01,70.5,77.2,63.8
1997-01-01,70.6,77.4,64.0
1997-02-01,70.8,77.6,64.0
1997-03-01,70.9,77.8,64.1
1997-04-01,70.9,77.7,64.2
1997-05-01,71.0,77.8,64.3
1997-06-01,70.9,77.7,64.3
1997-07-01,70.9,77.8,64.2
1997-08-01,71.1,77.9,64.3
1997-09-01,71.1,78.1,64.3
1997-10-01,71.2,78.1,64.3
1997-11-01,71.2,78.2,64.3
1997-12-01,71.2,78.3,64.2
1998-01-01,71.2,78.4,64.3
1998-02-01,71.3,78.3,64.4
1998-03-01,71.3,78.2,64.5
1998-04-01,71.3,78.3,64.4
1998-05-01,71.3,78.3,64.4
1998-06-01,71.4,78.4,64.6
1998-07-01,71.6,78.5,64.7
1998-08-01,71.6,78.5,64.8
1998-09-01,71.6,78.4,65.0
1998-10-01,71.8,78.6,65.1
1998-11-01,71.8,78.6,65.1
1998-12-01,71.9,78.5,65.3
1999-01-01,71.9,78.6,65.2
1999-02-01,71.9,78.6,65.2
1999-03-01,71.8,78.6,65.2
1999-04-01,71.8,78.6,65.1
1999-05-01,71.9,78.7,65.2
1999-06-01,71.9,78.8,65.2
1999-07-01,72.0,78.9,65.3
1999-08-01,72.1,78.9,65.4
1999-09-01,72.1,79.0,65.3
1999-10-01,72.2,79.1,65.5
1999-11-01,72.3,79.1,65.6
1999-12-01,72.2,79.1,65.5
2000-01-01,72.2,78.9,65.5
2000-02-01,72.3,79.1,65.6
2000-03-01,72.3,79.2,65.6
2000-04-01,72.4,79.3,65.7
2000-05-01,72.5,79.2,65.9
2000-06-01,72.6,79.3,66.0
2000-07-01,72.7,79.3,66.2
2000-08-01,72.6,79.3,66.1
2000-09-01,72.5,79.2,66.0
2000-10-01,72.4,79.1,65.9
2000-11-01,72.5,79.2,65.9
2000-12-01,72.7,79.4,66.1
2001-01-01,72.6,79.3,66.1
2001-02-01,72.6,79.5,65.9
2001-03-01,72.7,79.4,66.1
2001-04-01,72.7,79.5,66.1
2001-05-01,72.7,79.2,66.3
2001-06-01,72.6,79.2,66.1
2001-07-01,72.6,79.3,66.0
2001-08-01,72.5,79.2,65.9
2001-09-01,72.5,79.2,66.0
2001-10-01,72.6,79.2,66.2
2001-11-01,72.6,79.1,66.2
2001-12-01,72.5,79.0,66.1
2002-01-01,72.5,79.0,66.1
2002-02-01,72.5,78.9,66.1
2002-03-01,72.6,78.9,66.3
2002-04-01,72.6,79.0,66.4
2002-05-01,72.7,79.0,66.5
2002-06-01,72.6,78.9,66.3
2002-07-01,72.7,79.0,66.5
2002-08-01,72.6,78.8,66.4
2002-09-01,72.7,79.2,66.4
2002-10-01,72.8,79.2,66.4
2002-11-01,72.9,79.5,66.4
2002-12-01,72.8,79.4,66.3
2003-01-01,72.6,79.1,66.3
2003-02-01,72.7,79.1,66.4
2003-03-01,72.7,79.2,66.4
2003-04-01,72.8,79.3,66.4
2003-05-01,72.9,79.5,66.4
2003-06-01,72.8,79.4,66.4
2003-07-01,72.8,79.3,66.3
2003-08-01,72.8,79.3,66.4
2003-09-01,72.8,79.2,66.5
2003-10-01,72.8,79.1,66.6
2003-11-01,72.8,79.0,66.6
2003-12-01,73.0,79.3,66.8
2004-01-01,73.0,79.4,66.8
2004-02-01,73.0,79.4,66.8
2004-03-01,73.0,79.3,66.7
2004-04-01,72.9,79.4,66.6
2004-05-01,72.9,79.2,66.6
2004-06-01,72.8,79.2,66.5
2004-07-01,72.8,79.2,66.5
2004-08-01,72.9,79.3,66.6
2004-09-01,72.9,79.2,66.6
2004-10-01,73.0,79.4,66.8
2004-11-01,73.0,79.4,66.8
2004-12-01,73.1,79.4,66.9
2005-01-01,73.2,79.4,67.1
2005-02-01,73.1,79.4,66.9
2005-03-01,72.9,79.2,66.8
2005-04-01,72.9,79.1,66.8
2005-05-01,72.9,79.1,66.8
2005-06-01,73.0,79.1,66.9
2005-07-01,73.0,79.1,67.1
2005-08-01,73.0,79.2,67.1
2005-09-01,72.9,79.0,66.9
2005-10-01,72.8,78.9,66.7
2005-11-01,72.7,78.9,66.6
2005-12-01,72.8,79.0,66.7
2006-01-01,72.8,78.9,66.8
2006-02-01,72.9,78.8,67.1
2006-03-01,72.9,79.0,67.0
2006-04-01,72.8,78.8,66.9
2006-05-01,72.8,78.8,67.0
2006-06-01,72.9,79.0,66.9
2006-07-01,73.0,79.1,67.1
2006-08-01,72.8,79.1,66.7
2006-09-01,72.8,79.0,66.7
2006-10-01,72.7,78.9,66.7
2006-11-01,72.7,78.9,66.7
2006-12-01,72.6,78.9,66.5
2007-01-01,72.5,78.8,66.4
2007-02-01,72.5,78.7,66.4
2007-03-01,72.5,78.8,66.4
2007-04-01,72.7,79.0,66.5
2007-05-01,72.7,78.9,66.5
2007-06-01,72.6,78.8,66.5
2007-07-01,72.6,78.9,66.6
2007-08-01,72.7,78.9,66.6
2007-09-01,72.8,79.0,66.7
2007-10-01,72.8,79.1,66.7
2007-11-01,72.9,79.1,66.8
2007-12-01,72.9,79.1,66.9
2008-01-01,73.0,79.1,67.0
2008-02-01,73.0,79.1,67.0
2008-03-01,73.0,79.1,67.0
2008-04-01,73.0,79.0,67.1
2008-05-01,72.9,78.9,67.0
2008-06-01,72.8,78.7,66.9
2008-07-01,72.6,78.4,66.8
2008-08-01,72.4,78.3,66.7
2008-09-01,72.3,78.1,66.6
2008-10-01,72.3,78.1,66.6
2008-11-01,72.2,78.0,66.5
2008-12-01,72.2,77.9,66.6
2009-01-01,71.9,77.6,66.3
2009-02-01,71.7,77.3,66.2
2009-03-01,71.4,76.9,66.0
2009-04-01,71.0,76.4,65.8
2009-05-01,70.8,76.0,65.7
2009-06-01,70.6,75.8,65.6
2009-07-01,70.7,75.7,65.7
2009-08-01,70.6,75.5,65.8
2009-09-01,70.6,75.5,65.8
2009-10-01,70.6,75.4,65.9
2009-11-01,70.6,75.3,65.9
2009-12-01,70.4,75.1,65.8
2010-01-01,70.3,75.0,65.7
2010-02-01,70.2,74.9,65.6
2010-03-01,70.2,75.0,65.5
2010-04-01,70.4,75.3,65.5
2010-05-01,70.4,75.4,65.5
2010-06-01,70.6,75.7,65.6
2010-07-01,70.6,75.8,65.6
2010-08-01,70.7,75.9,65.6
2010-09-01,70.5,75.7,65.3
2010-10-01,70.3,75.5,65.2
2010-11-01,70.4,75.7,65.2
2010-12-01,70.5,75.7,65.3
2011-01-01,70.6,75.8,65.5
2011-02-01,70.5,75.7,65.5
2011-03-01,70.5,75.8,65.3
2011-04-01,70.5,75.7,65.4
2011-05-01,70.5,75.6,65.4
2011-06-01,70.2,75.2,65.3
2011-07-01,70.2,75.2,65.3
2011-08-01,70.1,74.9,65.3
2011-09-01,70.1,75.0,65.4
2011-10-01,70.1,75.0,65.4
2011-11-01,70.2,75.2,65.4
2011-12-01,70.2,75.2,65.3
2012-01-01,70.3,75.5,65.2
2012-02-01,70.5,75.6,65.4
2012-03-01,70.5,75.6,65.5
2012-04-01,70.7,75.8,65.6
2012-05-01,70.9,76.1,65.8
2012-06-01,71.1,76.2,66.0
2012-07-01,71.2,76.4,66.1
2012-08-01,71.1,76.3,66.0
2012-09-01,71.1,76.3,66.0
2012-10-01,71.3,76.4,66.3
2012-11-01,71.4,76.4,66.5
2012-12-01,71.4,76.3,66.5
2013-01-01,71.2,76.0,66.4
2013-02-01,71.2,76.0,66.5
2013-03-01,71.2,76.0,66.6
2013-04-01,71.2,76.0,66.5
2013-05-01,71.3,76.1,66.6
2013-06-01,71.5,76.3,66.7
2013-07-01,71.5,76.4,66.7
2013-08-01,71.7,76.7,66.7
2013-09-01,71.9,76.8,67.0
2013-10-01,72.0,77.1,67.1
2013-11-01,72.0,77.0,67.1
2013-12-01,72.1,77.1,67.2
2014-01-01,72.4,77.3,67.5
2014-02-01,72.5,77.4,67.6
2014-03-01,72.7,77.6,67.8
2014-04-01,72.9,77.9,68.0
2014-05-01,72.8,77.8,67.9
2014-06-01,72.8,77.7,67.9
2014-07-01,73.0,78.0,68.1
2014-08-01,73.0,78.1,68.1
2014-09-01,73.0,77.9,68.2
2014-10-01,73.0,77.8,68.2
2014-11-01,73.2,78.0,68.5
2014-12-01,73.3,78.1,68.6
2015-01-01,73.4,78.3,68.7
2015-02-01,73.4,78.4,68.6
2015-03-01,73.4,78.2,68.7
2015-04-01,73.3,78.1,68.6
2015-05-01,73.4,78.2,68.7
2015-06-01,73.5,78.3,68.7
2015-07-01,73.6,78.5,68.7
2015-08-01,73.8,78.7,69.0
2015-09-01,74.0,79.1,69.0
2015-10-01,74.0,79.1,69.1
2015-11-01,74.1,79.2,69.1
2015-12-01,74.1,79.1,69.1
2016-01-01,74.1,79.2,69.2
2016-02-01,74.1,79.2,69.2
2016-03-01,74.2,79.2,69.2
2016-04-01,74.4,79.2,69.6
2016-05-01,74.4,79.3,69.6
2016-06-01,74.5,79.3,69.8
2016-07-01,74.5,79.4,69.6
2016-08-01,74.4,79.2,69.7
2016-09-01,74.4,79.1,69.8
2016-10-01,74.4,79.1,69.8
2016-11-01,74.6,79.2,70.0
2016-12-01,74.5,79.3,69.8
2017-01-01,74.6,79.3,70.0
2017-02-01,74.8,79.4,70.2
2017-03-01,74.8,79.4,70.2
2017-04-01,74.9,79.5,70.4
2017-05-01,75.1,79.8,70.5
2017-06-01,75.3,79.7,70.9
2017-07-01,75.1,79.6,70.7
2017-08-01,75.0,79.4,70.6
2017-09-01,75.1,79.4,70.8
2017-10-01,75.3,79.9,70.8
2017-11-01,75.2,79.6,70.8
2017-12-01,75.3,79.8,70.9
2018-01-01,75.4,79.8,71.0
2018-02-01,75.6,80.0,71.2
2018-03-01,75.6,80.0,71.3
2018-04-01,75.6,80.1,71.2
2018-05-01,75.5,80.1,71.0
2018-06-01,75.5,80.1,71.0
2018-07-01,75.6,80.1,71.0
2018-08-01,75.6,80.1,71.1
2018-09-01,75.7,80.3,71.2
2018-10-01,75.8,80.3,71.3
2018-11-01,75.8,80.3,71.4
2018-12-01,76.1,80.5,71.8
2019-01-01,76.1,80.5,71.8
2019-02-01,76.1,80.3,71.8
2019-03-01,76.1,80.3,72.0
2019-04-01,76.0,80.2,72.0
2019-05-01,76.1,80.1,72.1
2019-06-01,76.1,80.2,72.1
2019-07-01,75.9,80.2,71.6
2019-08-01,76.0,80.3,71.8
2019-09-01,76.2,80.4,72.0
2019-10-01,76.3,80.4,72.3
2019-11-01,76.5,80.6,72.4
2019-12-01,76.5,80.4,72.5
2020-01-01,76.6,80.5,72.7
2020-02-01,76.3,80.2,72.5
2020-03-01,76.0,79.9,72.2
2020-04-01,75.9,79.7,72.0
2020-05-01,75.7,79.6,71.9
2020-06-01,75.6,79.3,71.8
2020-07-01,75.3,78.8,71.8
2020-08-01,74.9,78.2,71.7
2020-09-01,74.8,78.0,71.7
2020-10-01,74.9,78.1,71.6
2020-11-01,74.6,77.8,71.4
2020-12-01,74.6,77.8,71.4
2021-01-01,74.7,77.7,71.7
2021-02-01,74.7,77.7,71.6
2021-03-01,74.7,77.7,71.7
2021-04-01,74.8,77.9,71.6
2021-05-01,75.0,78.1,71.9
2021-06-01,75.1,78.3,72.0
2021-07-01,75.2,78.4,72.1
2021-08-01,75.3,78.7,72.0
2021-09-01,75.4,78.8,72.0
2021-10-01,75.4,78.8,72.1
2021-11-01,75.5,78.8,72.2
2021-12-01,75.4,78.7,72.2
2022-01-01,75.5,78.8,72.1
2022-02-01,75.6,79.0,72.3
2022-03-01,75.6,79.0,72.3
2022-04-01,75.9,79.2,72.5
2022-05-01,75.5,78.9,72.2
2022-06-01,75.4,78.8,72.1
2022-07-01,75.5,78.9,72.2
2022-08-01,75.5,78.9,72.1
2022-09-01,75.6,79.0,72.2
2022-10-01,75.6,79.0,72.2
2022-11-01,75.6,79.0,72.3
