Date,Manufacturing Employees,Industrial Output,Manufacturing Output,Employees
1989-10-01,17895.0,99.87103552133848,99.63926578965493,106.27115624443258
1989-11-01,17886.0,100.20718883457093,99.85467318685859,106.21770889007661
1989-12-01,17881.0,100.77037167139916,99.8984089813348,106.1880159154344
1990-01-01,17797.0,100.25077329898616,99.81748054273709,105.68917394144546
1990-02-01,17893.0,101.17255219564869,101.2199531648185,106.25927905457569
1990-03-01,17868.0,101.65393284739906,101.75528617673392,106.1108141813647
1990-04-01,17845.0,101.41470617891096,101.35563744059507,105.97422649801057
1990-05-01,17797.0,101.71996005841619,101.66747021144707,105.68917394144546
1990-06-01,17776.0,102.05611337164862,102.00254838487497,105.56446344794821
1990-07-01,17704.0,101.88632911474748,101.75976306908188,105.13688461310053
1990-08-01,17649.0,102.25452026189708,102.14391487017012,104.81026189203635
1990-09-01,17609.0,102.28688335301139,102.03491976031407,104.57271809489875
1990-10-01,17577.0,101.65263181861056,101.34496177422687,104.38268305718867
1990-11-01,17428.0,100.3859176643931,100.12793580825125,103.49783241285111
1990-12-01,17395.0,99.6814105754125,99.30212135822025,103.30185878021261
1991-01-01,17330.0,99.35485234949536,98.68930367105172,102.91585010986401
1991-02-01,17211.0,98.6378228584253,97.96766306219435,102.20915731337965
1991-03-01,17140.0,98.07626630758271,97.28304290929127,101.7875170734604
1991-04-01,17093.0,98.33468315070141,97.70834768234727,101.50840311182374
1991-05-01,17070.0,99.31256891386865,98.4074316412976,101.37181542846963
1991-06-01,17044.0,100.11595419077635,99.37788415180108,101.21741196033018
1991-07-01,17015.0,100.37924989185197,99.92509814725531,101.04519270740542
1991-08-01,17025.0,100.40039160966533,100.01325848887663,101.10457865668982
1991-09-01,17010.0,101.2304479767376,101.10148770576485,101.01549973276323
1991-10-01,16999.0,101.126528302255,100.97406846201528,100.95017518855039
1991-11-01,16961.0,100.98959502226384,100.78001239754803,100.72450858126967
1991-12-01,16916.0,100.52203780139145,100.53429988291204,100.45727180948987
1992-01-01,16839.0,100.0,99.99999999999999,100.0
1992-02-01,16829.0,100.71572846228155,100.97561815552035,99.94061405071561
1992-03-01,16805.0,101.55993351742889,102.04404573317721,99.79808777243304
1992-04-01,16831.0,102.34412861970601,102.63568427577655,99.95249124057248
1992-05-01,16835.0,102.67702936096717,103.24609132860388,99.97624562028624
1992-06-01,16826.0,102.73834034262592,103.59218954473447,99.92279826593028
1992-07-01,16819.0,103.66076975368271,104.56040360906397,99.88122810143119
1992-08-01,16783.0,103.09303331609469,104.08344238583923,99.66743868400737
1992-09-01,16761.0,103.41991679920896,104.25821337557682,99.53678959558168
1992-10-01,16751.0,104.12816434595655,104.9161443625594,99.47740364629729
1992-11-01,16758.0,104.52660441243913,105.3355947379296,99.51897381079637
1992-12-01,16769.0,104.67882478069532,105.23624216543838,99.58429835500921
1993-01-01,16791.0,105.09970759377978,106.21203250912596,99.71494744343488
1993-02-01,16805.0,105.5931227618239,106.47944073283283,99.79808777243304
1993-03-01,16795.0,105.50042446064224,106.27281493215786,99.73870182314865
1993-04-01,16772.0,105.80795514052735,106.828982712308,99.60211413979452
1993-05-01,16766.0,105.40024524392663,106.72222604862593,99.56648257022388
1993-06-01,16742.0,105.63589408324631,106.53764033335628,99.42395629194132
1993-07-01,16739.0,105.9034181278846,106.81262483642124,99.40614050715601
1993-08-01,16741.0,105.78892759449535,106.65335078173426,99.41801769701289
1993-09-01,16769.0,106.33991328643123,107.44644947999171,99.58429835500921
1993-10-01,16778.0,107.12378313151123,108.37299400785176,99.63774570936516
1993-11-01,16800.0,107.62419132929362,108.88094910117775,99.76839479779083
1993-12-01,16815.0,108.245920461605,109.599490323025,99.85747372171744
1994-01-01,16855.0,108.59069309056135,109.7389627384806,100.09501751885503
1994-02-01,16862.0,108.6469625856646,109.90391900268614,100.13658768335412
1994-03-01,16897.0,109.74698242635363,111.38663131069633,100.34443850584951
1994-04-01,16933.0,110.38757647609846,112.39462084165575,100.55822792327336
1994-05-01,16962.0,110.90636170551863,113.14329499276809,100.7304471761981
1994-06-01,17010.0,111.64876125796474,113.5515531372684,101.01549973276323
1994-07-01,17026.0,111.7832551089774,114.04349473104206,101.11051725161826
1994-08-01,17081.0,112.53150929097184,114.99603967215371,101.43713997268247
1994-09-01,17115.0,112.86701208981002,115.43322542874853,101.63905220024942
1994-10-01,17144.0,113.78960412946536,116.61305875060265,101.81127145317417
1994-11-01,17186.0,114.55021808495067,117.57317997107238,102.06069244016867
1994-12-01,17217.0,115.69609919043482,118.89076382670982,102.2447888829503
1995-01-01,17262.0,115.91548516989809,119.11202562159927,102.5120256547301
1995-02-01,17265.0,115.7759498323299,118.80294786142295,102.5298414395154
1995-03-01,17263.0,115.9364642591129,119.11323093876987,102.51796424965853
1995-04-01,17278.0,115.73025119613334,118.77798057717472,102.60704317358514
1995-05-01,17259.0,116.28660363182186,119.20001377505338,102.49420986994477
1995-06-01,17247.0,116.6746354679963,119.76616846890282,102.4229467308035
1995-07-01,17218.0,116.19146590166172,118.98150699083958,102.25072747787874
1995-08-01,17240.0,117.71057964085098,120.41686755286176,102.38137656630441
1995-09-01,17247.0,118.16610234542964,121.51301742544251,102.4229467308035
1995-10-01,17216.0,117.97533899931369,121.4214133204766,102.23885028802184
1995-11-01,17209.0,118.25993904680124,121.54470004821268,102.19728012352279
1995-12-01,17231.0,118.66553477162066,122.04008540533094,102.32792921194844
1996-01-01,17208.0,118.04657032548488,121.29313313589088,102.19134152859432
1996-02-01,17229.0,119.75791106817717,123.10024795096079,102.31605202209157
1996-03-01,17193.0,119.56487092168132,122.76603071836902,102.10226260466773
1996-04-01,17204.0,120.77840552416824,124.32416144362558,102.16758714888057
1996-05-01,17222.0,121.66977287289923,125.32044217921343,102.27448185759249
1996-06-01,17226.0,122.58602239721058,126.57276671947102,102.29823623730626
1996-07-01,17223.0,122.58195668224647,127.13995454232384,102.28042045252093
