Date,Manufacturing Employees,Industrial Output,Employees
1953-04-01,16293.0,37.57095150564435,84.49849600663832
1953-05-01,16341.0,37.77786332271507,84.74743283891712
1953-06-01,16343.0,37.622535102830355,84.75780520692874
1953-07-01,16353.0,38.08832728637557,84.80966704698683
1953-08-01,16278.0,37.881415469304876,84.42070324655118
1953-09-01,16151.0,37.10515932209914,83.7620578778135
1953-10-01,15981.0,36.79469535843863,82.88040659682605
1953-11-01,15728.0,35.9148870646431,81.5683020433565
1953-12-01,15581.0,35.03507877084757,80.80593299450265
1954-01-01,15440.0,34.77639088048196,80.07468104968363
1954-02-01,15307.0,34.87994302707176,79.38491857691112
1954-03-01,15197.0,34.67283873389215,78.81443833627218
1954-04-01,15065.0,34.46592691682145,78.12986204750545
1954-05-01,14974.0,34.67283873389215,77.65791930297688
1954-06-01,14910.0,34.77639088048196,77.32600352660512
1954-07-01,14799.0,34.82816695377686,76.75033710196037
1954-08-01,14772.0,34.77639088048196,76.61031013380355
1954-09-01,14805.0,34.82816695377686,76.78145420599523
1954-10-01,14841.0,35.242183064027174,76.96815683020434
1954-11-01,14913.0,35.8113349180533,77.34156207862254
1954-12-01,14967.0,36.27712710159851,77.62161601493621
1955-01-01,15034.0,37.10515932209914,77.96909034332538
1955-02-01,15138.0,37.57095150564435,78.50845347992946
1955-03-01,15258.0,38.45056732333099,79.13079556062648
1955-04-01,15375.0,38.916359506876205,79.73757908930608
1955-05-01,15493.0,39.537287434197225,80.3495488019915
1955-06-01,15585.0,39.58925598360103,80.82667773052587
1955-07-01,15614.0,39.899719947261545,80.97707706669432
1955-08-01,15679.0,39.84794387396664,81.31417902707187
1955-09-01,15668.0,40.10663176433225,81.25713100300798
1955-10-01,15740.0,40.779335764948165,81.63053625142621
1955-11-01,15813.0,40.88288791153798,82.00912768385022
1955-12-01,15859.0,41.03821613142268,82.24769214811741
1956-01-01,15882.0,41.29690402178829,82.36697438025101
1956-02-01,15889.0,40.93466398483287,82.40327766829168
1956-03-01,15829.0,40.93466398483287,82.09210662794317
1956-04-01,15909.0,41.24512794849339,82.50700134840784
1956-05-01,15893.0,40.88288791153798,82.4240224043149
1956-06-01,15835.0,40.52064787458256,82.12322373197802
1956-07-01,15468.0,39.278599543831625,80.21989420184629
1956-08-01,15893.0,40.88288791153798,82.4240224043149
1956-09-01,15863.0,41.814472278628415,82.26843688414066
1956-10-01,15937.0,42.17671231558383,82.65221450057048
1956-11-01,15916.0,41.814472278628415,82.5433046364485
1956-12-01,15957.0,42.435400205949435,82.75593818068666
1957-01-01,15970.0,42.280264462173626,82.82335857276216
1957-02-01,15998.0,42.69428057242394,82.9685717249248
1957-03-01,15994.0,42.64250449912903,82.94782698890157
1957-04-01,15970.0,42.07316016899401,82.82335857276216
1957-05-01,15931.0,41.91783194910931,82.62109739653563
1957-06-01,15873.0,42.02138409569912,82.32029872419874
1957-07-01,15854.0,42.280264462173626,82.22176122808837
1957-08-01,15867.0,42.280264462173626,82.28918162016389
1957-09-01,15710.0,41.91802442521821,81.47495073125195
1957-10-01,15599.0,41.29690402178829,80.8992843066072
1957-11-01,15466.0,40.31373605751185,80.20952183383466
1957-12-01,15332.0,39.537287434197225,79.51457317705632
1958-01-01,15130.0,38.8128073602864,78.466964007883
1958-02-01,14908.0,37.984967615894675,77.31563115859352
1958-03-01,14670.0,37.519175432349456,76.08131936521107
1958-04-01,14506.0,36.898055028919536,75.23078518825848
1958-05-01,14414.0,37.26029506587494,74.7536562597241
1958-06-01,14408.0,38.24365550626028,74.72253915568925
1958-07-01,14450.0,38.8128073602864,74.9403588839332
1958-08-01,14524.0,39.589063507492135,75.32413650036304
1958-09-01,14658.0,39.95149602055644,76.01908515714138
1958-10-01,14503.0,40.41709572799276,75.21522663624106
1958-11-01,14827.0,41.6073679854488,76.89555025412301
1958-12-01,14877.0,41.6591440587437,77.15485945441344
