High income,HIC,"GDP per capita, PPP (current international $)",51726.33121,50466.93245,54675.70321
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (current international $)",62103.42761,58949.46595,65891.69471
Honduras,HND,"GDP per capita, PPP (current international $)",5850.582832,5303.514499,6121.565844
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (current international $)",2669.714178,2633.377108,2767.495507
Croatia,HRV,"GDP per capita, PPP (current international $)",30635.66404,29106.58772,34314.01846
Haiti,HTI,"GDP per capita, PPP (current international $)",3232.49563,3121.145757,3153.12702
Hungary,HUN,"GDP per capita, PPP (current international $)",33514.94179,33274.34766,36752.4965
IBRD only,IBD,"GDP per capita, PPP (current international $)",13939.19442,13754.47591,15196.57967
IDA & IBRD total,IBT,"GDP per capita, PPP (current international $)",11342.8604,11165.93321,12254.95734
IDA total,IDA,"GDP per capita, PPP (current international $)",3931.866415,3893.059622,4126.900311
IDA blend,IDB,"GDP per capita, PPP (current international $)",5263.213884,5151.235977,5536.66907
Indonesia,IDN,"GDP per capita, PPP (current international $)",12358.24225,12146.40679,13027.30061
IDA only,IDX,"GDP per capita, PPP (current international $)",3273.043342,3274.505211,3432.887326
Isle of Man,IMN,"GDP per capita, PPP (current international $)",,,
India,IND,"GDP per capita, PPP (current international $)",6887.538348,6448.870196,7241.98423
Not classified,INX,"GDP per capita, PPP (current international $)",,,
Ireland,IRL,"GDP per capita, PPP (current international $)",87379.69297,93355.55516,106351.3735
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (current international $)",14678.77788,15222.75974,16484.07536
Iraq,IRQ,"GDP per capita, PPP (current international $)",10733.99471,9408.295527,9846.0415
Iceland,ISL,"GDP per capita, PPP (current international $)",58290.09683,53616.68471,57611.59178
Israel,ISR,"GDP per capita, PPP (current international $)",40004.03051,39489.28078,43721.62304
Italy,ITA,"GDP per capita, PPP (current international $)",44376.1625,41995.35753,45902.23562
Jamaica,JAM,"GDP per capita, PPP (current international $)",10676.72547,9701.890533,10542.73779
Jordan,JOR,"GDP per capita, PPP (current international $)",9954.268404,9707.404182,10132.50388
Japan,JPN,"GDP per capita, PPP (current international $)",42282.55089,42100.25769,42940.40525
Kazakhstan,KAZ,"GDP per capita, PPP (current international $)",27463.97155,26750.44623,28684.89806
Kenya,KEN,"GDP per capita, PPP (current international $)",4795.403612,4744.739268,5211.170533
Kyrgyz Republic,KGZ,"GDP per capita, PPP (current international $)",5480.293907,4985.029555,5289.687125
Cambodia,KHM,"GDP per capita, PPP (current international $)",4652.708167,4510.372357,4783.903614
Kiribati,KIR,"GDP per capita, PPP (current international $)",2074.526963,2051.357672,2128.076638
St. Kitts and Nevis,KNA,"GDP per capita, PPP (current international $)",32511.29829,28162.94691,29097.1867
"Korea, Rep.",KOR,"GDP per capita, PPP (current international $)",42998.38824,45403.03259,47242.52723
Kuwait,KWT,"GDP per capita, PPP (current international $)",49311.69846,46328.07946,
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (current international $)",15964.18906,15096.19993,16496.11012
Lao PDR,LAO,"GDP per capita, PPP (current international $)",8170.958382,8189.14621,8620.647618
Lebanon,LBN,"GDP per capita, PPP (current international $)",17896.94322,14535.68092,14256.68971
Liberia,LBR,"GDP per capita, PPP (current international $)",1517.072239,1459.614277,1563.552927
Libya,LBY,"GDP per capita, PPP (current international $)",23486.54486,17851.01172,24130.82983
St. Lucia,LCA,"GDP per capita, PPP (current international $)",16113.31752,12289.2503,14332.22151
Latin America & Caribbean,LCN,"GDP per capita, PPP (current international $)",16632.96195,15743.8829,17271.81653
Least developed countries: UN classification,LDC,"GDP per capita, PPP (current international $)",3215.922273,3212.820885,3335.93272
Low income,LIC,"GDP per capita, PPP (current international $)",2059.0586,2040.816019,2111.161006
Liechtenstein,LIE,"GDP per capita, PPP (current international $)",,,
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",14214.65121,13812.95748,14706.54132
Lower middle income,LMC,"GDP per capita, PPP (current international $)",7566.15411,7310.420509,7955.079428
Low & middle income,LMY,"GDP per capita, PPP (current international $)",10985.57477,10810.18676,11861.18939
Lesotho,LSO,"GDP per capita, PPP (current international $)",2640.02831,2417.728659,2521.530663
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",18285.45388,18440.33806,20446.8388
Lithuania,LTU,"GDP per capita, PPP (current international $)",38540.78145,38880.54527,42581.26696
Luxembourg,LUX,"GDP per capita, PPP (current international $)",117341.9151,117846.1365,134544.5291
Latvia,LVA,"GDP per capita, PPP (current international $)",31883.25911,31424.90221,34444.31209
"Macao SAR, China",MAC,"GDP per capita, PPP (current international $)",128005.7819,58179.5128,71185.65564
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",,,
Morocco,MAR,"GDP per capita, PPP (current international $)",8564.418945,7959.256348,8852.914063
Monaco,MCO,"GDP per capita, PPP (current international $)",,,
Moldova,MDA,"GDP per capita, PPP (current international $)",13580.11657,12870.01602,15390.46583
Madagascar,MDG,"GDP per capita, PPP (current international $)",1652.385832,1514.861688,1607.935225
Maldives,MDV,"GDP per capita, PPP (current international $)",21442.73873,14154.25248,20615.37308
Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",16657.93366,16118.44908,17282.01883
Mexico,MEX,"GDP per capita, PPP (current international $)",20251.7263,19165.35778,20277.17677
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",5885.399062,6023.737797,6549.621884
Middle income,MIC,"GDP per capita, PPP (current international $)",12039.13502,11865.14465,13054.3536
North Macedonia,MKD,"GDP per capita, PPP (current international $)",17464.2929,16984.36046,18222.2861
Mali,MLI,"GDP per capita, PPP (current international $)",2312.700701,2240.140931,2329.706181
Malta,MLT,"GDP per capita, PPP (current international $)",47271.4363,43711.5058,48581.45094
Myanmar,MMR,"GDP per capita, PPP (current international $)",5033.365324,5218.024537,4430.222427
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",10930.91211,10660.8031,11444.00319
Montenegro,MNE,"GDP per capita, PPP (current international $)",23075.08563,20107.69856,23284.56728
Mongolia,MNG,"GDP per capita, PPP (current international $)",12983.80399,12305.71791,12818.87945
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",,,
Mozambique,MOZ,"GDP per capita, PPP (current international $)",1339.42552,1300.510773,1347.720024
