date,value,Series
2015-07-01,6.9,Hispanic or Latino
2015-08-01,6.6,Hispanic or Latino
2015-09-01,6.2,Hispanic or Latino
2015-10-01,6.3,Hispanic or Latino
2015-11-01,6.4,Hispanic or Latino
2015-12-01,6.2,Hispanic or Latino
2016-01-01,5.9,Hispanic or Latino
2016-02-01,5.5,Hispanic or Latino
2016-03-01,5.6,Hispanic or Latino
2016-04-01,6.2,Hispanic or Latino
2016-05-01,5.7,Hispanic or Latino
2016-06-01,6.0,Hispanic or Latino
2016-07-01,5.4,Hispanic or Latino
2016-08-01,5.6,Hispanic or Latino
2016-09-01,6.2,Hispanic or Latino
2016-10-01,5.7,Hispanic or Latino
2016-11-01,5.6,Hispanic or Latino
2016-12-01,5.8,Hispanic or Latino
2017-01-01,5.8,Hispanic or Latino
2017-02-01,5.6,Hispanic or Latino
2017-03-01,5.0,Hispanic or Latino
2017-04-01,5.2,Hispanic or Latino
2017-05-01,5.2,Hispanic or Latino
2017-06-01,5.0,Hispanic or Latino
2017-07-01,5.1,Hispanic or Latino
2017-08-01,5.1,Hispanic or Latino
2017-09-01,5.1,Hispanic or Latino
2017-10-01,5.0,Hispanic or Latino
2017-11-01,4.9,Hispanic or Latino
2017-12-01,5.0,Hispanic or Latino
2018-01-01,4.9,Hispanic or Latino
2018-02-01,4.9,Hispanic or Latino
2018-03-01,4.9,Hispanic or Latino
2018-04-01,4.8,Hispanic or Latino
2018-05-01,4.8,Hispanic or Latino
2018-06-01,4.5,Hispanic or Latino
2018-07-01,4.5,Hispanic or Latino
2018-08-01,4.7,Hispanic or Latino
2018-09-01,4.6,Hispanic or Latino
2018-10-01,4.4,Hispanic or Latino
2018-11-01,4.7,Hispanic or Latino
2018-12-01,4.4,Hispanic or Latino
2019-01-01,4.7,Hispanic or Latino
2019-02-01,4.3,Hispanic or Latino
2019-03-01,4.6,Hispanic or Latino
2019-04-01,4.1,Hispanic or Latino
2019-05-01,4.1,Hispanic or Latino
2019-06-01,4.2,Hispanic or Latino
2019-07-01,4.4,Hispanic or Latino
2019-08-01,4.2,Hispanic or Latino
2019-09-01,4.0,Hispanic or Latino
2019-10-01,4.2,Hispanic or Latino
2019-11-01,4.3,Hispanic or Latino
2019-12-01,4.2,Hispanic or Latino
2020-01-01,4.3,Hispanic or Latino
2020-02-01,4.4,Hispanic or Latino
2020-03-01,6.0,Hispanic or Latino
2020-04-01,18.8,Hispanic or Latino
2020-05-01,17.6,Hispanic or Latino
2020-06-01,14.5,Hispanic or Latino
2020-07-01,12.8,Hispanic or Latino
2020-08-01,10.6,Hispanic or Latino
2020-09-01,10.4,Hispanic or Latino
2020-10-01,8.9,Hispanic or Latino
2020-11-01,8.6,Hispanic or Latino
2020-12-01,9.3,Hispanic or Latino
2021-01-01,8.5,Hispanic or Latino
2021-02-01,8.4,Hispanic or Latino
2021-03-01,7.7,Hispanic or Latino
2021-04-01,7.7,Hispanic or Latino
2021-05-01,7.1,Hispanic or Latino
2021-06-01,7.2,Hispanic or Latino
2021-07-01,6.4,Hispanic or Latino
2021-08-01,6.1,Hispanic or Latino
2021-09-01,6.2,Hispanic or Latino
2021-10-01,5.7,Hispanic or Latino
2021-11-01,5.2,Hispanic or Latino
2021-12-01,4.8,Hispanic or Latino
2022-01-01,4.9,Hispanic or Latino
2022-02-01,4.5,Hispanic or Latino
2022-03-01,4.2,Hispanic or Latino
2022-04-01,4.2,Hispanic or Latino
2022-05-01,4.4,Hispanic or Latino
2022-06-01,4.3,Hispanic or Latino
2022-07-01,4.0,Hispanic or Latino
2022-08-01,4.5,Hispanic or Latino
2022-09-01,3.9,Hispanic or Latino
2022-10-01,4.2,Hispanic or Latino
2022-11-01,4.0,Hispanic or Latino
2022-12-01,4.1,Hispanic or Latino
2023-01-01,4.5,Hispanic or Latino
2023-02-01,5.3,Hispanic or Latino
1954-01-01,4.5,White
1954-02-01,4.9,White
1954-03-01,5.0,White
1954-04-01,5.5,White
1954-05-01,5.3,White
1954-06-01,5.0,White
1954-07-01,5.3,White
1954-08-01,5.6,White
1954-09-01,5.9,White
1954-10-01,5.1,White
1954-11-01,4.7,White
1954-12-01,4.4,White
1955-01-01,4.5,White
1955-02-01,4.1,White
1955-03-01,4.0,White
1955-04-01,4.3,White
1955-05-01,3.8,White
1955-06-01,3.7,White
1955-07-01,3.6,White
1955-08-01,3.6,White
1955-09-01,3.6,White
1955-10-01,3.7,White
1955-11-01,3.6,White
1955-12-01,3.7,White
1956-01-01,3.5,White
1956-02-01,3.6,White
1956-03-01,3.7,White
1956-04-01,3.6,White
1956-05-01,3.8,White
1956-06-01,3.7,White
1956-07-01,3.8,White
1956-08-01,3.4,White
1956-09-01,3.5,White
1956-10-01,3.4,White
