Sector,Value,Date
Private,0.0,2007-12-01
Private,2000.0,2008-01-01
Private,1000.0,2008-02-01
Private,2000.0,2008-03-01
Private,18000.0,2008-04-01
Private,1000.0,2008-05-01
Private,5000.0,2008-06-01
Private,11000.0,2008-07-01
Private,1000.0,2008-08-01
Private,2000.0,2008-09-01
Private,1000.0,2008-10-01
Private,3000.0,2008-11-01
Private,1000.0,2008-12-01
Private,7000.0,2009-01-01
Private,14000.0,2009-02-01
Private,1000.0,2009-03-01
Private,2000.0,2009-04-01
Private,4000.0,2009-05-01
Private,38000.0,2009-06-01
Private,1000.0,2009-07-01
Private,2000.0,2009-08-01
Private,4000.0,2009-09-01
Private,5000.0,2009-10-01
Private,9000.0,2009-11-01
Private,3000.0,2009-12-01
Private,4000.0,2010-01-01
Private,2000.0,2010-02-01
Private,19000.0,2010-03-01
Private,1000.0,2010-04-01
Private,9000.0,2010-05-01
Private,6000.0,2010-06-01
Private,1000.0,2010-07-01
Private,1000.0,2010-08-01
Private,2000.0,2010-09-01
Private,2000.0,2010-10-01
Private,1000.0,2010-11-01
Private,5000.0,2010-12-01
Private,5000.0,2011-01-01
Private,2000.0,2011-02-01
Private,34000.0,2011-03-01
Private,9000.0,2011-04-01
Private,9000.0,2011-05-01
Private,10000.0,2011-06-01
Private,1000.0,2011-07-01
Private,2000.0,2011-08-01
Private,3000.0,2011-09-01
Private,1000.0,2011-10-01
Private,34000.0,2011-11-01
Private,5000.0,2011-12-01
Private,7000.0,2012-01-01
Private,5000.0,2012-02-01
Private,5000.0,2012-03-01
Private,1000.0,2012-04-01
Private,6000.0,2012-05-01
Private,12000.0,2012-06-01
Private,1000.0,2012-07-01
Private,1000.0,2012-08-01
Private,4000.0,2012-09-01
Private,3000.0,2012-10-01
Private,3000.0,2012-11-01
Private,3000.0,2012-12-01
Private,4000.0,2013-01-01
Private,0.0,2013-02-01
Private,0.0,2013-03-01
Private,3000.0,2013-04-01
Private,1000.0,2013-05-01
Private,2000.0,2013-06-01
Private,3000.0,2013-07-01
Private,2000.0,2013-08-01
Private,5000.0,2013-09-01
Private,26000.0,2013-10-01
Private,2000.0,2013-11-01
Private,32000.0,2013-12-01
Private,7000.0,2014-01-01
Private,23000.0,2014-02-01
Private,5000.0,2014-03-01
Private,2000.0,2014-04-01
Private,2000.0,2014-05-01
Private,8000.0,2014-06-01
Private,9000.0,2014-07-01
Private,2000.0,2014-08-01
Private,3000.0,2014-09-01
Private,5000.0,2014-10-01
Private,5000.0,2014-11-01
Private,3000.0,2014-12-01
Private,17000.0,2015-01-01
Private,14000.0,2015-02-01
Private,3000.0,2015-03-01
Private,3000.0,2015-04-01
Private,2000.0,2015-05-01
Private,3000.0,2015-06-01
Private,5000.0,2015-07-01
Private,10000.0,2015-08-01
Private,2000.0,2015-09-01
Private,1000.0,2015-10-01
Private,11000.0,2015-11-01
Private,8000.0,2015-12-01
Private,2000.0,2016-01-01
Private,2000.0,2016-02-01
Private,3000.0,2016-03-01
Private,1000.0,2016-04-01
Private,17000.0,2016-05-01
Private,14000.0,2016-06-01
Private,12000.0,2016-07-01
Private,5000.0,2016-08-01
Private,3000.0,2016-09-01
Private,5000.0,2016-10-01
Private,4000.0,2016-11-01
Private,10000.0,2016-12-01
Private,9000.0,2017-01-01
Private,19000.0,2017-02-01
Private,14000.0,2017-03-01
Private,15000.0,2017-04-01
Private,34000.0,2017-05-01
Private,1000.0,2017-06-01
Private,49000.0,2017-07-01
Private,61000.0,2017-08-01
Private,9000.0,2017-09-01
Private,8000.0,2017-10-01
Private,8000.0,2017-11-01
Private,6000.0,2017-12-01
Private,8000.0,2018-01-01
Private,73000.0,2018-02-01
Private,113000.0,2018-03-01
Private,3000.0,2018-04-01
Private,7000.0,2018-05-01
Private,7000.0,2018-06-01
Private,3000.0,2018-07-01
Private,4000.0,2018-08-01
Private,7000.0,2018-09-01
Private,7000.0,2018-10-01
Private,11000.0,2018-11-01
Private,5000.0,2018-12-01
Private,11000.0,2019-01-01
Private,5000.0,2019-02-01
Private,8000.0,2019-03-01
Private,2000.0,2019-04-01
Private,10000.0,2019-05-01
Private,12000.0,2019-06-01
Private,7000.0,2019-07-01
Private,6000.0,2019-08-01
Private,8000.0,2019-09-01
Private,7000.0,2019-10-01
Private,69000.0,2019-11-01
Private,57000.0,2019-12-01
Private,1000.0,2020-01-01
Private,,2020-02-01
Private,,2020-03-01
Private,,2020-04-01
Private,,2020-05-01
Private,,2020-06-01
Private,,2020-07-01
Private,,2020-08-01
Private,,2020-09-01
Private,,2020-10-01
Private,,2020-11-01
Private,,2020-12-01
Private,,2021-01-01
Private,,2021-02-01
Private,,2021-03-01
Private,,2021-04-01
Private,,2021-05-01
Private,,2021-06-01
Private,,2021-07-01
Private,,2021-08-01
Private,,2021-09-01
Private,,2021-10-01
Private,,2021-11-01
Private,,2021-12-01
Private,,2022-01-01
Private,,2022-02-01
Private,,2022-03-01
Private,,2022-04-01
Private,,2022-05-01
Private,26000.0,2022-06-01
Private,52000.0,2022-07-01
Private,272000.0,2022-08-01
Private,192000.0,2022-09-01
Private,374000.0,2022-10-01
Private,417000.0,2022-11-01
Private,667000.0,2022-12-01
Private,8000.0,2023-01-01
Public,38000.0,1996-01-01
Public,20000.0,1996-02-01
Public,2000.0,1996-03-01
Public,4000.0,1996-04-01
Public,5000.0,1996-05-01
Public,223000.0,1996-06-01
Public,108000.0,1996-07-01
Public,427000.0,1996-08-01
Public,111000.0,1996-09-01
Public,24000.0,1996-10-01
Public,15000.0,1996-11-01
Public,3000.0,1996-12-01
Public,2000.0,1997-01-01
Public,8000.0,1997-02-01
Public,27000.0,1997-03-01
Public,7000.0,1997-04-01
Public,9000.0,1997-05-01
Public,2000.0,1997-06-01
Public,5000.0,1997-07-01
Public,2000.0,1997-08-01
Public,1000.0,1997-09-01
Public,2000.0,1997-10-01
Public,4000.0,1997-11-01
Public,3000.0,1997-12-01
Public,1000.0,1998-01-01
Public,10000.0,1998-02-01
Public,29000.0,1998-03-01
Public,11000.0,1998-04-01
Public,5000.0,1998-05-01
Public,12000.0,1998-06-01
Public,15000.0,1998-07-01
Public,16000.0,1998-08-01
Public,5000.0,1998-09-01
Public,2000.0,1998-10-01
Public,7000.0,1998-11-01
Public,4000.0,1998-12-01
Public,4000.0,1999-01-01
Public,4000.0,1999-02-01
Public,11000.0,1999-03-01
Public,1000.0,1999-04-01
Public,2000.0,1999-05-01
Public,4000.0,1999-06-01
Public,5000.0,1999-07-01
Public,7000.0,1999-08-01
Public,2000.0,1999-09-01
Public,10000.0,1999-10-01
Public,8000.0,1999-11-01
Public,13000.0,1999-12-01
Public,7000.0,2000-01-01
Public,2000.0,2000-02-01
Public,2000.0,2000-03-01
Public,2000.0,2000-04-01
Public,6000.0,2000-05-01
Public,1000.0,2000-06-01
Public,10000.0,2000-07-01
Public,84000.0,2000-08-01
Public,84000.0,2000-09-01
Public,9000.0,2000-10-01
Public,106000.0,2000-11-01
Public,50000.0,2000-12-01
Public,48000.0,2001-01-01
Public,26000.0,2001-02-01
Public,37000.0,2001-03-01
Public,14000.0,2001-04-01
Public,54000.0,2001-05-01
Public,7000.0,2001-06-01
Public,19000.0,2001-07-01
Public,9000.0,2001-08-01
Public,14000.0,2001-09-01
Public,29000.0,2001-10-01
Public,55000.0,2001-11-01
Public,83000.0,2001-12-01
Public,63000.0,2002-01-01
Public,17000.0,2002-02-01
Public,66000.0,2002-03-01
Public,8000.0,2002-04-01
Public,26000.0,2002-05-01
Public,53000.0,2002-06-01
Public,514000.0,2002-07-01
Public,7000.0,2002-08-01
Public,2000.0,2002-09-01
Public,32000.0,2002-10-01
Public,331000.0,2002-11-01
Public,6000.0,2002-12-01
Public,89000.0,2003-01-01
Public,1000.0,2003-02-01
Public,8000.0,2003-03-01
Public,5000.0,2003-04-01
Public,22000.0,2003-05-01
Public,21000.0,2003-06-01
Public,28000.0,2003-07-01
Public,9000.0,2003-08-01
Public,11000.0,2003-09-01
Public,123000.0,2003-10-01
Public,21000.0,2003-11-01
Public,31000.0,2003-12-01
Public,22000.0,2004-01-01
Public,122000.0,2004-02-01
Public,126000.0,2004-03-01
Public,197000.0,2004-04-01
Public,56000.0,2004-05-01
Public,17000.0,2004-06-01
Public,79000.0,2004-07-01
Public,6000.0,2004-08-01
Public,5000.0,2004-09-01
Public,2000.0,2004-10-01
Public,108000.0,2004-11-01
Public,3000.0,2004-12-01
Public,1000.0,2005-01-01
Public,6000.0,2005-02-01
Public,3000.0,2005-03-01
Public,3000.0,2005-04-01
Public,27000.0,2005-05-01
Public,1000.0,2005-06-01
Public,2000.0,2005-07-01
Public,13000.0,2005-08-01
Public,13000.0,2005-09-01
Public,4000.0,2005-10-01
Public,19000.0,2005-11-01
Public,7000.0,2005-12-01
Public,73000.0,2006-01-01
Public,10000.0,2006-02-01
Public,462000.0,2006-03-01
Public,2000.0,2006-04-01
Public,71000.0,2006-05-01
Public,2000.0,2006-06-01
Public,7000.0,2006-07-01
Public,2000.0,2006-08-01
Public,20000.0,2006-09-01
Public,2000.0,2006-10-01
Public,1000.0,2006-11-01
Public,4000.0,2006-12-01
Public,117000.0,2007-01-01
Public,4000.0,2007-02-01
Public,5000.0,2007-03-01
Public,0.0,2007-04-01
Public,108000.0,2007-05-01
Public,88000.0,2007-06-01
Public,184000.0,2007-07-01
Public,83000.0,2007-08-01
Public,5000.0,2007-09-01
Public,326000.0,2007-10-01
Public,14000.0,2007-11-01
Public,68000.0,2007-12-01
Public,2000.0,2008-01-01
Public,12000.0,2008-02-01
Public,65000.0,2008-03-01
Public,127000.0,2008-04-01
Public,2000.0,2008-05-01
Public,3000.0,2008-06-01
Public,357000.0,2008-07-01
Public,72000.0,2008-08-01
Public,67000.0,2008-09-01
Public,4000.0,2008-10-01
Public,0.0,2008-11-01
Public,0.0,2008-12-01
Public,0.0,2009-01-01
Public,1000.0,2009-02-01
Public,2000.0,2009-03-01
Public,1000.0,2009-04-01
Public,1000.0,2009-05-01
Public,9000.0,2009-06-01
Public,24000.0,2009-07-01
Public,35000.0,2009-08-01
Public,69000.0,2009-09-01
Public,199000.0,2009-10-01
Public,27000.0,2009-11-01
Public,0.0,2009-12-01
Public,0.0,2010-01-01
Public,1000.0,2010-02-01
Public,257000.0,2010-03-01
Public,1000.0,2010-04-01
Public,4000.0,2010-05-01
Public,1000.0,2010-06-01
Public,2000.0,2010-07-01
Public,1000.0,2010-08-01
Public,9000.0,2010-09-01
Public,12000.0,2010-10-01
Public,24000.0,2010-11-01
Public,2000.0,2010-12-01
Public,4000.0,2011-01-01
Public,1000.0,2011-02-01
Public,16000.0,2011-03-01
Public,5000.0,2011-04-01
Public,2000.0,2011-05-01
Public,262000.0,2011-06-01
Public,4000.0,2011-07-01
Public,3000.0,2011-08-01
Public,4000.0,2011-09-01
Public,10000.0,2011-10-01
Public,963000.0,2011-11-01
Public,2000.0,2011-12-01
Public,14000.0,2012-01-01
Public,0.0,2012-02-01
Public,24000.0,2012-03-01
Public,5000.0,2012-04-01
Public,106000.0,2012-05-01
Public,22000.0,2012-06-01
Public,6000.0,2012-07-01
Public,9000.0,2012-08-01
Public,4000.0,2012-09-01
Public,1000.0,2012-10-01
Public,6000.0,2012-11-01
Public,1000.0,2012-12-01
Public,1000.0,2013-01-01
Public,2000.0,2013-02-01
Public,87000.0,2013-03-01
Public,27000.0,2013-04-01
Public,11000.0,2013-05-01
Public,76000.0,2013-06-01
Public,3000.0,2013-07-01
Public,4000.0,2013-08-01
Public,4000.0,2013-09-01
Public,130000.0,2013-10-01
Public,11000.0,2013-11-01
Public,6000.0,2013-12-01
Public,1000.0,2014-01-01
Public,9000.0,2014-02-01
Public,104000.0,2014-03-01
Public,9000.0,2014-04-01
Public,14000.0,2014-05-01
Public,29000.0,2014-06-01
Public,378000.0,2014-07-01
Public,25000.0,2014-08-01
Public,0.0,2014-09-01
Public,96000.0,2014-10-01
Public,40000.0,2014-11-01
Public,11000.0,2014-12-01
Public,5000.0,2015-01-01
Public,10000.0,2015-02-01
Public,19000.0,2015-03-01
Public,4000.0,2015-04-01
Public,10000.0,2015-05-01
Public,5000.0,2015-06-01
Public,12000.0,2015-07-01
Public,12000.0,2015-08-01
Public,6000.0,2015-09-01
Public,2000.0,2015-10-01
Public,2000.0,2015-11-01
Public,1000.0,2015-12-01
Public,18000.0,2016-01-01
Public,16000.0,2016-02-01
Public,33000.0,2016-03-01
Public,71000.0,2016-04-01
Public,4000.0,2016-05-01
Public,2000.0,2016-06-01
Public,64000.0,2016-07-01
Public,0.0,2016-08-01
Public,5000.0,2016-09-01
Public,3000.0,2016-10-01
Public,18000.0,2016-11-01
Public,9000.0,2016-12-01
Public,8000.0,2017-01-01
Public,1000.0,2017-02-01
Public,5000.0,2017-03-01
Public,5000.0,2017-04-01
Public,16000.0,2017-05-01
Public,1000.0,2017-06-01
Public,1000.0,2017-07-01
Public,1000.0,2017-08-01
Public,1000.0,2017-09-01
Public,0.0,2017-10-01
Public,0.0,2017-11-01
Public,4000.0,2017-12-01
Public,1000.0,2018-01-01
Public,0.0,2018-02-01
Public,0.0,2018-03-01
Public,0.0,2018-04-01
Public,1000.0,2018-05-01
Public,10000.0,2018-06-01
Public,1000.0,2018-07-01
Public,0.0,2018-08-01
Public,2000.0,2018-09-01
Public,9000.0,2018-10-01
Public,0.0,2018-11-01
Public,1000.0,2018-12-01
Public,1000.0,2019-01-01
Public,2000.0,2019-02-01
Public,1000.0,2019-03-01
Public,1000.0,2019-04-01
Public,1000.0,2019-05-01
Public,1000.0,2019-06-01
Public,4000.0,2019-07-01
Public,1000.0,2019-08-01
Public,1000.0,2019-09-01
Public,1000.0,2019-10-01
Public,14000.0,2019-11-01
Public,7000.0,2019-12-01
Public,17000.0,2020-01-01
Public,,2020-02-01
Public,,2020-03-01
Public,,2020-04-01
Public,,2020-05-01
Public,,2020-06-01
Public,,2020-07-01
Public,,2020-08-01
Public,,2020-09-01
Public,,2020-10-01
Public,,2020-11-01
Public,,2020-12-01
Public,,2021-01-01
Public,,2021-02-01
Public,,2021-03-01
Public,,2021-04-01
Public,,2021-05-01
Public,,2021-06-01
Public,,2021-07-01
Public,,2021-08-01
Public,,2021-09-01
Public,,2021-10-01
Public,,2021-11-01
Public,,2021-12-01
Public,,2022-01-01
Public,,2022-02-01
Public,,2022-03-01
Public,,2022-04-01
Public,,2022-05-01
Public,67000.0,2022-06-01
Public,35000.0,2022-07-01
Public,84000.0,2022-08-01
Public,19000.0,2022-09-01
Public,48000.0,2022-10-01
Public,45000.0,2022-11-01
Public,155000.0,2022-12-01
Public,211000.0,2023-01-01
Total,51000.0,1996-01-01
Total,36000.0,1996-02-01
Total,15000.0,1996-03-01
Total,13000.0,1996-04-01
Total,8000.0,1996-05-01
Total,241000.0,1996-06-01
Total,149000.0,1996-07-01
Total,442000.0,1996-08-01
Total,122000.0,1996-09-01
Total,39000.0,1996-10-01
Total,162000.0,1996-11-01
Total,25000.0,1996-12-01
Total,25000.0,1997-01-01
Total,14000.0,1997-02-01
Total,36000.0,1997-03-01
Total,48000.0,1997-04-01
Total,36000.0,1997-05-01
Total,14000.0,1997-06-01
Total,11000.0,1997-07-01
Total,6000.0,1997-08-01
Total,2000.0,1997-09-01
Total,18000.0,1997-10-01
Total,14000.0,1997-11-01
Total,12000.0,1997-12-01
Total,16000.0,1998-01-01
Total,19000.0,1998-02-01
Total,32000.0,1998-03-01
Total,14000.0,1998-04-01
Total,7000.0,1998-05-01
Total,69000.0,1998-06-01
Total,59000.0,1998-07-01
Total,24000.0,1998-08-01
Total,6000.0,1998-09-01
Total,7000.0,1998-10-01
Total,17000.0,1998-11-01
Total,10000.0,1998-12-01
Total,8000.0,1999-01-01
Total,27000.0,1999-02-01
Total,35000.0,1999-03-01
Total,4000.0,1999-04-01
Total,50000.0,1999-05-01
Total,16000.0,1999-06-01
Total,8000.0,1999-07-01
Total,11000.0,1999-08-01
Total,23000.0,1999-09-01
Total,19000.0,1999-10-01
Total,21000.0,1999-11-01
Total,20000.0,1999-12-01
Total,11000.0,2000-01-01
Total,6000.0,2000-02-01
Total,18000.0,2000-03-01
Total,11000.0,2000-04-01
Total,14000.0,2000-05-01
Total,7000.0,2000-06-01
Total,36000.0,2000-07-01
Total,114000.0,2000-08-01
Total,93000.0,2000-09-01
Total,14000.0,2000-10-01
Total,115000.0,2000-11-01
Total,59000.0,2000-12-01
Total,52000.0,2001-01-01
Total,36000.0,2001-02-01
Total,47000.0,2001-03-01
Total,16000.0,2001-04-01
Total,93000.0,2001-05-01
Total,13000.0,2001-06-01
Total,23000.0,2001-07-01
Total,17000.0,2001-08-01
Total,23000.0,2001-09-01
Total,39000.0,2001-10-01
Total,62000.0,2001-11-01
Total,102000.0,2001-12-01
Total,94000.0,2002-01-01
Total,24000.0,2002-02-01
Total,80000.0,2002-03-01
Total,20000.0,2002-04-01
Total,82000.0,2002-05-01
Total,57000.0,2002-06-01
Total,522000.0,2002-07-01
Total,13000.0,2002-08-01
Total,10000.0,2002-09-01
Total,42000.0,2002-10-01
Total,372000.0,2002-11-01
Total,10000.0,2002-12-01
Total,92000.0,2003-01-01
Total,13000.0,2003-02-01
Total,14000.0,2003-03-01
Total,10000.0,2003-04-01
Total,25000.0,2003-05-01
Total,34000.0,2003-06-01
Total,48000.0,2003-07-01
Total,11000.0,2003-08-01
Total,24000.0,2003-09-01
Total,130000.0,2003-10-01
Total,62000.0,2003-11-01
Total,35000.0,2003-12-01
Total,32000.0,2004-01-01
Total,220000.0,2004-02-01
Total,133000.0,2004-03-01
Total,200000.0,2004-04-01
Total,62000.0,2004-05-01
Total,19000.0,2004-06-01
Total,94000.0,2004-07-01
Total,16000.0,2004-08-01
Total,7000.0,2004-09-01
Total,7000.0,2004-10-01
Total,115000.0,2004-11-01
Total,3000.0,2004-12-01
Total,1000.0,2005-01-01
Total,7000.0,2005-02-01
Total,4000.0,2005-03-01
Total,6000.0,2005-04-01
Total,32000.0,2005-05-01
Total,6000.0,2005-06-01
Total,15000.0,2005-07-01
Total,18000.0,2005-08-01
Total,29000.0,2005-09-01
Total,7000.0,2005-10-01
Total,20000.0,2005-11-01
Total,15000.0,2005-12-01
Total,77000.0,2006-01-01
Total,13000.0,2006-02-01
Total,482000.0,2006-03-01
Total,3000.0,2006-04-01
Total,83000.0,2006-05-01
Total,6000.0,2006-06-01
Total,13000.0,2006-07-01
Total,6000.0,2006-08-01
Total,23000.0,2006-09-01
Total,13000.0,2006-10-01
Total,23000.0,2006-11-01
Total,10000.0,2006-12-01
Total,122000.0,2007-01-01
Total,4000.0,2007-02-01
Total,14000.0,2007-03-01
Total,3000.0,2007-04-01
Total,111000.0,2007-05-01
Total,90000.0,2007-06-01
Total,187000.0,2007-07-01
Total,87000.0,2007-08-01
Total,8000.0,2007-09-01
Total,327000.0,2007-10-01
Total,17000.0,2007-11-01
Total,68000.0,2007-12-01
Total,4000.0,2008-01-01
Total,13000.0,2008-02-01
Total,67000.0,2008-03-01
Total,145000.0,2008-04-01
Total,3000.0,2008-05-01
Total,8000.0,2008-06-01
Total,368000.0,2008-07-01
Total,73000.0,2008-08-01
Total,69000.0,2008-09-01
Total,5000.0,2008-10-01
Total,3000.0,2008-11-01
Total,1000.0,2008-12-01
Total,7000.0,2009-01-01
Total,15000.0,2009-02-01
Total,3000.0,2009-03-01
Total,3000.0,2009-04-01
Total,5000.0,2009-05-01
Total,47000.0,2009-06-01
Total,25000.0,2009-07-01
Total,37000.0,2009-08-01
Total,73000.0,2009-09-01
Total,204000.0,2009-10-01
Total,36000.0,2009-11-01
Total,3000.0,2009-12-01
Total,4000.0,2010-01-01
Total,3000.0,2010-02-01
Total,276000.0,2010-03-01
Total,2000.0,2010-04-01
Total,13000.0,2010-05-01
Total,7000.0,2010-06-01
Total,3000.0,2010-07-01
Total,2000.0,2010-08-01
Total,11000.0,2010-09-01
Total,14000.0,2010-10-01
Total,25000.0,2010-11-01
Total,7000.0,2010-12-01
Total,9000.0,2011-01-01
Total,3000.0,2011-02-01
Total,50000.0,2011-03-01
Total,14000.0,2011-04-01
Total,11000.0,2011-05-01
Total,272000.0,2011-06-01
Total,5000.0,2011-07-01
Total,5000.0,2011-08-01
Total,7000.0,2011-09-01
Total,11000.0,2011-10-01
Total,997000.0,2011-11-01
Total,7000.0,2011-12-01
Total,21000.0,2012-01-01
Total,5000.0,2012-02-01
Total,29000.0,2012-03-01
Total,6000.0,2012-04-01
Total,112000.0,2012-05-01
Total,34000.0,2012-06-01
Total,7000.0,2012-07-01
Total,10000.0,2012-08-01
Total,8000.0,2012-09-01
Total,4000.0,2012-10-01
Total,9000.0,2012-11-01
Total,4000.0,2012-12-01
Total,5000.0,2013-01-01
Total,2000.0,2013-02-01
Total,87000.0,2013-03-01
Total,30000.0,2013-04-01
Total,12000.0,2013-05-01
Total,78000.0,2013-06-01
Total,6000.0,2013-07-01
Total,6000.0,2013-08-01
Total,9000.0,2013-09-01
Total,156000.0,2013-10-01
Total,13000.0,2013-11-01
Total,38000.0,2013-12-01
Total,8000.0,2014-01-01
Total,32000.0,2014-02-01
Total,109000.0,2014-03-01
Total,11000.0,2014-04-01
Total,16000.0,2014-05-01
Total,37000.0,2014-06-01
Total,387000.0,2014-07-01
Total,27000.0,2014-08-01
Total,3000.0,2014-09-01
Total,101000.0,2014-10-01
Total,45000.0,2014-11-01
Total,14000.0,2014-12-01
Total,22000.0,2015-01-01
Total,24000.0,2015-02-01
Total,22000.0,2015-03-01
Total,7000.0,2015-04-01
Total,12000.0,2015-05-01
Total,8000.0,2015-06-01
Total,17000.0,2015-07-01
Total,22000.0,2015-08-01
Total,8000.0,2015-09-01
Total,3000.0,2015-10-01
Total,13000.0,2015-11-01
Total,9000.0,2015-12-01
Total,20000.0,2016-01-01
Total,18000.0,2016-02-01
Total,36000.0,2016-03-01
Total,72000.0,2016-04-01
Total,21000.0,2016-05-01
Total,16000.0,2016-06-01
Total,76000.0,2016-07-01
Total,5000.0,2016-08-01
Total,8000.0,2016-09-01
Total,8000.0,2016-10-01
Total,22000.0,2016-11-01
Total,19000.0,2016-12-01
Total,17000.0,2017-01-01
Total,20000.0,2017-02-01
Total,19000.0,2017-03-01
Total,20000.0,2017-04-01
Total,50000.0,2017-05-01
Total,2000.0,2017-06-01
Total,50000.0,2017-07-01
Total,62000.0,2017-08-01
Total,10000.0,2017-09-01
Total,8000.0,2017-10-01
Total,8000.0,2017-11-01
Total,10000.0,2017-12-01
Total,9000.0,2018-01-01
Total,73000.0,2018-02-01
Total,113000.0,2018-03-01
Total,3000.0,2018-04-01
Total,8000.0,2018-05-01
Total,17000.0,2018-06-01
Total,4000.0,2018-07-01
Total,4000.0,2018-08-01
Total,9000.0,2018-09-01
Total,16000.0,2018-10-01
Total,11000.0,2018-11-01
Total,6000.0,2018-12-01
Total,12000.0,2019-01-01
Total,7000.0,2019-02-01
Total,9000.0,2019-03-01
Total,3000.0,2019-04-01
Total,11000.0,2019-05-01
Total,13000.0,2019-06-01
Total,11000.0,2019-07-01
Total,7000.0,2019-08-01
Total,9000.0,2019-09-01
Total,8000.0,2019-10-01
Total,83000.0,2019-11-01
Total,64000.0,2019-12-01
Total,18000.0,2020-01-01
Total,,2020-02-01
Total,,2020-03-01
Total,,2020-04-01
Total,,2020-05-01
Total,,2020-06-01
Total,,2020-07-01
Total,,2020-08-01
Total,,2020-09-01
Total,,2020-10-01
Total,,2020-11-01
Total,,2020-12-01
Total,,2021-01-01
