State,Filer,Bracket,Rate,Top Rate,Notes,Source
Vermont,Single,213150,0.0875,TRUE,,
Vermont,Married,0,0.0335,FALSE,,
Vermont,Married,70450,0.066,FALSE,,
Vermont,Married,170300,0.076,FALSE,,
Vermont,Married,259500,0.0875,TRUE,,
Virginia,Single,0,0.02,FALSE,,
Virginia,Single,3000,0.03,FALSE,,
Virginia,Single,5000,0.05,FALSE,,
Virginia,Single,17000,0.0575,TRUE,,
Virginia,Married,0,0.02,FALSE,,
Virginia,Married,3000,0.03,FALSE,,
Virginia,Married,5000,0.05,FALSE,,
Virginia,Married,17000,0.0575,TRUE,,
Washington,Single,,,TRUE,,
Washington,Married,,,TRUE,,
West Virginia,Single,0,0.03,FALSE,,
West Virginia,Single,10000,0.04,FALSE,,
West Virginia,Single,25000,0.045,FALSE,,
West Virginia,Single,40000,0.06,FALSE,,
West Virginia,Single,60000,0.065,TRUE,,
West Virginia,Married,0,0.03,FALSE,,
West Virginia,Married,10000,0.04,FALSE,,
West Virginia,Married,25000,0.045,FALSE,,
West Virginia,Married,40000,0.06,FALSE,,
West Virginia,Married,60000,0.065,TRUE,,
Wisconsin,Single,0,0.0354,FALSE,,
Wisconsin,Single,13810,0.0465,FALSE,,
Wisconsin,Single,27630,0.053,FALSE,,
Wisconsin,Single,304170,0.0765,TRUE,,
Wisconsin,Married,0,0.0354,FALSE,,
Wisconsin,Married,13810,0.0465,FALSE,,
Wisconsin,Married,27630,0.053,FALSE,,
Wisconsin,Married,304170,0.0765,TRUE,,
Wyoming,Single,,,TRUE,,
Wyoming,Married,,,TRUE,,
District of Columbia,Single,0,0.04,FALSE,,
District of Columbia,Single,10000,0.06,FALSE,,
District of Columbia,Single,40000,0.065,FALSE,,
District of Columbia,Single,60000,0.085,FALSE,,
District of Columbia,Single,250000,0.0925,FALSE,,
District of Columbia,Single,500000,0.0975,FALSE,,
District of Columbia,Single,1000000,0.1075,TRUE,,
District of Columbia,Married,0,0.04,FALSE,,
District of Columbia,Married,10000,0.06,FALSE,,
District of Columbia,Married,40000,0.065,FALSE,,
District of Columbia,Married,60000,0.085,FALSE,,
District of Columbia,Married,250000,0.0925,FALSE,,
District of Columbia,Married,500000,0.0975,FALSE,,
District of Columbia,Married,1000000,0.1075,TRUE,,
